model,mode,criterion,best_magnitude,criterion_value
qwen,normal,delta_target,20.0,-0.050349047356811436
qwen,normal,delta_specificity,20.0,-0.0018553387245191688
qwen,normal,delta_nearest,20.0,0.0034387895460797797
qwen,contrastive,delta_target,20.0,-0.12832424458095598
qwen,contrastive,delta_specificity,20.0,-0.01851302038070161
qwen,contrastive,delta_nearest,20.0,0.054332874828060526
llama,normal,delta_target,20.0,-0.11305592470365781
llama,normal,delta_specificity,16.0,0.001994856443162678
llama,normal,delta_nearest,16.0,0.0036680421824850985
llama,contrastive,delta_target,20.0,-0.08444325285651966
llama,contrastive,delta_specificity,8.0,0.002587027436150232
llama,contrastive,delta_nearest,8.0,0.003782668500687758
mistral,normal,delta_target,2.0,-0.26334812588668743
mistral,normal,delta_specificity,8.0,-0.0009981588453021764
mistral,normal,delta_nearest,2.0,0.0
mistral,contrastive,delta_target,2.0,-0.24081753905885941
mistral,contrastive,delta_specificity,2.0,-0.002306344042601456
mistral,contrastive,delta_nearest,2.0,0.004011921137093076
