model,mode,magnitude,n,n_qkeys,mean_delta_target,ci95_delta_target,mean_delta_others,ci95_delta_others,mean_delta_specificity,ci95_delta_specificity,mean_delta_nearest,ci95_delta_nearest
qwen,normal,0.0,4362,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,normal,2.0,4362,486,0.00035730991977372706,0.0015807466011454315,0.00017648181851443977,0.0015592120572002206,0.00018082810125928718,0.0007526153503339858,0.0,0.00269632009108705
qwen,normal,4.0,4362,486,0.00011931022007887259,0.0029006243209703545,0.0002694566865417683,0.002867025361350991,-0.00015014646646289482,0.0012441315858371942,0.002751031636863824,0.003812298161252132
qwen,normal,6.0,4362,486,0.00042175267485361343,0.0038376942655505763,0.00040708688581124713,0.0038985191117962385,1.4665789042365967e-05,0.0016978794889014716,0.001375515818431912,0.0044028830013644734
qwen,normal,8.0,4362,486,-0.00010610923375773184,0.004444592287562115,-0.0007443034474475093,0.004632535851423275,0.0006381942136897782,0.0020736970153735776,0.001375515818431912,0.0053170581975262995
qwen,normal,10.0,4362,486,-0.0022451047609878738,0.004910146095986949,-0.0032136137997411914,0.005095603591012865,0.0009685090387533177,0.0022694391823661585,0.0,0.005927817459155192
qwen,normal,12.0,4362,486,-0.0071062999045494535,0.005358774193398356,-0.007345915275172618,0.005428172794536854,0.0002396153706231619,0.002446557946546829,0.00022925263640531865,0.006650312103492884
qwen,normal,14.0,4362,486,-0.014001740357256189,0.00571940956945551,-0.014017937703131079,0.005779877924275527,1.6197345874890097e-05,0.002627774032911576,-0.0009170105456212746,0.007190135397840158
qwen,normal,16.0,4362,486,-0.022807554563686185,0.006077120483863675,-0.022794748834229914,0.006149842445922919,-1.2805729456271113e-05,0.0027974861221567674,-0.0025217790004585052,0.00769189679185918
qwen,normal,18.0,4362,486,-0.03387931736364209,0.006457851629062935,-0.03417109502978156,0.006484623134758901,0.00029177766613947177,0.0030274725582180896,-0.0034387895460797797,0.00827345679142363
qwen,normal,20.0,4362,486,-0.050349047356811436,0.007231944599498745,-0.04849370863229227,0.007239019690775115,-0.0018553387245191688,0.003469682194249913,0.0034387895460797797,0.009176168137391904
qwen,contrastive,0.0,4362,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,contrastive,2.0,4362,486,8.702917557628116e-05,0.0022603026635934277,-0.00011873971543826519,0.0022944264268259383,0.00020576889101454624,0.000971361451741874,0.00022925263640531865,0.0030808323590294944
qwen,contrastive,4.0,4362,486,-0.00017864209073168417,0.0037619876029474303,-0.00015476751293524226,0.0037473202811093382,-2.3874577796441997e-05,0.0015744543373490355,0.0,0.004626719066590774
qwen,contrastive,6.0,4362,486,-0.0003211702253647246,0.004708831818739639,-0.0009182172135928611,0.0048510848500679495,0.0005970469882281372,0.002132378868865284,0.00022925263640531865,0.005558602103550664
qwen,contrastive,8.0,4362,486,-0.006603891575703685,0.005519815388152316,-0.006743889246706806,0.0055970212377161035,0.0001399976710031223,0.0024483176561364162,-0.0016047684548372307,0.0063392003448212615
qwen,contrastive,10.0,4362,486,-0.01737153804315072,0.006074276258712519,-0.017586285942358892,0.0061880722757705455,0.00021474789920817092,0.0026651456221998986,-0.002751031636863824,0.007189723290751434
qwen,contrastive,12.0,4362,486,-0.03269995918858063,0.0066853648655906305,-0.031616488452994404,0.006841137299992831,-0.0010834707355862297,0.0029772818158194654,0.003897294818890417,0.008724744298370451
qwen,contrastive,14.0,4362,486,-0.057474573620591995,0.007822799004402553,-0.05390811846974427,0.007889846616441548,-0.0035664551508477207,0.0036443941810193163,0.010087116001834021,0.010164051564620002
qwen,contrastive,16.0,4362,486,-0.08756384236859112,0.008921541166855096,-0.0781407150096575,0.008921182374567075,-0.009423127358933612,0.004522193319030239,0.0270518110958276,0.012148476279179232
qwen,contrastive,18.0,4362,486,-0.11216212602439331,0.00985993546442135,-0.09699792674434546,0.009759686653162042,-0.015164199280047867,0.00515986958036792,0.046652911508482345,0.013732099163879229
qwen,contrastive,20.0,4362,486,-0.12832424458095598,0.01069716990511864,-0.1098112242002544,0.010531162856781334,-0.01851302038070161,0.0056345773537795655,0.054332874828060526,0.01507706119712069
llama,normal,0.0,4362,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama,normal,2.0,4362,486,0.006460681960104254,0.005344311364954513,0.0026782426490615263,0.005172598392848382,0.003782439311042729,0.0023865126315937807,-0.009170105456212746,0.009882759996716301
llama,normal,4.0,4362,486,0.0035402906181649634,0.008595352417949611,-0.0022524268577186184,0.008341891784224613,0.005792717475883584,0.003860174856962003,-0.014328289775332416,0.012792567482827907
llama,normal,6.0,4362,486,-0.015776083251939355,0.010353948187981875,-0.02361056895263238,0.010128341758585136,0.007834485700693025,0.0048860277780874055,-0.01879871618523613,0.014644480536975306
llama,normal,8.0,4362,486,-0.042920237943027316,0.011245558593724512,-0.05094411956257963,0.011155663075824362,0.008023881619552323,0.0053307017186965755,-0.02235213204951857,0.01586322681016128
llama,normal,10.0,4362,486,-0.0691159715967272,0.011768959920429024,-0.07519927753274952,0.011708356179138497,0.006083305936022335,0.005608971101883261,-0.007909215955983494,0.01649302467544213
llama,normal,12.0,4362,486,-0.08442877980383003,0.012245307493964144,-0.08790222365142235,0.012136471031706864,0.0034734438475923406,0.005934276863942201,-0.0008023842274186154,0.017195998448955103
llama,normal,14.0,4362,486,-0.09203672551962355,0.012630233262283382,-0.09413511073533443,0.0125053619759984,0.0020983852157108835,0.006295076072737594,0.001375515818431912,0.017735076837974765
llama,normal,16.0,4362,486,-0.09902813542906208,0.012840574165578302,-0.10102299187222474,0.012747657871445712,0.001994856443162678,0.00657048818713312,0.0036680421824850985,0.018184571379344452
llama,normal,18.0,4362,486,-0.10624593991084524,0.012927885125646818,-0.10863244892696733,0.012867557182314766,0.0023865090161220804,0.006746120481918401,0.0025217790004585052,0.018234648937694938
llama,normal,20.0,4362,486,-0.11305592470365781,0.012943357207548547,-0.11580271313745023,0.012893247530094043,0.0027467884337924265,0.006858852539938477,0.0004585052728106373,0.018317670826303332
llama,contrastive,0.0,4362,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama,contrastive,2.0,4362,486,0.008387494420709084,0.007477537652333477,0.0034397303816100355,0.007196019145663559,0.004947764039099047,0.003263393218737862,-0.016735442457588262,0.011366714568997405
llama,contrastive,4.0,4362,486,-0.012361357314180756,0.010121943019433907,-0.020247487004620552,0.009947509721125281,0.007886129690439796,0.004786704223434424,-0.021205868867491977,0.01444544703840049
llama,contrastive,6.0,4362,486,-0.03445523519246674,0.011659935267183357,-0.037757463621079186,0.011579112529622654,0.003302228428612443,0.005321500760747226,0.0008023842274186154,0.01604786954645594
llama,contrastive,8.0,4362,486,-0.03347427173073018,0.012800402349229923,-0.036061299166880396,0.012754805068288902,0.002587027436150232,0.005945482155906715,0.003782668500687758,0.017219120736656417
