model,magnitude,summary_level,n,n_qkeys,mean_difference_delta_target,ci95_difference_delta_target,p_two_sided_delta_target,contrastive_better_rate_delta_target,mean_difference_delta_others,ci95_difference_delta_others,p_two_sided_delta_others,mean_difference_delta_specificity,ci95_difference_delta_specificity,p_two_sided_delta_specificity,contrastive_better_rate_delta_specificity,mean_difference_delta_nearest,ci95_difference_delta_nearest,p_two_sided_delta_nearest,contrastive_better_rate_delta_nearest,attribute,model_class
qwen,0.0,overall,4362,486,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,
qwen,2.0,overall,4362,486,-0.00027028074419744376,0.001246247970525162,7.786509911681562e-15,0.6872427983539094,-0.0002952215339527029,0.0012804388651280227,1.8879417571380645e-16,2.494078975525918e-05,0.000625241739512398,0.674463389026141,0.38065843621399176,0.00022925263640531865,0.0029468176844104875,0.7672635826822822,0.02880658436213992,,
qwen,4.0,overall,4362,486,-0.0002979523108105514,0.002039855968765194,8.673111084237715e-23,0.8127572016460906,-0.0004242241994770036,0.0020274718328927624,4.31490625397662e-24,0.00012627188866645272,0.0009179322163506938,0.5098078816528435,0.3950617283950617,-0.002751031636863824,0.0037048378791787275,0.12710651029235134,0.03292181069958848,,
qwen,6.0,overall,4362,486,-0.0007429229002183289,0.002819092934659996,4.09125787415438e-21,0.831275720164609,-0.0013253040994041,0.0028592560278874295,1.7875210190443291e-22,0.0005823811991857708,0.0013083803533374514,0.4555181697707734,0.43209876543209874,-0.0011462631820265932,0.004333594676875795,0.5648938079611051,0.051440329218107,,
qwen,8.0,overall,4362,486,-0.006497782341945942,0.003536013064242565,6.2038663396481375e-21,0.831275720164609,-0.005999585799259286,0.003652773411092084,5.183552687581293e-20,-0.0004981965426866562,0.0015563023363597797,0.13169498034427174,0.4732510288065844,-0.0029802842732691427,0.004818323422376495,0.1840874773277391,0.06172839506172839,,
qwen,10.0,overall,4362,486,-0.015126433282162833,0.004191239235216273,1.7050999865852866e-26,0.8395061728395061,-0.014372672142617685,0.004470978751235494,1.516092587791677e-25,-0.0007537611395451464,0.0018378480336435584,0.21652978583302296,0.4711934156378601,-0.002751031636863824,0.005824144803592958,0.33221333195355185,0.0823045267489712,,
qwen,12.0,overall,4362,486,-0.02559365928403116,0.005174896530013716,1.740953894348907e-26,0.8251028806584362,-0.02427057317782177,0.005259714376846874,2.3337185229521574e-25,-0.0013230861062093916,0.0021685702594492783,0.7380087797364931,0.4403292181069959,0.0036680421824850985,0.007300857677674827,0.30172434527647973,0.16049382716049382,,
qwen,14.0,overall,4362,486,-0.04347283326333579,0.006736950370561782,3.5989854199497075e-32,0.808641975308642,-0.03989018076661317,0.006577452740952107,2.638885217153927e-28,-0.0035826524967226096,0.0029156298181845087,0.02222117424984274,0.5,0.011004126547455296,0.009026653905936937,0.007307996042611293,0.23868312757201646,,
qwen,16.0,overall,4362,486,-0.0647562878049049,0.008015362763487573,1.3557694914263944e-35,0.8004115226337448,-0.055345966175427565,0.007812022362540514,4.454151513614794e-29,-0.009410321629477338,0.0037755600815189295,3.37924844997791e-08,0.5802469135802469,0.029573590096286108,0.011091615357681722,1.1388497270419935e-07,0.3724279835390947,,
qwen,18.0,overall,4362,486,-0.0782828086607512,0.008836244112773986,1.1163481238652592e-35,0.7818930041152263,-0.06282683171456388,0.008575638782784088,1.5688593785326868e-26,-0.015455976946187338,0.004274785834328073,2.4044401020067856e-17,0.6666666666666666,0.05009170105456213,0.012431898691082419,3.766927432229689e-15,0.4732510288065844,,
