model,mode,attribute,model_class,magnitude,n,mean_delta_target,median_delta_target,mean_delta_others,median_delta_others,mean_delta_specificity,median_delta_specificity,mean_delta_nearest,median_delta_nearest
qwen,normal,gender,male,0.0,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,normal,gender,male,2.0,484,0.008209884771754402,0.0,0.006829269453917826,0.0,0.001380615317836577,0.0,-0.002066115702479339,0.0
qwen,normal,gender,male,4.0,484,0.013522273533810818,-4.999999830834767e-09,0.012639507504347999,0.0,0.0008827660294628206,0.0,0.006198347107438017,0.0
qwen,normal,gender,male,6.0,484,0.01908090954599341,-1.0000001854360008e-08,0.018806952439235212,-1.2500001478343847e-08,0.00027395710675819784,0.0,0.0,0.0
qwen,normal,gender,male,8.0,484,0.021580947804238297,-6.250000267327138e-08,0.021978297857455566,-5.999999741490569e-08,-0.000397350053217268,0.0,0.004132231404958678,0.0
qwen,normal,gender,male,10.0,484,0.02290830444061992,-3.9499998519265667e-07,0.02417796947050339,-3.099999947853149e-07,-0.0012696650298834747,0.0,0.002066115702479339,0.0
qwen,normal,gender,male,12.0,484,0.020846212446677066,-2.350003782042309e-06,0.02166053689422798,-2.350003782042309e-06,-0.0008143244475509163,0.0,0.004132231404958678,0.0
qwen,normal,gender,male,14.0,484,0.008452537763650163,-1.7617500086664073e-05,0.009274453083792468,-1.6560000283993848e-05,-0.000821915320142302,0.0,0.006198347107438017,0.0
qwen,normal,gender,male,16.0,484,-0.008603906275617239,-0.00033427000813202046,-0.008166868626475915,-0.0002265800065552881,-0.0004370376491413271,0.0,0.008264462809917356,0.0
qwen,normal,gender,male,18.0,484,-0.0291721129091697,-0.002373489831644926,-0.029531601858205685,-0.0030190650663902696,0.00035948894903597945,0.0,0.0,0.0
qwen,normal,gender,male,20.0,484,-0.06495614337707586,-0.01020807817303021,-0.059214260510772054,-0.010409113075861065,-0.005741882866303818,0.0,0.030991735537190084,0.0
qwen,normal,gender,female,0.0,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,normal,gender,female,2.0,484,-0.006531154887028854,-6.249999826013486e-08,-0.0073669253211910875,-6.999999269119428e-08,0.000835770434162233,0.0,0.002066115702479339,0.0
qwen,normal,gender,female,4.0,484,-0.0112904962120511,-3.1499989699979025e-07,-0.012945129259193156,-3.549999867957787e-07,0.0016546330471420565,0.0,-0.002066115702479339,0.0
qwen,normal,gender,female,6.0,484,-0.013758884612113827,-4.749999745756739e-07,-0.01736803290490333,-8.749723225953687e-07,0.0036091482927895,0.0,-0.012396694214876033,0.0
qwen,normal,gender,female,8.0,484,-0.018971503722326533,-2.954999838572503e-06,-0.024839789198867944,-3.4499998711468027e-06,0.0058682854765414166,0.0,-0.01859504132231405,0.0
qwen,normal,gender,female,10.0,484,-0.022274304571239113,-1.2127499963709987e-05,-0.029673988693554573,-1.2454999765654229e-05,0.007399684122315465,0.0,-0.02066115702479339,0.0
qwen,normal,gender,female,12.0,484,-0.029380458409182582,-2.7304999540650465e-05,-0.0382634944469873,-3.7044997481916475e-05,0.008883036037804718,0.0,-0.024793388429752067,0.0
qwen,normal,gender,female,14.0,484,-0.03593064237325412,-8.117500183651982e-05,-0.04681646487058778,-9.399499608159223e-05,0.01088582249733366,0.0,-0.030991735537190084,0.0
qwen,normal,gender,female,16.0,484,-0.042443943287884985,-0.0001583025042651287,-0.05269293348852197,-0.0002033700030992791,0.010248990200636982,0.0,-0.026859504132231406,0.0
qwen,normal,gender,female,18.0,484,-0.04520753426552602,-0.00026138000130332406,-0.05650562243160182,-0.00033548999497098886,0.011298088166075793,0.0,-0.026859504132231406,0.0
qwen,normal,gender,female,20.0,484,-0.05098281660260238,-0.00045779748291918665,-0.06052411698788433,-0.0005539300221494847,0.009541300385281958,0.0,-0.02066115702479339,0.0
qwen,normal,age,adult,0.0,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,normal,age,adult,2.0,482,9.308675576249242e-05,-5.000001235266893e-08,-0.0015285025157884711,-5.000001235266893e-08,0.0016215892715509643,0.0,0.0,0.0
qwen,normal,age,adult,4.0,482,-0.0007437434620368044,-5.900000044634091e-07,-0.002530065278881085,-4.099999830753376e-07,0.00178632181684428,0.0,0.006224066390041493,0.0
qwen,normal,age,adult,6.0,482,-0.0017876841336303714,-4.147499840456703e-06,-0.0038886549583057968,-3.6299998575350934e-06,0.0021009708246754284,0.0,0.012448132780082987,0.0
qwen,normal,age,adult,8.0,482,-0.00671233489685472,-5.015500127808492e-05,-0.00817645979668836,-3.6414999317280206e-05,0.001464124899833642,0.0,0.01867219917012448,0.0
qwen,normal,age,adult,10.0,482,-0.01631257281148255,-0.00040196993106478285,-0.01936374427079291,-0.00028656251765885044,0.0030511714593103685,0.0,0.01037344398340249,0.0
qwen,normal,age,adult,12.0,482,-0.030716769828645112,-0.0017856699540509252,-0.031018006571955286,-0.0016698999617094645,0.00030123674331017505,0.0,0.002074688796680498,0.0
qwen,normal,age,adult,14.0,482,-0.04637370776803427,-0.007616020419115965,-0.04347813827532842,-0.006503465091033389,-0.0028955694927058403,0.0,-0.002074688796680498,0.0
qwen,normal,age,adult,16.0,482,-0.0633174066944152,-0.01788492441224876,-0.057751546904459994,-0.01573654628261692,-0.005565859789955205,0.0,-0.004149377593360996,0.0
