qkey,attribute,channel,magnitude,regime,model_class,human_attribute,human_group,own_human_group,is_own_group,wasserstein
CARRYGUN_W26,gender,declared,,Declared,male,SEX,Male,Male,True,0.69246438
CARRYGUN_W26,gender,declared,,Declared,male,SEX,Female,Male,False,0.5720016590735245
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),male,SEX,Male,Male,True,0.6352443321485836
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),male,SEX,Female,Male,False,0.514781611222108
CARRYGUN_W26,gender,steered,2.0,Steered N=2,male,SEX,Male,Male,True,0.3936027926034771
CARRYGUN_W26,gender,steered,2.0,Steered N=2,male,SEX,Female,Male,False,0.3242553095442917
CARRYGUN_W26,gender,steered,4.0,Steered N=4,male,SEX,Male,Male,True,0.5416056867905885
CARRYGUN_W26,gender,steered,4.0,Steered N=4,male,SEX,Female,Male,False,0.48253167702763433
CARRYGUN_W26,gender,steered,6.0,Steered N=6,male,SEX,Male,Male,True,0.8947026961258926
CARRYGUN_W26,gender,steered,6.0,Steered N=6,male,SEX,Female,Male,False,1.015165417052368
CARRYGUN_W26,gender,steered,8.0,Steered N=8,male,SEX,Male,Male,True,0.8533031088111828
CARRYGUN_W26,gender,steered,8.0,Steered N=8,male,SEX,Female,Male,False,0.9737658297376582
CARRYGUN_W26,gender,steered,10.0,Steered N=10,male,SEX,Male,Male,True,0.4617157704187628
CARRYGUN_W26,gender,steered,10.0,Steered N=10,male,SEX,Female,Male,False,0.5821784913452384
CARRYGUN_W26,gender,steered,12.0,Steered N=12,male,SEX,Male,Male,True,0.32129065000000007
CARRYGUN_W26,gender,steered,12.0,Steered N=12,male,SEX,Female,Male,False,0.25064111092647545
CARRYGUN_W26,gender,steered,14.0,Steered N=14,male,SEX,Male,Male,True,0.2858708580438105
CARRYGUN_W26,gender,steered,14.0,Steered N=14,male,SEX,Female,Male,False,0.2095699694874471
CARRYGUN_W26,gender,steered,16.0,Steered N=16,male,SEX,Male,Male,True,0.2783903682682251
CARRYGUN_W26,gender,steered,16.0,Steered N=16,male,SEX,Female,Male,False,0.20208947971186172
CARRYGUN_W26,gender,steered,18.0,Steered N=18,male,SEX,Male,Male,True,0.28382128
CARRYGUN_W26,gender,steered,18.0,Steered N=18,male,SEX,Female,Male,False,0.20752039144363663
