attribute,channel,magnitude,regime,n,n_human_groups,chance_accuracy,strict_accuracy,tie_aware_accuracy,fractional_tie_accuracy,lift_over_chance,tie_rate
gender,declared,,Declared,968,2,0.5,0.5196280991735537,0.5196280991735537,0.5196280991735537,0.01962809917355368,0.0
gender,steered,0.0,Neutral (N=0),968,2,0.5,0.5,0.5,0.5,0.0,0.0
gender,steered,2.0,Steered N=2,968,2,0.5,0.4452479338842975,0.4452479338842975,0.4452479338842975,-0.05475206611570249,0.0
gender,steered,4.0,Steered N=4,968,2,0.5,0.4297520661157025,0.4297520661157025,0.4297520661157025,-0.07024793388429751,0.0
gender,steered,6.0,Steered N=6,968,2,0.5,0.4318181818181818,0.4318181818181818,0.4318181818181818,-0.06818181818181818,0.0
gender,steered,8.0,Steered N=8,968,2,0.5,0.42355371900826444,0.42355371900826444,0.42355371900826444,-0.07644628099173556,0.0
gender,steered,10.0,Steered N=10,968,2,0.5,0.46797520661157027,0.46797520661157027,0.46797520661157027,-0.03202479338842973,0.0
gender,steered,12.0,Steered N=12,968,2,0.5,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.011363636363636354,0.0
gender,steered,14.0,Steered N=14,968,2,0.5,0.5289256198347108,0.5289256198347108,0.5289256198347108,0.02892561983471076,0.0
gender,steered,16.0,Steered N=16,968,2,0.5,0.5402892561983471,0.5402892561983471,0.5402892561983471,0.04028925619834711,0.0
gender,steered,18.0,Steered N=18,968,2,0.5,0.5413223140495868,0.5413223140495868,0.5413223140495868,0.04132231404958675,0.0
gender,steered,20.0,Steered N=20,968,2,0.5,0.5464876033057852,0.5464876033057852,0.5464876033057852,0.04648760330578516,0.0
age,declared,,Declared,964,2,0.5,0.4948132780082988,0.4948132780082988,0.4948132780082988,-0.005186721991701226,0.0
age,steered,0.0,Neutral (N=0),964,2,0.5,0.5,0.5,0.5,0.0,0.0
age,steered,2.0,Steered N=2,964,2,0.5,0.4948132780082988,0.4948132780082988,0.4948132780082988,-0.005186721991701226,0.0
age,steered,4.0,Steered N=4,964,2,0.5,0.483402489626556,0.483402489626556,0.483402489626556,-0.01659751037344398,0.0
age,steered,6.0,Steered N=6,964,2,0.5,0.470954356846473,0.470954356846473,0.470954356846473,-0.02904564315352698,0.0
age,steered,8.0,Steered N=8,964,2,0.5,0.47406639004149376,0.47406639004149376,0.47406639004149376,-0.025933609958506243,0.0
age,steered,10.0,Steered N=10,964,2,0.5,0.4979253112033195,0.4979253112033195,0.4979253112033195,-0.0020746887966804906,0.0
age,steered,12.0,Steered N=12,964,2,0.5,0.5114107883817427,0.5114107883817427,0.5114107883817427,0.011410788381742698,0.0
age,steered,14.0,Steered N=14,964,2,0.5,0.5020746887966805,0.5020746887966805,0.5020746887966805,0.0020746887966804906,0.0
age,steered,16.0,Steered N=16,964,2,0.5,0.508298755186722,0.508298755186722,0.508298755186722,0.008298755186721962,0.0
age,steered,18.0,Steered N=18,964,2,0.5,0.5103734439834025,0.5103734439834025,0.5103734439834025,0.010373443983402453,0.0
age,steered,20.0,Steered N=20,964,2,0.5,0.5062240663900415,0.5062240663900415,0.5062240663900415,0.006224066390041472,0.0
education,declared,,Declared,1458,3,0.3333333333333333,0.34087791495198905,0.34087791495198905,0.34087791495198905,0.007544581618655732,0.0
education,steered,0.0,Neutral (N=0),1458,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
education,steered,2.0,Steered N=2,1458,3,0.3333333333333333,0.34156378600823045,0.34156378600823045,0.34156378600823045,0.008230452674897137,0.0
education,steered,4.0,Steered N=4,1458,3,0.3333333333333333,0.3401920438957476,0.3401920438957476,0.3401920438957476,0.006858710562414272,0.0
