attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
gender,declared,,Declared,male,484,-0.02401771862181501,0.014294299927456188,-0.01701012353138978,0.5764462809917356
gender,steered,0.0,Neutral (N=0),male,484,-0.013513089789221566,0.013887111768287157,-0.009271329953522756,0.5578512396694215
gender,steered,2.0,Steered N=2,male,484,0.005098395460382798,0.013968694073293937,0.0010709018292694439,0.49586776859504134
gender,steered,4.0,Steered N=4,male,484,0.006543848002828103,0.01388232543506636,0.0016386989098949312,0.493801652892562
gender,steered,6.0,Steered N=6,male,484,0.005368882456714786,0.015013065795700914,-0.00013534615244997772,0.5020661157024794
gender,steered,8.0,Steered N=8,male,484,0.008672040475047934,0.014538124973234944,0.004870303988150415,0.47107438016528924
gender,steered,10.0,Steered N=10,male,484,-0.009041080336416821,0.013176400831159252,-0.0032277647361953765,0.5289256198347108
gender,steered,12.0,Steered N=12,male,484,-0.028516881978101472,0.012048298882439114,-0.014974719998111036,0.5785123966942148
gender,steered,14.0,Steered N=14,male,484,-0.03742260725299316,0.011686695811431103,-0.017897092195047065,0.5929752066115702
gender,steered,16.0,Steered N=16,male,484,-0.04116961362538101,0.011711923201185708,-0.021106420439879703,0.6136363636363636
gender,steered,18.0,Steered N=18,male,484,-0.04088360738879611,0.011723071773490062,-0.023603237973107483,0.609504132231405
gender,steered,20.0,Steered N=20,male,484,-0.03978448134464245,0.011635144263706794,-0.02246246011718922,0.621900826446281
gender,declared,,Declared,female,484,0.0082108971720431,0.013086297980760308,0.0049602775000000265,0.4628099173553719
gender,steered,0.0,Neutral (N=0),female,484,0.013513089789221566,0.013887111768287157,0.009271329953522756,0.44214876033057854
gender,steered,2.0,Steered N=2,female,484,0.03794135762733334,0.013554241878403062,0.023054528071697986,0.39462809917355374
gender,steered,4.0,Steered N=4,female,484,0.04880463705507231,0.013783052399039158,0.02529015499999987,0.365702479338843
gender,steered,6.0,Steered N=6,female,484,0.05271317192581644,0.014678236906240734,0.026814672404726014,0.3615702479338843
gender,steered,8.0,Steered N=8,female,484,0.04866687858915865,0.015577978158093525,0.023478149190590464,0.3760330578512397
