qkey,attribute,channel,magnitude,regime,model_class,own_human_group,distance_own,mean_distance_others,specificity_margin
CARRYGUN_W26,gender,declared,,Declared,male,Male,0.69246438,0.5720016590735245,0.12046272092647548
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),male,Male,0.6352443321485836,0.514781611222108,0.12046272092647559
CARRYGUN_W26,gender,steered,2.0,Steered N=2,male,Male,0.3936027926034771,0.3242553095442917,0.06934748305918537
CARRYGUN_W26,gender,steered,4.0,Steered N=4,male,Male,0.5416056867905885,0.48253167702763433,0.05907400976295418
CARRYGUN_W26,gender,steered,6.0,Steered N=6,male,Male,0.8947026961258926,1.015165417052368,-0.12046272092647548
CARRYGUN_W26,gender,steered,8.0,Steered N=8,male,Male,0.8533031088111828,0.9737658297376582,-0.12046272092647548
CARRYGUN_W26,gender,steered,10.0,Steered N=10,male,Male,0.4617157704187628,0.5821784913452384,-0.12046272092647553
CARRYGUN_W26,gender,steered,12.0,Steered N=12,male,Male,0.32129065000000007,0.25064111092647545,0.07064953907352461
CARRYGUN_W26,gender,steered,14.0,Steered N=14,male,Male,0.2858708580438105,0.2095699694874471,0.07630088855636341
CARRYGUN_W26,gender,steered,16.0,Steered N=16,male,Male,0.2783903682682251,0.20208947971186172,0.07630088855636338
CARRYGUN_W26,gender,steered,18.0,Steered N=18,male,Male,0.28382128,0.20752039144363663,0.07630088855636338
CARRYGUN_W26,gender,steered,20.0,Steered N=20,male,Male,0.29640929151489503,0.22010840295853168,0.07630088855636336
CARRYGUN_W26,gender,declared,,Declared,female,Female,0.3511128797923859,0.42046036285157123,-0.06934748305918531
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),female,Female,0.514781611222108,0.6352443321485836,-0.12046272092647559
CARRYGUN_W26,gender,steered,2.0,Steered N=2,female,Female,0.5026344792829356,0.5942956926592213,-0.09166121337628574
CARRYGUN_W26,gender,steered,4.0,Steered N=4,female,Female,0.6442911727490385,0.7647538936755139,-0.12046272092647548
CARRYGUN_W26,gender,steered,6.0,Steered N=6,female,Female,0.6685419890735245,0.78900471,-0.12046272092647559
CARRYGUN_W26,gender,steered,8.0,Steered N=8,female,Female,0.5276275004652727,0.6480902213917482,-0.12046272092647548
CARRYGUN_W26,gender,steered,10.0,Steered N=10,female,Female,0.22872661313089585,0.31767227665243036,-0.08894566352153452
CARRYGUN_W26,gender,steered,12.0,Steered N=12,female,Female,0.24530345437785048,0.32160434293421386,-0.07630088855636338
CARRYGUN_W26,gender,steered,14.0,Steered N=14,female,Female,0.45695504821262517,0.33649232728614964,0.12046272092647553
CARRYGUN_W26,gender,steered,16.0,Steered N=16,female,Female,0.5512115646833957,0.4307488437569202,0.12046272092647553
CARRYGUN_W26,gender,steered,18.0,Steered N=18,female,Female,0.5557345740808262,0.43527185315435063,0.12046272092647553
CARRYGUN_W26,gender,steered,20.0,Steered N=20,female,Female,0.5167950766850005,0.396332355758525,0.12046272092647548
CARRYGUN_W26,age,declared,,Declared,adult,30-49,0.3577167092826239,0.29753809928262387,0.06017861000000002
CARRYGUN_W26,age,steered,0.0,Neutral (N=0),adult,30-49,0.5170512760417739,0.4568726660417739,0.06017861000000002
CARRYGUN_W26,age,steered,2.0,Steered N=2,adult,30-49,0.6324431699999999,0.5477446,0.08469856999999992
CARRYGUN_W26,age,steered,4.0,Steered N=4,adult,30-49,0.6701050153981271,0.585406445398127,0.08469857000000003
CARRYGUN_W26,age,steered,6.0,Steered N=6,adult,30-49,0.6783493822264769,0.593650812226477,0.08469856999999992
CARRYGUN_W26,age,steered,8.0,Steered N=8,adult,30-49,0.680628813222096,0.595930243222096,0.08469857000000003
CARRYGUN_W26,age,steered,10.0,Steered N=10,adult,30-49,0.6380619347412971,0.5533633647412971,0.08469857000000003
CARRYGUN_W26,age,steered,12.0,Steered N=12,adult,30-49,0.50458987,0.41989129999999997,0.08469857000000003
CARRYGUN_W26,age,steered,14.0,Steered N=14,adult,30-49,0.27847432,0.19377575,0.08469857
CARRYGUN_W26,age,steered,16.0,Steered N=16,adult,30-49,0.1307144518945379,0.0725014018945378,0.0582130500000001
CARRYGUN_W26,age,steered,18.0,Steered N=18,adult,30-49,0.15761501882775786,0.2423135888277579,-0.08469857000000003
