attribute,channel,magnitude,regime,n,n_human_groups,chance_accuracy,strict_accuracy,tie_aware_accuracy,fractional_tie_accuracy,lift_over_chance,tie_rate
gender,declared,,Declared,968,2,0.5,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.011363636363636354,0.0
gender,steered,0.0,Neutral (N=0),968,2,0.5,0.5,0.5,0.5,0.0,0.0
gender,steered,2.0,Steered N=2,968,2,0.5,0.4555785123966942,0.4555785123966942,0.4555785123966942,-0.044421487603305776,0.0
gender,steered,4.0,Steered N=4,968,2,0.5,0.48037190082644626,0.48037190082644626,0.48037190082644626,-0.019628099173553737,0.0
gender,steered,6.0,Steered N=6,968,2,0.5,0.4865702479338843,0.4865702479338843,0.4865702479338843,-0.013429752066115686,0.0
gender,steered,8.0,Steered N=8,968,2,0.5,0.490702479338843,0.490702479338843,0.490702479338843,-0.009297520661157022,0.0
gender,steered,10.0,Steered N=10,968,2,0.5,0.4896694214876033,0.4896694214876033,0.4896694214876033,-0.010330578512396715,0.0
gender,steered,12.0,Steered N=12,968,2,0.5,0.4896694214876033,0.4896694214876033,0.4896694214876033,-0.010330578512396715,0.0
gender,steered,14.0,Steered N=14,968,2,0.5,0.4927685950413223,0.4927685950413223,0.4927685950413223,-0.00723140495867769,0.0
gender,steered,16.0,Steered N=16,968,2,0.5,0.4927685950413223,0.4927685950413223,0.4927685950413223,-0.00723140495867769,0.0
gender,steered,18.0,Steered N=18,968,2,0.5,0.49483471074380164,0.49483471074380164,0.49483471074380164,-0.005165289256198358,0.0
gender,steered,20.0,Steered N=20,968,2,0.5,0.493801652892562,0.493801652892562,0.493801652892562,-0.006198347107437996,0.0
age,declared,,Declared,964,2,0.5,0.5031120331950207,0.5031120331950207,0.5031120331950207,0.003112033195020736,0.0
age,steered,0.0,Neutral (N=0),964,2,0.5,0.5,0.5,0.5,0.0,0.0
age,steered,2.0,Steered N=2,964,2,0.5,0.5134854771784232,0.5134854771784232,0.5134854771784232,0.013485477178423189,0.0
age,steered,4.0,Steered N=4,964,2,0.5,0.495850622406639,0.495850622406639,0.495850622406639,-0.004149377593360981,0.0
age,steered,6.0,Steered N=6,964,2,0.5,0.4948132780082988,0.4948132780082988,0.4948132780082988,-0.005186721991701226,0.0
age,steered,8.0,Steered N=8,964,2,0.5,0.49066390041493774,0.49066390041493774,0.49066390041493774,-0.009336099585062263,0.0
age,steered,10.0,Steered N=10,964,2,0.5,0.48858921161825725,0.48858921161825725,0.48858921161825725,-0.011410788381742754,0.0
age,steered,12.0,Steered N=12,964,2,0.5,0.49066390041493774,0.49066390041493774,0.49066390041493774,-0.009336099585062263,0.0
age,steered,14.0,Steered N=14,964,2,0.5,0.48858921161825725,0.48858921161825725,0.48858921161825725,-0.011410788381742754,0.0
age,steered,16.0,Steered N=16,964,2,0.5,0.48858921161825725,0.48858921161825725,0.48858921161825725,-0.011410788381742754,0.0
age,steered,18.0,Steered N=18,964,2,0.5,0.4854771784232365,0.4854771784232365,0.4854771784232365,-0.01452282157676349,0.0
age,steered,20.0,Steered N=20,964,2,0.5,0.48651452282157676,0.48651452282157676,0.48651452282157676,-0.013485477178423244,0.0
education,declared,,Declared,1458,3,0.3333333333333333,0.3443072702331962,0.3443072702331962,0.3443072702331962,0.010973936899862868,0.0
education,steered,0.0,Neutral (N=0),1458,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
education,steered,2.0,Steered N=2,1458,3,0.3333333333333333,0.35253772290809327,0.35253772290809327,0.35253772290809327,0.01920438957475995,0.0
education,steered,4.0,Steered N=4,1458,3,0.3333333333333333,0.3299039780521262,0.33058984910836764,0.33024691358024694,-0.003086419753086378,0.0006858710562414266
education,steered,6.0,Steered N=6,1458,3,0.3333333333333333,0.3319615912208505,0.3326474622770919,0.3323045267489712,-0.0010288065843621075,0.0006858710562414266
education,steered,8.0,Steered N=8,1458,3,0.3333333333333333,0.3326474622770919,0.3333333333333333,0.3329903978052126,-0.0003429355281207025,0.0006858710562414266
education,steered,10.0,Steered N=10,1458,3,0.3333333333333333,0.33127572016460904,0.3319615912208505,0.33161865569272975,-0.001714677640603568,0.0006858710562414266
education,steered,12.0,Steered N=12,1458,3,0.3333333333333333,0.33058984910836764,0.33127572016460904,0.33093278463648834,-0.002400548696844973,0.0006858710562414266
education,steered,14.0,Steered N=14,1458,3,0.3333333333333333,0.33127572016460904,0.3319615912208505,0.33161865569272975,-0.001714677640603568,0.0006858710562414266
education,steered,16.0,Steered N=16,1458,3,0.3333333333333333,0.33127572016460904,0.3319615912208505,0.33161865569272975,-0.001714677640603568,0.0006858710562414266
education,steered,18.0,Steered N=18,1458,3,0.3333333333333333,0.33127572016460904,0.3319615912208505,0.33161865569272975,-0.001714677640603568,0.0006858710562414266
education,steered,20.0,Steered N=20,1458,3,0.3333333333333333,0.33127572016460904,0.3319615912208505,0.33161865569272975,-0.001714677640603568,0.0006858710562414266
socioeco,declared,,Declared,972,2,0.5,0.5504115226337448,0.5504115226337448,0.5504115226337448,0.05041152263374482,0.0
socioeco,steered,0.0,Neutral (N=0),972,2,0.5,0.49897119341563784,0.5010288065843621,0.5,0.0,0.00205761316872428
socioeco,steered,2.0,Steered N=2,972,2,0.5,0.5020576131687243,0.5020576131687243,0.5020576131687243,0.002057613168724326,0.0
socioeco,steered,4.0,Steered N=4,972,2,0.5,0.5,0.5,0.5,0.0,0.0
socioeco,steered,6.0,Steered N=6,972,2,0.5,0.5082304526748971,0.5082304526748971,0.5082304526748971,0.008230452674897082,0.0
socioeco,steered,8.0,Steered N=8,972,2,0.5,0.507201646090535,0.507201646090535,0.507201646090535,0.007201646090534974,0.0
socioeco,steered,10.0,Steered N=10,972,2,0.5,0.507201646090535,0.507201646090535,0.507201646090535,0.007201646090534974,0.0
socioeco,steered,12.0,Steered N=12,972,2,0.5,0.5092592592592593,0.5092592592592593,0.5092592592592593,0.0092592592592593,0.0
socioeco,steered,14.0,Steered N=14,972,2,0.5,0.5113168724279835,0.5113168724279835,0.5113168724279835,0.011316872427983515,0.0
socioeco,steered,16.0,Steered N=16,972,2,0.5,0.5154320987654321,0.5154320987654321,0.5154320987654321,0.015432098765432056,0.0
socioeco,steered,18.0,Steered N=18,972,2,0.5,0.5154320987654321,0.5154320987654321,0.5154320987654321,0.015432098765432056,0.0
