attribute,channel,magnitude,regime,model_class,own_human_group,predicted_human_group,count,row_fraction
gender,declared,,Declared,male,Male,Female,303,0.6260330578512396
gender,steered,0.0,Neutral (N=0),male,Male,Female,296,0.6115702479338843
gender,steered,2.0,Steered N=2,male,Male,Male,230,0.47520661157024796
gender,steered,4.0,Steered N=4,male,Male,Male,272,0.5619834710743802
gender,steered,6.0,Steered N=6,male,Male,Male,285,0.5888429752066116
gender,steered,8.0,Steered N=8,male,Male,Male,292,0.6033057851239669
gender,steered,10.0,Steered N=10,male,Male,Male,292,0.6033057851239669
gender,steered,12.0,Steered N=12,male,Male,Male,294,0.6074380165289256
gender,steered,14.0,Steered N=14,male,Male,Male,296,0.6115702479338843
gender,steered,16.0,Steered N=16,male,Male,Male,296,0.6115702479338843
gender,steered,18.0,Steered N=18,male,Male,Male,298,0.6157024793388429
gender,steered,20.0,Steered N=20,male,Male,Male,297,0.6136363636363636
gender,declared,,Declared,female,Female,Female,314,0.6487603305785123
gender,steered,0.0,Neutral (N=0),female,Female,Female,296,0.6115702479338843
gender,steered,2.0,Steered N=2,female,Female,Female,211,0.4359504132231405
gender,steered,4.0,Steered N=4,female,Female,Female,193,0.3987603305785124
gender,steered,6.0,Steered N=6,female,Female,Female,186,0.384297520661157
gender,steered,8.0,Steered N=8,female,Female,Female,183,0.378099173553719
gender,steered,10.0,Steered N=10,female,Female,Female,182,0.3760330578512397
gender,steered,12.0,Steered N=12,female,Female,Female,180,0.371900826446281
gender,steered,14.0,Steered N=14,female,Female,Female,181,0.3739669421487603
gender,steered,16.0,Steered N=16,female,Female,Female,181,0.3739669421487603
gender,steered,18.0,Steered N=18,female,Female,Female,181,0.3739669421487603
gender,steered,20.0,Steered N=20,female,Female,Female,181,0.3739669421487603
age,declared,,Declared,adult,30-49,65+,215,0.4460580912863071
age,steered,0.0,Neutral (N=0),adult,30-49,65+,218,0.45228215767634855
age,steered,2.0,Steered N=2,adult,30-49,30-49,310,0.6431535269709544
age,steered,4.0,Steered N=4,adult,30-49,30-49,287,0.5954356846473029
age,steered,6.0,Steered N=6,adult,30-49,30-49,286,0.5933609958506224
age,steered,8.0,Steered N=8,adult,30-49,30-49,282,0.5850622406639004
age,steered,10.0,Steered N=10,adult,30-49,30-49,281,0.58298755186722
age,steered,12.0,Steered N=12,adult,30-49,30-49,280,0.5809128630705395
age,steered,14.0,Steered N=14,adult,30-49,30-49,279,0.578838174273859
age,steered,16.0,Steered N=16,adult,30-49,30-49,278,0.5767634854771784
age,steered,18.0,Steered N=18,adult,30-49,30-49,277,0.5746887966804979
age,steered,20.0,Steered N=20,adult,30-49,30-49,277,0.5746887966804979
age,declared,,Declared,older_adult,65+,65+,218,0.45228215767634855
age,steered,0.0,Neutral (N=0),older_adult,65+,65+,218,0.45228215767634855
age,steered,2.0,Steered N=2,older_adult,65+,30-49,297,0.6161825726141079
age,steered,4.0,Steered N=4,older_adult,65+,30-49,291,0.6037344398340249
