attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
gender,declared,,Declared,male,484,0.030500918521156162,0.015654295612392156,0.02103479795189192,0.3739669421487603
gender,steered,0.0,Neutral (N=0),male,484,0.02609438405302912,0.01333482175978101,0.01994202859841343,0.3884297520661157
gender,steered,2.0,Steered N=2,male,484,-0.006193311287208905,0.017755818708533794,0.0031223806934962683,0.47520661157024796
gender,steered,4.0,Steered N=4,male,484,-0.034519851013551366,0.016217101628220827,-0.010509497841286214,0.5619834710743802
gender,steered,6.0,Steered N=6,male,484,-0.041544779328117454,0.015807466838788795,-0.01756681246594019,0.5888429752066116
gender,steered,8.0,Steered N=8,male,484,-0.043529531219433426,0.01569790289281291,-0.015155054999999903,0.6033057851239669
gender,steered,10.0,Steered N=10,male,484,-0.044378574345420654,0.015637453852462728,-0.017469566579125267,0.6033057851239669
gender,steered,12.0,Steered N=12,male,484,-0.045145499445375284,0.015599630928980986,-0.01765826731537512,0.6074380165289256
gender,steered,14.0,Steered N=14,male,484,-0.04526038900755139,0.015608480907210608,-0.01765826731537512,0.6115702479338843
gender,steered,16.0,Steered N=16,male,484,-0.04563843088193371,0.01556377406677249,-0.01765826731537512,0.6115702479338843
gender,steered,18.0,Steered N=18,male,484,-0.04579108276776696,0.015574125529333654,-0.017976462156526582,0.6157024793388429
gender,steered,20.0,Steered N=20,male,484,-0.04589184592424959,0.015568524578528366,-0.01774665460641278,0.6136363636363636
gender,declared,,Declared,female,484,-0.053903104090754196,0.015047133639435854,-0.02396582297601746,0.6487603305785123
gender,steered,0.0,Neutral (N=0),female,484,-0.02609438405302912,0.01333482175978101,-0.01994202859841343,0.6115702479338843
gender,steered,2.0,Steered N=2,female,484,0.031022179159662145,0.014273859136564072,0.01331002092277836,0.4359504132231405
gender,steered,4.0,Steered N=4,female,484,0.0440554244686526,0.013422029291763605,0.021771521630899904,0.3987603305785124
gender,steered,6.0,Steered N=6,female,484,0.046938022474414524,0.013199992258600236,0.0237823395591599,0.384297520661157
gender,steered,8.0,Steered N=8,female,484,0.0483380593565724,0.013109426928395484,0.02712682920404652,0.378099173553719
gender,steered,10.0,Steered N=10,female,484,0.04917545706176969,0.013082091794157258,0.027349962280860257,0.3760330578512397
gender,steered,12.0,Steered N=12,female,484,0.04962904420344064,0.013053256196579934,0.027126829204046576,0.371900826446281
gender,steered,14.0,Steered N=14,female,484,0.04990553763545582,0.01304618061050847,0.027523784999999967,0.3739669421487603
gender,steered,16.0,Steered N=16,female,484,0.050109055620558604,0.013033372658351243,0.02869817779277742,0.3739669421487603
gender,steered,18.0,Steered N=18,female,484,0.050207645156519515,0.013017153435334473,0.028718426489954048,0.3739669421487603
gender,steered,20.0,Steered N=20,female,484,0.05025331721338745,0.013011877733025612,0.02865856615353507,0.3739669421487603
age,declared,,Declared,adult,482,-0.04112156234355064,0.01936290180339737,-0.018052502843787732,0.553941908713693
age,steered,0.0,Neutral (N=0),adult,482,-0.031187211792842222,0.01865708471807032,-0.016670222499999943,0.5477178423236515
age,steered,2.0,Steered N=2,adult,482,-0.05515334802878172,0.017009010017016605,-0.03599421057510639,0.6431535269709544
age,steered,4.0,Steered N=4,adult,482,-0.037170316241849286,0.018285429175292564,-0.029200997499999937,0.5954356846473029
age,steered,6.0,Steered N=6,adult,482,-0.0340751441816033,0.018629049672344543,-0.0270701793678865,0.5933609958506224
age,steered,8.0,Steered N=8,adult,482,-0.03285804119959543,0.018819679557038695,-0.02809982400374106,0.5850622406639004
age,steered,10.0,Steered N=10,adult,482,-0.03236146035836122,0.018889523143501428,-0.024685466070142756,0.58298755186722
age,steered,12.0,Steered N=12,adult,482,-0.03184578173765427,0.018938978064087345,-0.02625135519304278,0.5809128630705395
age,steered,14.0,Steered N=14,adult,482,-0.03150885482882243,0.018955579747853675,-0.024685466070142784,0.578838174273859
age,steered,16.0,Steered N=16,adult,482,-0.031249853527919712,0.019018497854353184,-0.0242417531172356,0.5767634854771784
age,steered,18.0,Steered N=18,adult,482,-0.031036756527206312,0.019029732788993742,-0.024508120865338476,0.5746887966804979
age,steered,20.0,Steered N=20,adult,482,-0.030706171400247274,0.019071704653479377,-0.025039598708405206,0.5746887966804979
age,declared,,Declared,older_adult,482,0.013191223740911478,0.019418834008979945,0.01639806108984962,0.45228215767634855
age,steered,0.0,Neutral (N=0),older_adult,482,0.031187211792842222,0.01865708471807032,0.016670222499999943,0.45228215767634855
age,steered,2.0,Steered N=2,older_adult,482,0.05750600240935493,0.015728763456484923,0.036204325711508084,0.38381742738589214
age,steered,4.0,Steered N=4,older_adult,482,0.05607653753360853,0.016196627140826682,0.036925648472129396,0.3962655601659751
age,steered,6.0,Steered N=6,older_adult,482,0.05499404896419729,0.016314342946288803,0.03690197299410734,0.3962655601659751
age,steered,8.0,Steered N=8,older_adult,482,0.054444662561974784,0.01635383907711217,0.03675286727319341,0.3962655601659751
age,steered,10.0,Steered N=10,older_adult,482,0.05422339196722374,0.016394276142766853,0.03626380630979906,0.3941908713692946
age,steered,12.0,Steered N=12,older_adult,482,0.05390422070564449,0.01641587000498473,0.03515749807990726,0.4004149377593361
age,steered,14.0,Steered N=14,older_adult,482,0.053922974984983704,0.016413614951511155,0.03538201649972955,0.3983402489626556
age,steered,16.0,Steered N=16,older_adult,482,0.05367245785595307,0.016421680444091376,0.03428169855237992,0.4004149377593361
age,steered,18.0,Steered N=18,older_adult,482,0.05374241230323761,0.016441256557541962,0.03327969387127502,0.3962655601659751
age,steered,20.0,Steered N=20,older_adult,482,0.05367529646562078,0.016430483188533265,0.03348003163971944,0.3983402489626556
education,declared,,Declared,some schooling,486,0.032928261897364794,0.016343003684931554,0.032740118879254,0.38477366255144035
education,steered,0.0,Neutral (N=0),some schooling,486,0.05202685242412189,0.01546244380575222,0.03803137749999996,0.34156378600823045
education,steered,2.0,Steered N=2,some schooling,486,-0.026178330691073833,0.015129467938354877,-0.02669000100517953,0.588477366255144
education,steered,4.0,Steered N=4,some schooling,486,-0.03159716150816776,0.014738770914666927,-0.029108073313838967,0.6152263374485597
education,steered,6.0,Steered N=6,some schooling,486,-0.03284864764760692,0.014616682886858526,-0.03253694669758192,0.6213991769547325
education,steered,8.0,Steered N=8,some schooling,486,-0.033099024729389824,0.014595779654212849,-0.030763328416651553,0.6193415637860082
