qkey,attribute,channel,magnitude,regime,model_class,own_human_group,distance_own,mean_distance_others,specificity_margin
CARRYGUN_W26,gender,declared,,Declared,male,Male,1.02775715999594,0.9072944390694646,0.12046272092647548
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),male,Male,1.0277401199992497,0.907277399072774,0.1204627209264757
CARRYGUN_W26,gender,steered,2.0,Steered N=2,male,Male,0.7494155811384631,0.8698783020649385,-0.12046272092647548
CARRYGUN_W26,gender,steered,4.0,Steered N=4,male,Male,0.6746726659502436,0.795135386876719,-0.12046272092647548
CARRYGUN_W26,gender,steered,6.0,Steered N=6,male,Male,0.64220727,0.7626699909264755,-0.12046272092647548
CARRYGUN_W26,gender,steered,8.0,Steered N=8,male,Male,0.627003962740956,0.7474666836674316,-0.12046272092647559
CARRYGUN_W26,gender,steered,10.0,Steered N=10,male,Male,0.6219543124884737,0.7424170334149492,-0.12046272092647559
CARRYGUN_W26,gender,steered,12.0,Steered N=12,male,Male,0.6142634449455022,0.7347261658719778,-0.12046272092647559
CARRYGUN_W26,gender,steered,14.0,Steered N=14,male,Male,0.6159911550664423,0.7364538759929178,-0.12046272092647548
CARRYGUN_W26,gender,steered,16.0,Steered N=16,male,Male,0.6143446635784018,0.7348073845048773,-0.12046272092647548
CARRYGUN_W26,gender,steered,18.0,Steered N=18,male,Male,0.6148229507208569,0.7352856716473324,-0.12046272092647548
CARRYGUN_W26,gender,steered,20.0,Steered N=20,male,Male,0.6113863636079848,0.7318490845344604,-0.12046272092647559
CARRYGUN_W26,gender,declared,,Declared,female,Female,0.9073070090748875,1.027769730001363,-0.12046272092647559
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),female,Female,0.907277399072774,1.0277401199992497,-0.1204627209264757
CARRYGUN_W26,gender,steered,2.0,Steered N=2,female,Female,0.26546677408540204,0.3616929266448894,-0.09622615255948735
CARRYGUN_W26,gender,steered,4.0,Steered N=4,female,Female,0.2101326334167061,0.2864335219730695,-0.07630088855636338
CARRYGUN_W26,gender,steered,6.0,Steered N=6,female,Female,0.2166506228893761,0.2929515114457395,-0.07630088855636341
