qkey,attribute,channel,magnitude,regime,model_class,human_attribute,human_group,own_human_group,is_own_group,wasserstein
CARRYGUN_W26,gender,declared,,Declared,male,SEX,Male,Male,True,1.0278146100000054
CARRYGUN_W26,gender,declared,,Declared,male,SEX,Female,Male,False,0.90735188907353
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),male,SEX,Male,Male,True,1.027815020000003
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),male,SEX,Female,Male,False,0.9073522990735274
CARRYGUN_W26,gender,steered,2.0,Steered N=2,male,SEX,Male,Male,True,1.0278149499999938
CARRYGUN_W26,gender,steered,2.0,Steered N=2,male,SEX,Female,Male,False,0.9073522290735183
CARRYGUN_W26,gender,steered,4.0,Steered N=4,male,SEX,Male,Male,True,1.0278148099999966
CARRYGUN_W26,gender,steered,4.0,Steered N=4,male,SEX,Female,Male,False,0.907352089073521
CARRYGUN_W26,gender,steered,6.0,Steered N=6,male,SEX,Male,Male,True,1.0278143100000086
CARRYGUN_W26,gender,steered,6.0,Steered N=6,male,SEX,Female,Male,False,0.9073515890735331
CARRYGUN_W26,gender,steered,8.0,Steered N=8,male,SEX,Male,Male,True,1.0278137399999432
CARRYGUN_W26,gender,steered,8.0,Steered N=8,male,SEX,Female,Male,False,0.9073510190734677
CARRYGUN_W26,gender,steered,10.0,Steered N=10,male,SEX,Male,Male,True,1.02781176
CARRYGUN_W26,gender,steered,10.0,Steered N=10,male,SEX,Female,Male,False,0.9073490390735246
CARRYGUN_W26,gender,steered,12.0,Steered N=12,male,SEX,Male,Male,True,1.0278094599997152
CARRYGUN_W26,gender,steered,12.0,Steered N=12,male,SEX,Female,Male,False,0.9073467390732396
CARRYGUN_W26,gender,steered,14.0,Steered N=14,male,SEX,Male,Male,True,1.027796860000915
CARRYGUN_W26,gender,steered,14.0,Steered N=14,male,SEX,Female,Male,False,0.9073341390744396
CARRYGUN_W26,gender,steered,16.0,Steered N=16,male,SEX,Male,Male,True,1.0277602700010977
CARRYGUN_W26,gender,steered,16.0,Steered N=16,male,SEX,Female,Male,False,0.9072975490746222
CARRYGUN_W26,gender,steered,18.0,Steered N=18,male,SEX,Male,Male,True,1.027623759988516
CARRYGUN_W26,gender,steered,18.0,Steered N=18,male,SEX,Female,Male,False,0.9071610390620405
CARRYGUN_W26,gender,steered,20.0,Steered N=20,male,SEX,Male,Male,True,1.0259383001126117
CARRYGUN_W26,gender,steered,20.0,Steered N=20,male,SEX,Female,Male,False,0.9054755791861361
CARRYGUN_W26,gender,declared,,Declared,female,SEX,Male,Female,False,1.0278137399999432
CARRYGUN_W26,gender,declared,,Declared,female,SEX,Female,Female,True,0.9073510190734677
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),female,SEX,Male,Female,False,1.027815020000003
CARRYGUN_W26,gender,steered,0.0,Neutral (N=0),female,SEX,Female,Female,True,0.9073522990735274
CARRYGUN_W26,gender,steered,2.0,Steered N=2,female,SEX,Male,Female,False,1.0278150599999982
CARRYGUN_W26,gender,steered,2.0,Steered N=2,female,SEX,Female,Female,True,0.9073523390735226
CARRYGUN_W26,gender,steered,4.0,Steered N=4,female,SEX,Male,Female,False,1.027815049999999
CARRYGUN_W26,gender,steered,4.0,Steered N=4,female,SEX,Female,Female,True,0.9073523290735235
CARRYGUN_W26,gender,steered,6.0,Steered N=6,female,SEX,Male,Female,False,1.0278150300000015
CARRYGUN_W26,gender,steered,6.0,Steered N=6,female,SEX,Female,Female,True,0.9073523090735259
CARRYGUN_W26,gender,steered,8.0,Steered N=8,female,SEX,Male,Female,False,1.027815049999999
CARRYGUN_W26,gender,steered,8.0,Steered N=8,female,SEX,Female,Female,True,0.9073523290735235
CARRYGUN_W26,gender,steered,10.0,Steered N=10,female,SEX,Male,Female,False,1.0278149800000054
CARRYGUN_W26,gender,steered,10.0,Steered N=10,female,SEX,Female,Female,True,0.9073522590735299
CARRYGUN_W26,gender,steered,12.0,Steered N=12,female,SEX,Male,Female,False,1.0278148800000002
CARRYGUN_W26,gender,steered,12.0,Steered N=12,female,SEX,Female,Female,True,0.9073521590735246
CARRYGUN_W26,gender,steered,14.0,Steered N=14,female,SEX,Male,Female,False,1.0278147100000046
CARRYGUN_W26,gender,steered,14.0,Steered N=14,female,SEX,Female,Female,True,0.9073519890735291
CARRYGUN_W26,gender,steered,16.0,Steered N=16,female,SEX,Male,Female,False,1.0278143499999353
CARRYGUN_W26,gender,steered,16.0,Steered N=16,female,SEX,Female,Female,True,0.9073516290734598
CARRYGUN_W26,gender,steered,18.0,Steered N=18,female,SEX,Male,Female,False,1.0278130699999792
CARRYGUN_W26,gender,steered,18.0,Steered N=18,female,SEX,Female,Female,True,0.9073503490735036
CARRYGUN_W26,gender,steered,20.0,Steered N=20,female,SEX,Male,Female,False,1.02780904999945
CARRYGUN_W26,gender,steered,20.0,Steered N=20,female,SEX,Female,Female,True,0.9073463290729746
CARRYGUN_W26,age,declared,,Declared,adult,AGE,30-49,30-49,True,0.9009958400000373
CARRYGUN_W26,age,declared,,Declared,adult,AGE,65+,30-49,False,0.8162972700000373
CARRYGUN_W26,age,steered,0.0,Neutral (N=0),adult,AGE,30-49,30-49,True,0.9009969400000029
CARRYGUN_W26,age,steered,0.0,Neutral (N=0),adult,AGE,65+,30-49,False,0.8162983700000028
CARRYGUN_W26,age,steered,2.0,Steered N=2,adult,AGE,30-49,30-49,True,0.9009969500000014
CARRYGUN_W26,age,steered,2.0,Steered N=2,adult,AGE,65+,30-49,False,0.8162983800000013
CARRYGUN_W26,age,steered,4.0,Steered N=4,adult,AGE,30-49,30-49,True,0.9009968399999928
CARRYGUN_W26,age,steered,4.0,Steered N=4,adult,AGE,65+,30-49,False,0.8162982699999928
CARRYGUN_W26,age,steered,6.0,Steered N=6,adult,AGE,30-49,30-49,True,0.90099665
CARRYGUN_W26,age,steered,6.0,Steered N=6,adult,AGE,65+,30-49,False,0.8162980799999999
CARRYGUN_W26,age,steered,8.0,Steered N=8,adult,AGE,30-49,30-49,True,0.9009958500000739
CARRYGUN_W26,age,steered,8.0,Steered N=8,adult,AGE,65+,30-49,False,0.8162972800000738
CARRYGUN_W26,age,steered,10.0,Steered N=10,adult,AGE,30-49,30-49,True,0.9009921599998032
CARRYGUN_W26,age,steered,10.0,Steered N=10,adult,AGE,65+,30-49,False,0.8162935899998032
CARRYGUN_W26,age,steered,12.0,Steered N=12,adult,AGE,30-49,30-49,True,0.9009772100015896
CARRYGUN_W26,age,steered,12.0,Steered N=12,adult,AGE,65+,30-49,False,0.8162786400015896
CARRYGUN_W26,age,steered,14.0,Steered N=14,adult,AGE,30-49,30-49,True,0.9008640899920206
CARRYGUN_W26,age,steered,14.0,Steered N=14,adult,AGE,65+,30-49,False,0.8161655199920206
CARRYGUN_W26,age,steered,16.0,Steered N=16,adult,AGE,30-49,30-49,True,0.8992317698940815
CARRYGUN_W26,age,steered,16.0,Steered N=16,adult,AGE,65+,30-49,False,0.8145331998940815
CARRYGUN_W26,age,steered,18.0,Steered N=18,adult,AGE,30-49,30-49,True,0.8750237010389352
CARRYGUN_W26,age,steered,18.0,Steered N=18,adult,AGE,65+,30-49,False,0.7903251310389352
CARRYGUN_W26,age,steered,20.0,Steered N=20,adult,AGE,30-49,30-49,True,0.6511903750038659
