attribute,channel,magnitude,regime,n,n_human_groups,chance_accuracy,strict_accuracy,tie_aware_accuracy,fractional_tie_accuracy,lift_over_chance,tie_rate
gender,declared,,Declared,968,2,0.5,0.5020661157024794,0.5020661157024794,0.5020661157024794,0.0020661157024793875,0.0
gender,steered,0.0,Neutral (N=0),968,2,0.5,0.5,0.5,0.5,0.0,0.0
gender,steered,2.0,Steered N=2,968,2,0.5,0.5,0.5,0.5,0.0,0.0
gender,steered,4.0,Steered N=4,968,2,0.5,0.5020661157024794,0.5020661157024794,0.5020661157024794,0.0020661157024793875,0.0
gender,steered,6.0,Steered N=6,968,2,0.5,0.493801652892562,0.493801652892562,0.493801652892562,-0.006198347107437996,0.0
gender,steered,8.0,Steered N=8,968,2,0.5,0.4927685950413223,0.4927685950413223,0.4927685950413223,-0.00723140495867769,0.0
gender,steered,10.0,Steered N=10,968,2,0.5,0.490702479338843,0.490702479338843,0.490702479338843,-0.009297520661157022,0.0
gender,steered,12.0,Steered N=12,968,2,0.5,0.4896694214876033,0.4896694214876033,0.4896694214876033,-0.010330578512396715,0.0
gender,steered,14.0,Steered N=14,968,2,0.5,0.48760330578512395,0.48760330578512395,0.48760330578512395,-0.012396694214876047,0.0
gender,steered,16.0,Steered N=16,968,2,0.5,0.490702479338843,0.490702479338843,0.490702479338843,-0.009297520661157022,0.0
gender,steered,18.0,Steered N=18,968,2,0.5,0.4865702479338843,0.4865702479338843,0.4865702479338843,-0.013429752066115686,0.0
gender,steered,20.0,Steered N=20,968,2,0.5,0.5051652892561983,0.5051652892561983,0.5051652892561983,0.005165289256198302,0.0
age,declared,,Declared,964,2,0.5,0.5,0.5,0.5,0.0,0.0
age,steered,0.0,Neutral (N=0),964,2,0.5,0.5,0.5,0.5,0.0,0.0
age,steered,2.0,Steered N=2,964,2,0.5,0.5,0.5,0.5,0.0,0.0
age,steered,4.0,Steered N=4,964,2,0.5,0.5072614107883817,0.5072614107883817,0.5072614107883817,0.007261410788381717,0.0
age,steered,6.0,Steered N=6,964,2,0.5,0.508298755186722,0.508298755186722,0.508298755186722,0.008298755186721962,0.0
age,steered,8.0,Steered N=8,964,2,0.5,0.5103734439834025,0.5103734439834025,0.5103734439834025,0.010373443983402453,0.0
age,steered,10.0,Steered N=10,964,2,0.5,0.5051867219917012,0.5051867219917012,0.5051867219917012,0.005186721991701226,0.0
age,steered,12.0,Steered N=12,964,2,0.5,0.49896265560165975,0.49896265560165975,0.49896265560165975,-0.0010373443983402453,0.0
age,steered,14.0,Steered N=14,964,2,0.5,0.4979253112033195,0.4979253112033195,0.4979253112033195,-0.0020746887966804906,0.0
age,steered,16.0,Steered N=16,964,2,0.5,0.4948132780082988,0.4948132780082988,0.4948132780082988,-0.005186721991701226,0.0
age,steered,18.0,Steered N=18,964,2,0.5,0.4948132780082988,0.4948132780082988,0.4948132780082988,-0.005186721991701226,0.0
age,steered,20.0,Steered N=20,964,2,0.5,0.4948132780082988,0.4948132780082988,0.4948132780082988,-0.005186721991701226,0.0
education,declared,,Declared,1458,3,0.3333333333333333,0.3388203017832647,0.3388203017832647,0.3388203017832647,0.005486968449931406,0.0
education,steered,0.0,Neutral (N=0),1458,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
education,steered,2.0,Steered N=2,1458,3,0.3333333333333333,0.3340192043895748,0.3340192043895748,0.3340192043895748,0.0006858710562414605,0.0
education,steered,4.0,Steered N=4,1458,3,0.3333333333333333,0.33676268861454045,0.33676268861454045,0.33676268861454045,0.003429355281207136,0.0
education,steered,6.0,Steered N=6,1458,3,0.3333333333333333,0.3374485596707819,0.3374485596707819,0.3374485596707819,0.0041152263374485964,0.0
education,steered,8.0,Steered N=8,1458,3,0.3333333333333333,0.3347050754458162,0.3347050754458162,0.3347050754458162,0.0013717421124828655,0.0
education,steered,10.0,Steered N=10,1458,3,0.3333333333333333,0.3340192043895748,0.3340192043895748,0.3340192043895748,0.0006858710562414605,0.0
education,steered,12.0,Steered N=12,1458,3,0.3333333333333333,0.34087791495198905,0.34087791495198905,0.34087791495198905,0.007544581618655732,0.0
education,steered,14.0,Steered N=14,1458,3,0.3333333333333333,0.3401920438957476,0.3401920438957476,0.3401920438957476,0.006858710562414272,0.0
education,steered,16.0,Steered N=16,1458,3,0.3333333333333333,0.33539094650205764,0.33539094650205764,0.33539094650205764,0.002057613168724326,0.0
education,steered,18.0,Steered N=18,1458,3,0.3333333333333333,0.3319615912208505,0.3319615912208505,0.3319615912208505,-0.00137174211248281,0.0
