attribute,channel,magnitude,regime,model_class,own_human_group,predicted_human_group,count,row_fraction
gender,declared,,Declared,male,Male,Female,302,0.6239669421487604
gender,steered,0.0,Neutral (N=0),male,Male,Female,307,0.6342975206611571
gender,steered,2.0,Steered N=2,male,Male,Female,308,0.6363636363636364
gender,steered,4.0,Steered N=4,male,Male,Female,304,0.628099173553719
gender,steered,6.0,Steered N=6,male,Male,Female,307,0.6342975206611571
gender,steered,8.0,Steered N=8,male,Male,Female,305,0.6301652892561983
gender,steered,10.0,Steered N=10,male,Male,Female,306,0.6322314049586777
gender,steered,12.0,Steered N=12,male,Male,Female,305,0.6301652892561983
gender,steered,14.0,Steered N=14,male,Male,Female,304,0.628099173553719
gender,steered,16.0,Steered N=16,male,Male,Female,303,0.6260330578512396
gender,steered,18.0,Steered N=18,male,Male,Female,307,0.6342975206611571
gender,steered,20.0,Steered N=20,male,Male,Female,292,0.6033057851239669
gender,declared,,Declared,female,Female,Female,304,0.628099173553719
gender,steered,0.0,Neutral (N=0),female,Female,Female,307,0.6342975206611571
gender,steered,2.0,Steered N=2,female,Female,Female,308,0.6363636363636364
gender,steered,4.0,Steered N=4,female,Female,Female,306,0.6322314049586777
gender,steered,6.0,Steered N=6,female,Female,Female,301,0.621900826446281
gender,steered,8.0,Steered N=8,female,Female,Female,298,0.6157024793388429
gender,steered,10.0,Steered N=10,female,Female,Female,297,0.6136363636363636
gender,steered,12.0,Steered N=12,female,Female,Female,295,0.609504132231405
gender,steered,14.0,Steered N=14,female,Female,Female,292,0.6033057851239669
gender,steered,16.0,Steered N=16,female,Female,Female,294,0.6074380165289256
gender,steered,18.0,Steered N=18,female,Female,Female,294,0.6074380165289256
gender,steered,20.0,Steered N=20,female,Female,Female,297,0.6136363636363636
age,declared,,Declared,adult,30-49,65+,251,0.520746887966805
age,steered,0.0,Neutral (N=0),adult,30-49,65+,244,0.5062240663900415
age,steered,2.0,Steered N=2,adult,30-49,65+,244,0.5062240663900415
