attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
gender,declared,,Declared,male,484,0.035005407780202044,0.015504995441355902,0.021363240451891835,0.3760330578512397
gender,steered,0.0,Neutral (N=0),male,484,0.040115315941468783,0.0152481623754175,0.022070927339439106,0.365702479338843
gender,steered,2.0,Steered N=2,male,484,0.04149593125930536,0.015311624374837957,0.02214102562780637,0.36363636363636365
gender,steered,4.0,Steered N=4,male,484,0.040998081970931605,0.015275994321256413,0.02201165378054548,0.371900826446281
gender,steered,6.0,Steered N=6,male,484,0.040389273048226974,0.01531433273702792,0.022369890534501544,0.365702479338843
gender,steered,8.0,Steered N=8,male,484,0.039717965888251515,0.015529403728619197,0.022141025627806343,0.36983471074380164
gender,steered,10.0,Steered N=10,male,484,0.03884565091158531,0.015793894018230902,0.022141025627806316,0.3677685950413223
gender,steered,12.0,Steered N=12,male,484,0.039300991493917865,0.015824439133612374,0.02246246011718922,0.36983471074380164
gender,steered,14.0,Steered N=14,male,484,0.03929340062132648,0.015925500687617267,0.022113393700402856,0.371900826446281
gender,steered,16.0,Steered N=16,male,484,0.03967827829232745,0.015835556211270946,0.022113393700402884,0.3739669421487603
gender,steered,18.0,Steered N=18,male,484,0.04047480489050476,0.015678870022127235,0.023230714999999985,0.365702479338843
gender,steered,20.0,Steered N=20,male,484,0.034373433075164966,0.015670035328369074,0.02083879489624771,0.39669421487603307
gender,declared,,Declared,female,484,-0.039102945754452854,0.015432586865510002,-0.02189068902167962,0.628099173553719
gender,steered,0.0,Neutral (N=0),female,484,-0.040115315941468783,0.0152481623754175,-0.022070927339439106,0.6342975206611571
gender,steered,2.0,Steered N=2,female,484,-0.03927954550730655,0.01509701392944059,-0.022141025627806316,0.6363636363636364
gender,steered,4.0,Steered N=4,female,484,-0.03846068289432673,0.015064610273041856,-0.022141025627806316,0.6322314049586777
gender,steered,6.0,Steered N=6,female,484,-0.03650616764867928,0.015047126836619134,-0.02189068902167962,0.621900826446281
gender,steered,8.0,Steered N=8,female,484,-0.03424703046492737,0.01484148471556887,-0.021681850000000058,0.6157024793388429
gender,steered,10.0,Steered N=10,female,484,-0.03271563181915332,0.01430716164385556,-0.02110642043987962,0.6136363636363636
gender,steered,12.0,Steered N=12,female,484,-0.031232279903664065,0.014003295926012339,-0.02083879489624761,0.609504132231405
gender,steered,14.0,Steered N=14,female,484,-0.029229493444135127,0.014004031685237062,-0.02083879489624761,0.6033057851239669
gender,steered,16.0,Steered N=16,female,484,-0.029866325740831805,0.013939402052928663,-0.020838794896247653,0.6074380165289256
gender,steered,18.0,Steered N=18,female,484,-0.02881722777539299,0.013826286325076651,-0.020034841893510014,0.6074380165289256
gender,steered,20.0,Steered N=20,female,484,-0.030574015556186825,0.013680702068267941,-0.020584570103385075,0.6136363636363636
age,declared,,Declared,adult,482,0.00217038113710818,0.02018811843536539,0.006392334999999992,0.47925311203319504
