qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
CARRYGUN_W26,gender,male,Male,declared,,0.69246438,0.44496404
CARRYGUN_W26,gender,female,Female,declared,,0.35111287979238565,0.22778085462014058
CARRYGUN_W26,age,adult,30-49,declared,,0.3577167092826239,0.30001961464549876
CARRYGUN_W26,age,older_adult,65+,declared,,0.24370390964646393,0.19379381237773333
CARRYGUN_W26,education,some schooling,Less than high school,declared,,1.1751811597285846,0.538647468348048
CARRYGUN_W26,education,high school,High school graduate,declared,,0.6311898485879719,0.4238779501373047
CARRYGUN_W26,education,college and more,College graduate/some postgrad,declared,,0.40635460484544356,0.3254300909320239
CARRYGUN_W26,socioeco,low,"Less than $30,000",declared,,0.42597587004725224,0.30437975278516644
CARRYGUN_W26,socioeco,mid,"$50,000-$75,000",declared,,0.2807089501421619,0.24133062199361993
CARRYGUN_W26,socioeco,high,"$100,000 or more",declared,,0.780505238934226,0.36472017722670835
GROWUPGUN2A_W26,gender,male,Male,declared,,0.03414348496241226,0.03414348496241226
GROWUPGUN2A_W26,gender,female,Female,declared,,0.11297245886147023,0.11297245886147023
GROWUPGUN2A_W26,age,adult,30-49,declared,,0.05695180141586187,0.056951801415861925
GROWUPGUN2A_W26,age,older_adult,65+,declared,,0.6344321195945927,0.6344321195945926
GROWUPGUN2A_W26,education,some schooling,Less than high school,declared,,0.23532074999999997,0.23532075
GROWUPGUN2A_W26,education,high school,High school graduate,declared,,0.10429650889128184,0.10429650889128178
GROWUPGUN2A_W26,education,college and more,College graduate/some postgrad,declared,,0.217636476545077,0.217636476545077
GROWUPGUN2A_W26,socioeco,low,"Less than $30,000",declared,,0.03208834713373687,0.03208834713373679
GROWUPGUN2A_W26,socioeco,mid,"$50,000-$75,000",declared,,0.38520549174193675,0.38520549174193663
GROWUPGUN2A_W26,socioeco,high,"$100,000 or more",declared,,0.16923697999999998,0.16923698
GROWUPGUN2B_W26,gender,male,Male,declared,,0.224591947073411,0.22459194707341104
GROWUPGUN2B_W26,gender,female,Female,declared,,0.20521020675239954,0.20521020675239954
GROWUPGUN2B_W26,age,adult,30-49,declared,,0.10483720087875026,0.10483720087875023
GROWUPGUN2B_W26,age,older_adult,65+,declared,,0.11703685177394318,0.11703685177394316
