qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
CARRYGUN_W26,gender,male,Male,steered,0.0,0.6352443321485836,0.45200527655530853
CARRYGUN_W26,gender,male,Male,steered,1.0,0.49107749272351453,0.3945765409747021
CARRYGUN_W26,gender,male,Male,steered,3.0,0.43791165217247113,0.3554669086342017
CARRYGUN_W26,gender,male,Male,steered,5.0,0.6924583199999998,0.34918297000000004
CARRYGUN_W26,gender,male,Male,steered,7.0,0.9456761513254343,0.41781945249937186
CARRYGUN_W26,gender,male,Male,steered,9.0,0.67198319,0.3077882
CARRYGUN_W26,gender,male,Male,steered,13.0,0.29855989688418577,0.24378530993045716
CARRYGUN_W26,gender,female,Female,steered,0.0,0.5147816112221077,0.35362347181388903
CARRYGUN_W26,gender,female,Female,steered,1.0,0.4880048390015806,0.3526592648578585
CARRYGUN_W26,gender,female,Female,steered,3.0,0.5633430487532426,0.39079853120679503
CARRYGUN_W26,gender,female,Female,steered,5.0,0.6755019560290387,0.4325146980588809
CARRYGUN_W26,gender,female,Female,steered,7.0,0.6227918333015545,0.4069656912031982
CARRYGUN_W26,gender,female,Female,steered,9.0,0.37546900971119274,0.2951997398717466
CARRYGUN_W26,gender,female,Female,steered,13.0,0.3545890497400395,0.2400049238864319
CARRYGUN_W26,age,adult,30-49,steered,0.0,0.5170512760417739,0.4035981785019038
CARRYGUN_W26,age,adult,30-49,steered,1.0,0.5836507004796085,0.42501961560498136
CARRYGUN_W26,age,adult,30-49,steered,3.0,0.6578745567434776,0.4531305930228612
CARRYGUN_W26,age,adult,30-49,steered,5.0,0.6747545867872748,0.45962083335698223
CARRYGUN_W26,age,adult,30-49,steered,7.0,0.6822157390609329,0.45849914434894523
CARRYGUN_W26,age,adult,30-49,steered,9.0,0.6676449853329581,0.44289754742754617
CARRYGUN_W26,age,adult,30-49,steered,13.0,0.39753180986138925,0.2795370183206711
CARRYGUN_W26,age,older_adult,65+,steered,0.0,0.4568726660417739,0.3566623285019038
CARRYGUN_W26,age,older_adult,65+,steered,1.0,0.4209261740314677,0.3427207953307806
CARRYGUN_W26,age,older_adult,65+,steered,3.0,0.29423897429443313,0.27710580227693316
CARRYGUN_W26,age,older_adult,65+,steered,5.0,0.46361132760721313,0.19495653794289533
CARRYGUN_W26,age,older_adult,65+,steered,7.0,0.6697285045808103,0.27323051356664774
CARRYGUN_W26,age,older_adult,65+,steered,9.0,0.5525143747525153,0.4407758124256265
CARRYGUN_W26,age,older_adult,65+,steered,13.0,0.6509975346729604,0.577571649474365
CARRYGUN_W26,education,some schooling,Less than high school,steered,0.0,1.1880386421485836,0.5994519365553086
CARRYGUN_W26,education,some schooling,Less than high school,steered,1.0,1.13576669,0.58756431
CARRYGUN_W26,education,some schooling,Less than high school,steered,3.0,0.9415821100000001,0.5272304
CARRYGUN_W26,education,some schooling,Less than high school,steered,5.0,0.6716990168408374,0.49114261863775877
CARRYGUN_W26,education,some schooling,Less than high school,steered,7.0,0.49870001058188795,0.4923349322107864
CARRYGUN_W26,education,some schooling,Less than high school,steered,9.0,0.4727466354991543,0.4610098962229618
CARRYGUN_W26,education,some schooling,Less than high school,steered,13.0,0.43232919678008586,0.32320632213344336
CARRYGUN_W26,education,high school,High school graduate,steered,0.0,0.5484185521485834,0.4205984565553086
CARRYGUN_W26,education,high school,High school graduate,steered,1.0,0.5420765360108715,0.4139980682116504
CARRYGUN_W26,education,high school,High school graduate,steered,3.0,0.53448575,0.40879659999999995
CARRYGUN_W26,education,high school,High school graduate,steered,5.0,0.4128747194377068,0.34509361504521174
CARRYGUN_W26,education,high school,High school graduate,steered,7.0,0.27199130054629245,0.2190907546828205
CARRYGUN_W26,education,high school,High school graduate,steered,9.0,0.40152522287426967,0.1919484783889236
CARRYGUN_W26,education,high school,High school graduate,steered,13.0,1.0055203473254866,0.41208893599861185
CARRYGUN_W26,education,college and more,College graduate/some postgrad,steered,0.0,0.5251863221485835,0.3951053265553086
CARRYGUN_W26,education,college and more,College graduate/some postgrad,steered,1.0,0.5866634633781262,0.4113688668805794
CARRYGUN_W26,education,college and more,College graduate/some postgrad,steered,3.0,0.612534043052231,0.39887761168462293
CARRYGUN_W26,education,college and more,College graduate/some postgrad,steered,5.0,0.5038689806944084,0.32088204232289286
CARRYGUN_W26,education,college and more,College graduate/some postgrad,steered,7.0,0.2786879972186169,0.24168398628484633
CARRYGUN_W26,education,college and more,College graduate/some postgrad,steered,9.0,0.20821494096133647,0.20821494096133641
CARRYGUN_W26,education,college and more,College graduate/some postgrad,steered,13.0,0.4996017817264035,0.3335764010610148
