attribute,class_label,group,n_questions,wasserstein_mean,wasserstein_median,wasserstein_std,total_variation_mean,total_variation_median,total_variation_std,channel,magnitude
gender,male,Male,492,0.6583115145538272,0.5986268558024017,0.42842435722819733,0.44368996575165215,0.4443755619916886,0.16914750481625898,declared,
gender,female,Female,494,0.6339668227737532,0.5522970039842627,0.44230081023174506,0.4448671497207889,0.4454135281888716,0.17921907925953937,declared,
age,adult,30-49,491,0.6147848530522576,0.5885211952603742,0.38199164644086386,0.42378792405242394,0.4288311969689931,0.16346502497131216,declared,
age,older_adult,65+,490,0.6417873943702265,0.566225511092173,0.39960309680357065,0.4672386945458404,0.47060564092755935,0.17885507488506758,declared,
education,some schooling,Less than high school,494,0.8518061314648895,0.8667220534744413,0.5153288997990955,0.5036962185318207,0.5257291488865629,0.1851403257388678,declared,
education,high school,High school graduate,494,0.603131097728632,0.5240757201033294,0.39087762791134845,0.4439452700984277,0.4484968278844608,0.16277899784458472,declared,
education,college and more,College graduate/some postgrad,494,0.6058855428485466,0.5109742640799122,0.43348964818645686,0.43453116893870375,0.431857079701898,0.17687629315033718,declared,
socioeco,low,"Less than $30,000",494,0.6103608467422339,0.5369173706971979,0.3903616665725692,0.4418177687740808,0.44422529752731726,0.16283438024245475,declared,
socioeco,mid,"$50,000-$75,000",494,0.6842573158811787,0.5986381091114376,0.4285220193520776,0.48219740466338457,0.48491018939914926,0.18457000206534188,declared,
socioeco,high,"$100,000 or more",494,0.6113369186574769,0.5563252881538787,0.3873750724924932,0.4176237362533099,0.42246185251846957,0.15629876937236165,declared,
gender,male,Male,492,0.598855976046068,0.5630605799922446,0.38562181166892967,0.41959650324124315,0.41082192974059917,0.17617924497968382,steered,0.0
gender,male,Male,492,0.5945649030778444,0.533677434211183,0.388584364197908,0.41937650399550597,0.416212753361394,0.1765747522962607,steered,1.0
gender,male,Male,492,0.5769144072783329,0.519391527700153,0.3916999314544099,0.4041366015793281,0.39145694845015844,0.18322979132557216,steered,3.0
