attribute,magnitude,n_declared_wins,n_steered_wins,pct_follows_steered
age,1.0,492,488,49.8
age,3.0,498,482,49.2
age,5.0,505,475,48.5
age,7.0,514,466,47.6
age,9.0,521,459,46.8
age,13.0,504,476,48.6
education,1.0,495,493,49.9
education,3.0,500,488,49.4
education,5.0,498,490,49.6
education,7.0,486,502,50.8
education,9.0,490,498,50.4
education,13.0,490,498,50.4
gender,1.0,554,430,43.7
gender,3.0,586,398,40.4
gender,5.0,589,395,40.1
gender,7.0,585,399,40.5
gender,9.0,590,394,40.0
gender,13.0,500,484,49.2
socioeco,1.0,504,484,49.0
socioeco,3.0,485,503,50.9
socioeco,5.0,482,506,51.2
socioeco,7.0,480,508,51.4
socioeco,9.0,497,491,49.7
socioeco,13.0,531,457,46.3
