attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
gender,Male,Female,declared,,Declared,All,484,968,0.14910505453674847,0.5196280991735537,0.4989669421487603,0.5413223140495868,0.5196280991735537,0.5196280991735537,0.5,0.01962809917355368,-0.0010330578512396937,0.04132231404958675,0.03548225887056472
gender,Male,Female,declared,,Declared,Q1,121,242,0.028549971618702995,0.47520661157024796,0.43388429752066116,0.5165289256198347,0.47520661157024796,0.47520661157024796,0.5,-0.02479338842975204,-0.06611570247933884,0.016528925619834656,0.8875562218890555
gender,Male,Female,declared,,Declared,Q2,121,242,0.07189303539381058,0.5289256198347108,0.4834710743801653,0.5743801652892562,0.5289256198347108,0.5289256198347108,0.5,0.02892561983471076,-0.01652892561983471,0.07438016528925617,0.12993503248375812
gender,Male,Female,declared,,Declared,Q3,121,242,0.1451051137081419,0.5206611570247934,0.47520661157024796,0.5661157024793388,0.5206611570247934,0.5206611570247934,0.5,0.02066115702479343,-0.02479338842975204,0.06611570247933884,0.2178910544727636
gender,Male,Female,declared,,Declared,Q4,121,242,0.3508720974263384,0.5537190082644629,0.5082644628099173,0.6033057851239669,0.5537190082644629,0.5537190082644629,0.5,0.05371900826446285,0.008264462809917328,0.10330578512396693,0.013993003498250875
gender,Male,Female,steered,0.0,Neutral (N=0),All,484,968,0.14910505453674847,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q1,121,242,0.028549971618702995,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q2,121,242,0.07189303539381058,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q3,121,242,0.1451051137081419,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q4,121,242,0.3508720974263384,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,2.0,Steered N=2,All,484,968,0.14910505453674847,0.4452479338842975,0.4214876033057851,0.4690082644628099,0.4452479338842975,0.4452479338842975,0.5,-0.05475206611570249,-0.07851239669421489,-0.03099173553719009,1.0
gender,Male,Female,steered,2.0,Steered N=2,Q1,121,242,0.028549971618702995,0.4834710743801653,0.44214876033057854,0.5248966942148755,0.4834710743801653,0.4834710743801653,0.5,-0.01652892561983471,-0.05785123966942146,0.024896694214875496,0.8130934532733634
gender,Male,Female,steered,2.0,Steered N=2,Q2,121,242,0.07189303539381058,0.47107438016528924,0.4256198347107438,0.5165289256198347,0.47107438016528924,0.47107438016528924,0.5,-0.02892561983471076,-0.07438016528925617,0.016528925619834656,0.8885557221389305
gender,Male,Female,steered,2.0,Steered N=2,Q3,121,242,0.1451051137081419,0.44214876033057854,0.3884297520661157,0.49173553719008267,0.44214876033057854,0.44214876033057854,0.5,-0.05785123966942146,-0.11157024793388431,-0.008264462809917328,0.9890054972513743
gender,Male,Female,steered,2.0,Steered N=2,Q4,121,242,0.3508720974263384,0.384297520661157,0.33884297520661155,0.4256198347107438,0.384297520661157,0.384297520661157,0.5,-0.11570247933884298,-0.16115702479338845,-0.07438016528925617,1.0
gender,Male,Female,steered,4.0,Steered N=4,All,484,968,0.14910505453674847,0.4297520661157025,0.4018595041322314,0.4607438016528926,0.4297520661157025,0.4297520661157025,0.5,-0.07024793388429751,-0.09814049586776857,-0.03925619834710742,1.0
