attribute,group_a,group_b,channel,magnitude,regime,n_questions,n_predictions,strict_accuracy,log_odds_slope_per_gap_sd,odds_ratio_per_gap_sd,slope_ci95_low,slope_ci95_high,cluster_robust_p_slope_le_zero
gender,Male,Female,declared,,Declared,484,968,0.5196280991735537,0.03549914731652603,1.036136764630992,-0.035833444808400776,0.10683173944145283,0.16467914016621849
gender,Male,Female,steered,0.0,Neutral (N=0),484,968,0.5,0.0,1.0,,,
gender,Male,Female,steered,2.0,Steered N=2,484,968,0.4452479338842975,-0.060719679064880704,0.9410870091946835,-0.1435543291309829,0.0221149710012215,0.9246018543122637
gender,Male,Female,steered,4.0,Steered N=4,484,968,0.4297520661157025,-0.09305604677577718,0.9111424322694524,-0.22147292081174352,0.035360827260189145,0.9222391004774053
gender,Male,Female,steered,6.0,Steered N=6,484,968,0.4318181818181818,-0.12398182618289258,0.8833958954123011,-0.28033115907099637,0.03236750670521124,0.9399364042881589
gender,Male,Female,steered,8.0,Steered N=8,484,968,0.42355371900826444,-0.11231873652053893,0.8937593383539946,-0.2505638983319973,0.025926425290919444,0.9443551121390416
gender,Male,Female,steered,10.0,Steered N=10,484,968,0.46797520661157027,-0.05150491478413561,0.94979898189376,-0.1601536063864212,0.05714377681814999,0.8235912251052662
gender,Male,Female,steered,12.0,Steered N=12,484,968,0.5113636363636364,0.010305977842121077,1.0103592673412298,-0.06174468500655726,0.08235664069079941,0.3896028292559297
gender,Male,Female,steered,14.0,Steered N=14,484,968,0.5289256198347108,-0.0005552470356861861,0.9994449070854227,-0.07633348245283822,0.07522298838146585,0.5057291866211453
gender,Male,Female,steered,16.0,Steered N=16,484,968,0.5402892561983471,0.023235154797826126,1.0235071938778482,-0.055366310548555404,0.10183662014420766,0.2811630233382401
gender,Male,Female,steered,18.0,Steered N=18,484,968,0.5413223140495868,0.014706476431223393,1.014815148731087,-0.06178208049319948,0.09119503335564627,0.3531426320498424
gender,Male,Female,steered,20.0,Steered N=20,484,968,0.5464876033057852,-0.0046888495225452746,0.9953221259715299,-0.07745618132963424,0.06807848228454368,0.5502507652312655
