attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
gender,Male,Female,declared,,Declared,All,484,968,0.14910505453674847,0.5113636363636364,0.496900826446281,0.5247933884297521,0.5113636363636364,0.5113636363636364,0.5,0.011363636363636354,-0.0030991735537190257,0.024793388429752095,0.06296851574212893
gender,Male,Female,declared,,Declared,Q1,121,242,0.028549971618702995,0.49173553719008267,0.47520661157024796,0.5082644628099173,0.49173553719008267,0.49173553719008267,0.5,-0.008264462809917328,-0.02479338842975204,0.008264462809917328,0.9180409795102449
gender,Male,Female,declared,,Declared,Q2,121,242,0.07189303539381058,0.5041322314049587,0.47520661157024796,0.5330578512396694,0.5041322314049587,0.5041322314049587,0.5,0.004132231404958664,-0.02479338842975204,0.03305785123966942,0.4382808595702149
gender,Male,Female,declared,,Declared,Q3,121,242,0.1451051137081419,0.5041322314049587,0.4793388429752066,0.5289256198347108,0.5041322314049587,0.5041322314049587,0.5,0.004132231404958664,-0.020661157024793375,0.02892561983471076,0.4337831084457771
gender,Male,Female,declared,,Declared,Q4,121,242,0.3508720974263384,0.5454545454545454,0.512396694214876,0.5785123966942148,0.5454545454545454,0.5454545454545454,0.5,0.045454545454545414,0.012396694214875992,0.07851239669421484,0.004497751124437781
gender,Male,Female,steered,0.0,Neutral (N=0),All,484,968,0.14910505453674847,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q1,121,242,0.028549971618702995,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q2,121,242,0.07189303539381058,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q3,121,242,0.1451051137081419,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,0.0,Neutral (N=0),Q4,121,242,0.3508720974263384,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0
gender,Male,Female,steered,2.0,Steered N=2,All,484,968,0.14910505453674847,0.4555785123966942,0.42768595041322316,0.484504132231405,0.4555785123966942,0.4555785123966942,0.5,-0.044421487603305776,-0.07231404958677684,-0.015495867768595017,0.999000499750125
gender,Male,Female,steered,2.0,Steered N=2,Q1,121,242,0.028549971618702995,0.5165289256198347,0.47520661157024796,0.5619834710743802,0.5165289256198347,0.5165289256198347,0.5,0.016528925619834656,-0.02479338842975204,0.06198347107438018,0.2698650674662669
gender,Male,Female,steered,2.0,Steered N=2,Q2,121,242,0.07189303539381058,0.47107438016528924,0.4214876033057851,0.5206611570247934,0.47107438016528924,0.47107438016528924,0.5,-0.02892561983471076,-0.07851239669421489,0.02066115702479343,0.8810594702648675
gender,Male,Female,steered,2.0,Steered N=2,Q3,121,242,0.1451051137081419,0.4380165289256198,0.3760330578512397,0.5041322314049587,0.4380165289256198,0.4380165289256198,0.5,-0.06198347107438018,-0.1239669421487603,0.004132231404958664,0.974512743628186
gender,Male,Female,steered,2.0,Steered N=2,Q4,121,242,0.3508720974263384,0.39669421487603307,0.3347107438016529,0.45867768595041325,0.39669421487603307,0.39669421487603307,0.5,-0.10330578512396693,-0.1652892561983471,-0.04132231404958675,0.9995002498750625
gender,Male,Female,steered,4.0,Steered N=4,All,484,968,0.14910505453674847,0.48037190082644626,0.4555785123966942,0.503099173553719,0.48037190082644626,0.48037190082644626,0.5,-0.019628099173553737,-0.044421487603305776,0.0030991735537190257,0.9555222388805598
gender,Male,Female,steered,4.0,Steered N=4,Q1,121,242,0.028549971618702995,0.5330578512396694,0.48760330578512395,0.5785123966942148,0.5330578512396694,0.5330578512396694,0.5,0.03305785123966942,-0.012396694214876047,0.07851239669421484,0.0814592703648176
gender,Male,Female,steered,4.0,Steered N=4,Q2,121,242,0.07189303539381058,0.47520661157024796,0.4297520661157025,0.5206611570247934,0.47520661157024796,0.47520661157024796,0.5,-0.02479338842975204,-0.07024793388429751,0.02066115702479343,0.8695652173913043
gender,Male,Female,steered,4.0,Steered N=4,Q3,121,242,0.1451051137081419,0.4669421487603306,0.4132231404958678,0.5165289256198347,0.4669421487603306,0.4669421487603306,0.5,-0.03305785123966942,-0.08677685950413222,0.016528925619834656,0.9080459770114943
gender,Male,Female,steered,4.0,Steered N=4,Q4,121,242,0.3508720974263384,0.4462809917355372,0.40082644628099173,0.4918388429752061,0.4462809917355372,0.4462809917355372,0.5,-0.0537190082644628,-0.09917355371900827,-0.008161157024793924,0.9890054972513743
gender,Male,Female,steered,6.0,Steered N=6,All,484,968,0.14910505453674847,0.4865702479338843,0.46487603305785125,0.5092975206611571,0.4865702479338843,0.4865702479338843,0.5,-0.013429752066115686,-0.035123966942148754,0.009297520661157077,0.8950524737631185
gender,Male,Female,steered,6.0,Steered N=6,Q1,121,242,0.028549971618702995,0.5289256198347108,0.48760330578512395,0.5702479338842975,0.5289256198347108,0.5289256198347108,0.5,0.02892561983471076,-0.012396694214876047,0.07024793388429751,0.11894052973513243
gender,Male,Female,steered,6.0,Steered N=6,Q2,121,242,0.07189303539381058,0.4834710743801653,0.4380165289256198,0.5247933884297521,0.4834710743801653,0.4834710743801653,0.5,-0.01652892561983471,-0.06198347107438018,0.024793388429752095,0.8170914542728636
gender,Male,Female,steered,6.0,Steered N=6,Q3,121,242,0.1451051137081419,0.45454545454545453,0.4049586776859504,0.5041322314049587,0.45454545454545453,0.45454545454545453,0.5,-0.04545454545454547,-0.0950413223140496,0.004132231404958664,0.9685157421289355
gender,Male,Female,steered,6.0,Steered N=6,Q4,121,242,0.3508720974263384,0.4793388429752066,0.4380165289256198,0.5247933884297521,0.4793388429752066,0.4793388429752066,0.5,-0.020661157024793375,-0.06198347107438018,0.024793388429752095,0.8405797101449275
gender,Male,Female,steered,8.0,Steered N=8,All,484,968,0.14910505453674847,0.490702479338843,0.4669421487603306,0.512396694214876,0.490702479338843,0.490702479338843,0.5,-0.009297520661157022,-0.03305785123966942,0.012396694214875992,0.8205897051474262
gender,Male,Female,steered,8.0,Steered N=8,Q1,121,242,0.028549971618702995,0.5247933884297521,0.4793388429752066,0.5661157024793388,0.5247933884297521,0.5247933884297521,0.5,0.024793388429752095,-0.020661157024793375,0.06611570247933884,0.1724137931034483
gender,Male,Female,steered,8.0,Steered N=8,Q2,121,242,0.07189303539381058,0.49173553719008267,0.4462809917355372,0.5371900826446281,0.49173553719008267,0.49173553719008267,0.5,-0.008264462809917328,-0.0537190082644628,0.037190082644628086,0.663168415792104
gender,Male,Female,steered,8.0,Steered N=8,Q3,121,242,0.1451051137081419,0.4669421487603306,0.4214876033057851,0.512396694214876,0.4669421487603306,0.4669421487603306,0.5,-0.03305785123966942,-0.07851239669421489,0.012396694214875992,0.9245377311344328
gender,Male,Female,steered,8.0,Steered N=8,Q4,121,242,0.3508720974263384,0.4793388429752066,0.43388429752066116,0.5206611570247934,0.4793388429752066,0.4793388429752066,0.5,-0.020661157024793375,-0.06611570247933884,0.02066115702479343,0.8515742128935532
gender,Male,Female,steered,10.0,Steered N=10,All,484,968,0.14910505453674847,0.4896694214876033,0.4659090909090909,0.512396694214876,0.4896694214876033,0.4896694214876033,0.5,-0.010330578512396715,-0.034090909090909116,0.012396694214875992,0.8315842078960519
gender,Male,Female,steered,10.0,Steered N=10,Q1,121,242,0.028549971618702995,0.5206611570247934,0.47520661157024796,0.5619834710743802,0.5206611570247934,0.5206611570247934,0.5,0.02066115702479343,-0.02479338842975204,0.06198347107438018,0.22188905547226387
gender,Male,Female,steered,10.0,Steered N=10,Q2,121,242,0.07189303539381058,0.49173553719008267,0.4462809917355372,0.5330578512396694,0.49173553719008267,0.49173553719008267,0.5,-0.008264462809917328,-0.0537190082644628,0.03305785123966942,0.6851574212893553
gender,Male,Female,steered,10.0,Steered N=10,Q3,121,242,0.1451051137081419,0.47107438016528924,0.4256198347107438,0.5166322314049581,0.47107438016528924,0.47107438016528924,0.5,-0.02892561983471076,-0.07438016528925617,0.01663223140495806,0.894552723638181
gender,Male,Female,steered,10.0,Steered N=10,Q4,121,242,0.3508720974263384,0.47520661157024796,0.4297520661157025,0.5206611570247934,0.47520661157024796,0.47520661157024796,0.5,-0.02479338842975204,-0.07024793388429751,0.02066115702479343,0.879560219890055
gender,Male,Female,steered,12.0,Steered N=12,All,484,968,0.14910505453674847,0.4896694214876033,0.4679493801652893,0.5113894628099172,0.4896694214876033,0.4896694214876033,0.5,-0.010330578512396715,-0.03205061983471072,0.011389462809917204,0.8290854572713643
gender,Male,Female,steered,12.0,Steered N=12,Q1,121,242,0.028549971618702995,0.5247933884297521,0.4834710743801653,0.5702479338842975,0.5247933884297521,0.5247933884297521,0.5,0.024793388429752095,-0.01652892561983471,0.07024793388429751,0.1504247876061969
gender,Male,Female,steered,12.0,Steered N=12,Q2,121,242,0.07189303539381058,0.48760330578512395,0.44617768595041324,0.5330578512396694,0.48760330578512395,0.48760330578512395,0.5,-0.012396694214876047,-0.05382231404958676,0.03305785123966942,0.7311344327836082
gender,Male,Female,steered,12.0,Steered N=12,Q3,121,242,0.1451051137081419,0.4669421487603306,0.4214876033057851,0.512396694214876,0.4669421487603306,0.4669421487603306,0.5,-0.03305785123966942,-0.07851239669421489,0.012396694214875992,0.9395302348825587
gender,Male,Female,steered,12.0,Steered N=12,Q4,121,242,0.3508720974263384,0.4793388429752066,0.4380165289256198,0.5206611570247934,0.4793388429752066,0.4793388429752066,0.5,-0.020661157024793375,-0.06198347107438018,0.02066115702479343,0.855072463768116
gender,Male,Female,steered,14.0,Steered N=14,All,484,968,0.14910505453674847,0.4927685950413223,0.4700413223140496,0.5144628099173554,0.4927685950413223,0.4927685950413223,0.5,-0.00723140495867769,-0.029958677685950397,0.01446280991735538,0.7586206896551724
gender,Male,Female,steered,14.0,Steered N=14,Q1,121,242,0.028549971618702995,0.5206611570247934,0.4793388429752066,0.5661157024793388,0.5206611570247934,0.5206611570247934,0.5,0.02066115702479343,-0.020661157024793375,0.06611570247933884,0.19990004997501248
gender,Male,Female,steered,14.0,Steered N=14,Q2,121,242,0.07189303539381058,0.49173553719008267,0.45041322314049587,0.5330578512396694,0.49173553719008267,0.49173553719008267,0.5,-0.008264462809917328,-0.049586776859504134,0.03305785123966942,0.6911544227886057
gender,Male,Female,steered,14.0,Steered N=14,Q3,121,242,0.1451051137081419,0.47520661157024796,0.4337809917355372,0.5206611570247934,0.47520661157024796,0.47520661157024796,0.5,-0.02479338842975204,-0.06621900826446281,0.02066115702479343,0.8860569715142429
gender,Male,Female,steered,14.0,Steered N=14,Q4,121,242,0.3508720974263384,0.4834710743801653,0.4380165289256198,0.5289256198347108,0.4834710743801653,0.4834710743801653,0.5,-0.01652892561983471,-0.06198347107438018,0.02892561983471076,0.7971014492753623
gender,Male,Female,steered,16.0,Steered N=16,All,484,968,0.14910505453674847,0.4927685950413223,0.47107438016528924,0.5134297520661157,0.4927685950413223,0.4927685950413223,0.5,-0.00723140495867769,-0.02892561983471076,0.013429752066115741,0.7596201899050474
gender,Male,Female,steered,16.0,Steered N=16,Q1,121,242,0.028549971618702995,0.5165289256198347,0.47107438016528924,0.5619834710743802,0.5165289256198347,0.5165289256198347,0.5,0.016528925619834656,-0.02892561983471076,0.06198347107438018,0.24687656171914044
gender,Male,Female,steered,16.0,Steered N=16,Q2,121,242,0.07189303539381058,0.49173553719008267,0.45041322314049587,0.5371900826446281,0.49173553719008267,0.49173553719008267,0.5,-0.008264462809917328,-0.049586776859504134,0.037190082644628086,0.671664167916042
gender,Male,Female,steered,16.0,Steered N=16,Q3,121,242,0.1451051137081419,0.47107438016528924,0.4256198347107438,0.5165289256198347,0.47107438016528924,0.47107438016528924,0.5,-0.02892561983471076,-0.07438016528925617,0.016528925619834656,0.9105447276361819
gender,Male,Female,steered,16.0,Steered N=16,Q4,121,242,0.3508720974263384,0.49173553719008267,0.45041322314049587,0.5371900826446281,0.49173553719008267,0.49173553719008267,0.5,-0.008264462809917328,-0.049586776859504134,0.037190082644628086,0.6831584207896052
gender,Male,Female,steered,18.0,Steered N=18,All,484,968,0.14910505453674847,0.49483471074380164,0.4731404958677686,0.515495867768595,0.49483471074380164,0.49483471074380164,0.5,-0.005165289256198358,-0.026859504132231427,0.015495867768595017,0.697151424287856
gender,Male,Female,steered,18.0,Steered N=18,Q1,121,242,0.028549971618702995,0.5206611570247934,0.47520661157024796,0.5619834710743802,0.5206611570247934,0.5206611570247934,0.5,0.02066115702479343,-0.02479338842975204,0.06198347107438018,0.20089955022488756
