attribute,group_a,group_b,channel,magnitude,regime,n_questions,n_predictions,strict_accuracy,log_odds_slope_per_gap_sd,odds_ratio_per_gap_sd,slope_ci95_low,slope_ci95_high,cluster_robust_p_slope_le_zero
gender,Male,Female,declared,,Declared,484,968,0.5113636363636364,0.09963899696692145,1.1047720200281868,0.018712956169763775,0.18056503776407912,0.007906110835830546
gender,Male,Female,steered,0.0,Neutral (N=0),484,968,0.5,0.0,1.0,,,
gender,Male,Female,steered,2.0,Steered N=2,484,968,0.4555785123966942,-0.041683137732615345,0.9591736583664443,-0.12968693499833503,0.04632065953310433,0.8233888178272561
gender,Male,Female,steered,4.0,Steered N=4,484,968,0.48037190082644626,-0.024576932238712185,0.9757226215052578,-0.09499719986113506,0.04584333538371069,0.7530273206712699
gender,Male,Female,steered,6.0,Steered N=6,484,968,0.4865702479338843,-0.006234549690094109,0.9937848447886128,-0.07015949701397174,0.057690397633783516,0.5757988038164921
gender,Male,Female,steered,8.0,Steered N=8,484,968,0.490702479338843,-0.006877643766305114,0.9931459530976509,-0.070930542606958,0.057175255074347765,0.5833432822569138
gender,Male,Female,steered,10.0,Steered N=10,484,968,0.4896694214876033,-0.007444827425414756,0.9925828166579328,-0.07070109262816576,0.05581143777733625,0.5912177196810796
gender,Male,Female,steered,12.0,Steered N=12,484,968,0.4896694214876033,-0.008687789459108556,0.9913498403316522,-0.07208397601390812,0.054708397095691,0.6058803432716351
gender,Male,Female,steered,14.0,Steered N=14,484,968,0.4927685950413223,-0.0065759883512359904,0.9934455861430499,-0.06908437654234988,0.0559323998398779,0.5816808286904465
gender,Male,Female,steered,16.0,Steered N=16,484,968,0.4927685950413223,0.006936099974746926,1.006960210428113,-0.05351397287387223,0.06738617282336608,0.4110315295840881
gender,Male,Female,steered,18.0,Steered N=18,484,968,0.49483471074380164,0.0031942634687299933,1.0031993705646394,-0.05701489705734784,0.06340342399480782,0.45859124008474494
gender,Male,Female,steered,20.0,Steered N=20,484,968,0.493801652892562,0.006035113608963387,1.006053361598193,-0.05436570419058861,0.06643593140851538,0.42236817652227887
age,30-49,65+,declared,,Declared,482,964,0.5031120331950207,0.11562388749485805,1.1225735787624096,0.029082631015388424,0.20216514397432767,0.004413690584340054
age,30-49,65+,steered,0.0,Neutral (N=0),482,964,0.5,0.0,1.0,,,
age,30-49,65+,steered,2.0,Steered N=2,482,964,0.5134854771784232,-0.03425904658938481,0.9663211500139894,-0.1114502897840374,0.04293219660526778,0.8078191758771809
age,30-49,65+,steered,4.0,Steered N=4,482,964,0.495850622406639,-0.08491277380908474,0.9185924062236445,-0.17862211011526297,0.008796562497093471,0.9621346454515911
age,30-49,65+,steered,6.0,Steered N=6,482,964,0.4948132780082988,-0.07770133018265614,0.9252407267590781,-0.16913185819306137,0.013729197827749104,0.9521120758294844
age,30-49,65+,steered,8.0,Steered N=8,482,964,0.49066390041493774,-0.08214077870010313,0.9211422723563133,-0.1733366747958297,0.009055117395623466,0.9612505132196351
age,30-49,65+,steered,10.0,Steered N=10,482,964,0.48858921161825725,-0.07747225719098334,0.9254526986979705,-0.16763367497816237,0.012689160596195681,0.9539239500848513
age,30-49,65+,steered,12.0,Steered N=12,482,964,0.49066390041493774,-0.08887553053168065,0.9149594510035737,-0.1813455537112199,0.0035944926478586187,0.9702047223284709
age,30-49,65+,steered,14.0,Steered N=14,482,964,0.48858921161825725,-0.08639062217374952,0.9172358685636884,-0.1785643478235826,0.005783103476083587,0.9668970426013195
age,30-49,65+,steered,16.0,Steered N=16,482,964,0.48858921161825725,-0.08738865368920429,0.9163208949219693,-0.17991044515756818,0.005133137779159608,0.9679338198098534
age,30-49,65+,steered,18.0,Steered N=18,482,964,0.4854771784232365,-0.0848433872202866,0.9186561464285403,-0.1771202860785358,0.007433511637962603,0.9642358786967913
