attribute,group_a,group_b,channel,magnitude,regime,n_questions,n_predictions,strict_accuracy,log_odds_slope_per_gap_sd,odds_ratio_per_gap_sd,slope_ci95_low,slope_ci95_high,cluster_robust_p_slope_le_zero
gender,Male,Female,declared,,Declared,484,968,0.5020661157024794,0.020468255552096082,1.0206791668322757,-0.0026483053368598214,0.043584816441051985,0.04133000903066382
gender,Male,Female,steered,0.0,Neutral (N=0),484,968,0.5,0.0,1.0,,,
gender,Male,Female,steered,2.0,Steered N=2,484,968,0.5,0.0008140007655602475,1.000814332154094,-0.008781135267062666,0.010409136798183161,0.43396984904412367
gender,Male,Female,steered,4.0,Steered N=4,484,968,0.5020661157024794,-0.017262219592050244,0.9828859188960883,-0.054508693705493015,0.019984254521392526,0.8181612432006831
gender,Male,Female,steered,6.0,Steered N=6,484,968,0.493801652892562,0.00033274987179515437,1.0003328052391747,-0.04558743650255319,0.0462529362461435,0.4943341406225216
gender,Male,Female,steered,8.0,Steered N=8,484,968,0.4927685950413223,0.008114343238762657,1.0081473537476533,-0.04209325777047861,0.05832194424800393,0.3757101908435536
gender,Male,Female,steered,10.0,Steered N=10,484,968,0.490702479338843,0.00638408262938582,1.006404504319685,-0.04490460306866303,0.05767276832743467,0.4036277724338511
gender,Male,Female,steered,12.0,Steered N=12,484,968,0.4896694214876033,0.007376286565180605,1.0074035583805967,-0.0461714108305178,0.060923983960879016,0.3935826886677882
gender,Male,Female,steered,14.0,Steered N=14,484,968,0.48760330578512395,-0.014423168197307592,0.9856803474211301,-0.08850300928258122,0.059656672887966035,0.6486236732940456
gender,Male,Female,steered,16.0,Steered N=16,484,968,0.490702479338843,-0.01999912848557087,0.9801995275644148,-0.09418205679897099,0.054183799827829254,0.7013892832988962
gender,Male,Female,steered,18.0,Steered N=18,484,968,0.4865702479338843,-0.0372342202942047,0.9634504492722753,-0.11243142543312953,0.03796298484472013,0.8341019477092051
gender,Male,Female,steered,20.0,Steered N=20,484,968,0.5051652892561983,-0.034247982011379664,0.9663318420088829,-0.11218667535788693,0.04369071133512759,0.8054545679347027
age,30-49,65+,declared,,Declared,482,964,0.5,0.14376500600462025,1.154612749579161,0.06780543338977377,0.21972457861946673,0.00010379465811641029
age,30-49,65+,steered,0.0,Neutral (N=0),482,964,0.5,0.0,1.0,,,
age,30-49,65+,steered,2.0,Steered N=2,482,964,0.5,-0.0009111435451760945,0.9990892714200633,-0.007598695997680878,0.005776408907328688,0.6052806652488659
age,30-49,65+,steered,4.0,Steered N=4,482,964,0.5072614107883817,0.021563295228649283,1.021797463194685,-0.02723302099693456,0.07035961145423313,0.19320884608391342
age,30-49,65+,steered,6.0,Steered N=6,482,964,0.508298755186722,0.0006094358324609989,1.000609621576209,-0.05330028213663962,0.05451915380156162,0.49116123620396135
age,30-49,65+,steered,8.0,Steered N=8,482,964,0.5103734439834025,0.006172914804352591,1.0061920065065442,-0.04941320625025014,0.06175903585895533,0.4138467502042249
age,30-49,65+,steered,10.0,Steered N=10,482,964,0.5051867219917012,0.010795716997349944,1.0108542010196035,-0.04738335495085315,0.06897478894555303,0.3580418121079152
age,30-49,65+,steered,12.0,Steered N=12,482,964,0.49896265560165975,0.029907136045876356,1.0303588463139843,-0.0344888723276294,0.09430314441938212,0.18133911766982086
age,30-49,65+,steered,14.0,Steered N=14,482,964,0.4979253112033195,0.04157031942770972,1.04244646351291,-0.024625464793943633,0.10776610364936308,0.10918738028849301
age,30-49,65+,steered,16.0,Steered N=16,482,964,0.4948132780082988,0.022918181729168912,1.0231828210732494,-0.029484620982476447,0.07532098444081427,0.19566742532520764
age,30-49,65+,steered,18.0,Steered N=18,482,964,0.4948132780082988,0.04724396469277388,1.0483777450375942,-0.008659697323150785,0.10314762670869854,0.04882160608716218
age,30-49,65+,steered,20.0,Steered N=20,482,964,0.4948132780082988,0.04473902495741414,1.0457549083617512,-0.026959121379397454,0.11643717129422573,0.11066048651685456
education,Less than high school,High school graduate,declared,,Declared,486,972,0.22839506172839505,0.13375806247393657,1.143116223475389,0.012815666995901878,0.25470045795197127,0.015091083383716057
education,Less than high school,College graduate/some postgrad,declared,,Declared,486,972,0.4156378600823045,0.17867307789537734,1.1956298024562533,0.09611462036025596,0.2612315354304987,1.1085056104141133e-05
education,Less than high school,High school graduate,steered,0.0,Neutral (N=0),486,972,0.22839506172839505,0.10069750049263897,1.1059420442346304,-0.01829590012034779,0.21969090110562572,0.04859427397775097
education,Less than high school,College graduate/some postgrad,steered,0.0,Neutral (N=0),486,972,0.4094650205761317,0.10015243504531267,1.1053393976953958,0.037989742254154704,0.16231512783647062,0.0007947605510949652
education,Less than high school,High school graduate,steered,2.0,Steered N=2,486,972,0.23045267489711935,0.11487185809258664,1.1217296877801544,-0.004238334226743162,0.23398205041191644,0.029361816828577428
education,Less than high school,College graduate/some postgrad,steered,2.0,Steered N=2,486,972,0.4094650205761317,0.10644326851683292,1.1123148213861136,0.04226826105602029,0.17061827597764556,0.0005751298666820405
education,Less than high school,High school graduate,steered,4.0,Steered N=4,486,972,0.23559670781893005,0.13129757137697232,1.1403070535707325,0.013731495526989906,0.24886364722695473,0.014301171396469732
education,Less than high school,College graduate/some postgrad,steered,4.0,Steered N=4,486,972,0.4094650205761317,0.0952895167834898,1.099977270911908,0.028194432746247514,0.16238460082073208,0.0026877696290755274
education,Less than high school,High school graduate,steered,6.0,Steered N=6,486,972,0.2345679012345679,0.09169974130435546,1.0960356784259835,-0.028339146522872116,0.21173862913158303,0.06716056911238891
education,Less than high school,College graduate/some postgrad,steered,6.0,Steered N=6,486,972,0.4125514403292181,0.08731320403812529,1.0912384064758496,0.020360626495255815,0.15426578158099474,0.0052934534145463895
education,Less than high school,High school graduate,steered,8.0,Steered N=8,486,972,0.23045267489711935,0.08841095811379959,1.0924369756308157,-0.032611439660698655,0.20943335588829784,0.07609390026792207
education,Less than high school,College graduate/some postgrad,steered,8.0,Steered N=8,486,972,0.411522633744856,0.06835346925729933,1.0707437165832774,-0.0021279943915230998,0.13883493290612176,0.028662588524730314
education,Less than high school,High school graduate,steered,10.0,Steered N=10,486,972,0.22839506172839505,0.08388023405633863,1.0874986407081042,-0.03618406748337219,0.20394453559604944,0.0854511836976482
education,Less than high school,College graduate/some postgrad,steered,10.0,Steered N=10,486,972,0.41460905349794236,0.04655295540792482,1.0476535565210547,-0.028944116690365722,0.12205002750621535,0.11341328990616834
education,Less than high school,High school graduate,steered,12.0,Steered N=12,486,972,0.23868312757201646,0.08940810237994506,1.0935268361809867,-0.028419050796647152,0.20723525555653727,0.06847277615808216
education,Less than high school,College graduate/some postgrad,steered,12.0,Steered N=12,486,972,0.41975308641975306,0.06992978249751713,1.072432875052274,-0.00786120485488187,0.14772076984991614,0.03904045468346032
education,Less than high school,High school graduate,steered,14.0,Steered N=14,486,972,0.2417695473251029,0.0841658233190575,1.0878092629961957,-0.035532942189499456,0.20386458882761446,0.08407570531476527
education,Less than high school,College graduate/some postgrad,steered,14.0,Steered N=14,486,972,0.4166666666666667,0.07082897379836237,1.0733976310493574,-0.008174254157014338,0.14983220175373907,0.039441521355296265
education,Less than high school,High school graduate,steered,16.0,Steered N=16,486,972,0.23251028806584362,0.07704092862577608,1.0800862819351973,-0.046226253936550304,0.20030811118810246,0.110290786887633
education,Less than high school,College graduate/some postgrad,steered,16.0,Steered N=16,486,972,0.41358024691358025,0.06944670336978796,1.071914930228685,-0.009346792356370218,0.14824019909594616,0.042039209089615774
education,Less than high school,High school graduate,steered,18.0,Steered N=18,486,972,0.22839506172839505,0.09919451132458403,1.1042810738445759,-0.023100906504508356,0.2214899291536764,0.055943646554964366
education,Less than high school,College graduate/some postgrad,steered,18.0,Steered N=18,486,972,0.41460905349794236,0.08536448560930607,1.0891139607285034,0.005526140009924657,0.16520283120868748,0.01805597867814656
education,Less than high school,High school graduate,steered,20.0,Steered N=20,486,972,0.25,0.10048759019621867,1.1057099199757896,-0.03575217030074185,0.23672735069317918,0.07413701054703464
education,Less than high school,College graduate/some postgrad,steered,20.0,Steered N=20,486,972,0.4207818930041152,0.08927080573958121,1.093376708926451,0.009752919916462835,0.1687886915626996,0.013889431832185904
education,High school graduate,College graduate/some postgrad,declared,,Declared,486,972,0.3724279835390947,0.14495041907246484,1.1559822541747646,0.06332338522295948,0.22657745292197018,0.00025024021234462603
education,High school graduate,College graduate/some postgrad,steered,0.0,Neutral (N=0),486,972,0.36213991769547327,0.15017955060169833,1.162042869494609,0.0815019425089076,0.21885715869448905,9.09613352619999e-06
education,High school graduate,College graduate/some postgrad,steered,2.0,Steered N=2,486,972,0.36213991769547327,0.13995505876008257,1.1502221052880572,0.0696432979728082,0.21026681954735693,4.7825695997726734e-05
education,High school graduate,College graduate/some postgrad,steered,4.0,Steered N=4,486,972,0.36522633744855965,0.1559058005465664,1.1687161054860276,0.07815781907072954,0.23365378202240322,4.2414347798242535e-05
education,High school graduate,College graduate/some postgrad,steered,6.0,Steered N=6,486,972,0.36522633744855965,0.14805273938475916,1.1595740499723362,0.074724667873825,0.22138081089569334,3.789611288477591e-05
education,High school graduate,College graduate/some postgrad,steered,8.0,Steered N=8,486,972,0.36213991769547327,0.11895369086496228,1.1263177582794563,0.028143920910542866,0.2097634608193817,0.005122528559397248
education,High school graduate,College graduate/some postgrad,steered,10.0,Steered N=10,486,972,0.35905349794238683,0.10464575974399094,1.1103172216259167,0.009650045994981218,0.19964147349300065,0.015421023756304348
education,High school graduate,College graduate/some postgrad,steered,12.0,Steered N=12,486,972,0.36419753086419754,0.0993392335466371,1.104440899420231,0.005458704479619866,0.1932197626136543,0.019041297432723953
education,High school graduate,College graduate/some postgrad,steered,14.0,Steered N=14,486,972,0.36213991769547327,0.09798134540811163,1.1029422099797943,0.0032078841258196406,0.19275480669040362,0.021364879409335853
education,High school graduate,College graduate/some postgrad,steered,16.0,Steered N=16,486,972,0.360082304526749,0.12294421011803211,1.1308213307990376,0.039919562734495206,0.205968857501569,0.0018515828696179656
education,High school graduate,College graduate/some postgrad,steered,18.0,Steered N=18,486,972,0.35288065843621397,0.07941482849743679,1.0826533443903468,-0.01656150961464818,0.17539116660952175,0.052424608215794484
education,High school graduate,College graduate/some postgrad,steered,20.0,Steered N=20,486,972,0.3662551440329218,0.08658682596445934,1.0904460426369422,-0.011098580174861816,0.1842722321037805,0.04116592131402316
socioeco,"Less than $30,000","$100,000 or more",declared,,Declared,486,972,0.5339506172839507,0.1917746798282426,1.2113975339113539,0.08651752904013978,0.2970318306163454,0.00017777763711788303
socioeco,"Less than $30,000","$100,000 or more",steered,0.0,Neutral (N=0),486,972,0.5,0.0,1.0,,,
socioeco,"Less than $30,000","$100,000 or more",steered,2.0,Steered N=2,486,972,0.49897119341563784,-0.0017484744467819657,0.9982530532441577,-0.020958873259860566,0.017461924366296636,0.5707930157005727
socioeco,"Less than $30,000","$100,000 or more",steered,4.0,Steered N=4,486,972,0.49794238683127573,0.016111567033373148,1.016242058193266,-0.016049808570531916,0.048272942637278216,0.16307902604643032
socioeco,"Less than $30,000","$100,000 or more",steered,6.0,Steered N=6,486,972,0.49794238683127573,0.018087069655193473,1.0182516313486012,-0.015007895529426586,0.05118203483981353,0.1420443075300989
socioeco,"Less than $30,000","$100,000 or more",steered,8.0,Steered N=8,486,972,0.5010288065843621,0.025943336099640713,1.0262827936398586,-0.008166340857739197,0.06005301305702063,0.06801381107591946
socioeco,"Less than $30,000","$100,000 or more",steered,10.0,Steered N=10,486,972,0.5030864197530864,0.03093491249891122,1.0314183692575019,-0.004782794226927463,0.06665261922474991,0.04479679838501501
socioeco,"Less than $30,000","$100,000 or more",steered,12.0,Steered N=12,486,972,0.5010288065843621,0.020406534650019938,1.0206161715374518,-0.008759989783813,0.04957305908385287,0.08513670577140497
socioeco,"Less than $30,000","$100,000 or more",steered,14.0,Steered N=14,486,972,0.5,0.015090698827458863,1.015205138355845,-0.013988416449433367,0.04416981410435109,0.1545414673515791
socioeco,"Less than $30,000","$100,000 or more",steered,16.0,Steered N=16,486,972,0.5,0.026669772805166744,1.0270285939869848,-0.013768813520448033,0.06710835913078152,0.09806685592286435
socioeco,"Less than $30,000","$100,000 or more",steered,18.0,Steered N=18,486,972,0.5051440329218106,0.0329269864062202,1.0334750787569364,-0.0119158159282697,0.07776978874071011,0.07504967332186321
socioeco,"Less than $30,000","$100,000 or more",steered,20.0,Steered N=20,486,972,0.49691358024691357,0.04932041392531287,1.0505569098812906,0.0013347748542453172,0.09730605299638043,0.02197750364197139
