qkey,attribute,group_a,group_b,wasserstein,mean_pairwise_wasserstein,max_pairwise_wasserstein
AUTOLKLY_W41,gender,Male,Female,0.11764324,0.11764324,0.11764324
AUTOWKPLC_W41,gender,Male,Female,0.06751702999999999,0.06751702999999999,0.06751702999999999
BENEFITGOV_W49,gender,Male,Female,0.11859591472785133,0.11859591472785133,0.11859591472785133
BETTERBIZ1F2D_W36,gender,Male,Female,0.1390690792000115,0.1390690792000115,0.1390690792000115
BETTERBIZ1F2E_W36,gender,Male,Female,0.10112174500000007,0.10112174500000007,0.10112174500000007
BETTERBIZ1F2H_W36,gender,Male,Female,0.05083484500000002,0.05083484500000002,0.05083484500000002
BETTERBIZ2F2C_W36,gender,Male,Female,0.003796159999999965,0.003796159999999965,0.003796159999999965
BETTERBIZ2F2E_W36,gender,Male,Female,0.07120169000000003,0.07120169000000003,0.07120169000000003
BETTERBIZ2F2F_W36,gender,Male,Female,0.015175765000000008,0.015175765000000008,0.015175765000000008
BETTERPOL1F1B_W36,gender,Male,Female,0.11506277838188708,0.11506277838188708,0.11506277838188708
BETTERPOL1F1E_W36,gender,Male,Female,0.02863504499999997,0.02863504499999997,0.02863504499999997
BETTERPOL1F1I_W36,gender,Male,Female,0.020927120000000042,0.020927120000000042,0.020927120000000042
BETTERPOL2F1A_W36,gender,Male,Female,0.1100957003638004,0.1100957003638004,0.1100957003638004
BETTERPOL2F1C_W36,gender,Male,Female,0.02366024499999999,0.02366024499999999,0.02366024499999999
BETTERPOL2F1D_W36,gender,Male,Female,0.06683086827838364,0.06683086827838364,0.06683086827838364
BETTERPOL2F1F_W36,gender,Male,Female,0.07022496453138671,0.07022496453138671,0.07022496453138671
BILLION_W92,gender,Male,Female,0.03243360499999996,0.03243360499999996,0.03243360499999996
BOYSF1B_W29,gender,Male,Female,0.10429201499999999,0.10429201499999999,0.10429201499999999
CANDEXP_W92,gender,Male,Female,0.29232839,0.29232839,0.29232839
CARRYGUN_W26,gender,Male,Female,0.12741612642365355,0.12741612642365355,0.12741612642365355
CLASS_W32,gender,Male,Female,0.050516119999999894,0.050516119999999894,0.050516119999999894
COHABDUR_W50,gender,Male,Female,0.17356132000000007,0.17356132000000007,0.17356132000000007
COMMIMPA_W32,gender,Male,Female,0.20555360097783684,0.20555360097783684,0.20555360097783684
COMMIMPB_W32,gender,Male,Female,0.13809401999999982,0.13809401999999982,0.13809401999999982
COMMIMPC_W32,gender,Male,Female,0.2745834836520892,0.2745834836520892,0.2745834836520892
COMMIMPF_W32,gender,Male,Female,0.32438873,0.32438873,0.32438873
COMMIMPG_W32,gender,Male,Female,0.13060332000000022,0.13060332000000022,0.13060332000000022
COMMIMPH_W32,gender,Male,Female,0.16139326000000004,0.16139326000000004,0.16139326000000004
COMMYRS_W32,gender,Male,Female,0.03268944432555873,0.03268944432555873,0.03268944432555873
CONCERNCO_W49,gender,Male,Female,0.08561430922256785,0.08561430922256785,0.08561430922256785
CONCERNGRPa_W49,gender,Male,Female,0.16055866000000005,0.16055866000000005,0.16055866000000005
CONCERNGRPc_W49,gender,Male,Female,0.08414832999999988,0.08414832999999988,0.08414832999999988
CONFb_W42,gender,Male,Female,0.14258080733711093,0.14258080733711093,0.14258080733711093
CONFc_W42,gender,Male,Female,0.04402340955976575,0.04402340955976575,0.04402340955976575
CONFe_W42,gender,Male,Female,0.11466535145868685,0.11466535145868685,0.11466535145868685
CONFg_W42,gender,Male,Female,0.06137301999999999,0.06137301999999999,0.06137301999999999
CONTROLCO_W49,gender,Male,Female,0.07627402999999994,0.07627402999999994,0.07627402999999994
CONTROLGRPc_W49,gender,Male,Female,0.05065947999999994,0.05065947999999994,0.05065947999999994
DATAUSEd_W49,gender,Male,Female,0.004765759999999952,0.004765759999999952,0.004765759999999952
DNA2b_W50,gender,Male,Female,0.016939800000000005,0.016939800000000005,0.016939800000000005
DNA5_W50,gender,Male,Female,0.009774499999999992,0.009774499999999992,0.009774499999999992
E5MOD_W50,gender,Male,Female,0.27398521000000003,0.27398521000000003,0.27398521000000003
E5_W36,gender,Male,Female,0.28371384678917805,0.28371384678917805,0.28371384678917805
EAT1_W34,gender,Male,Female,0.15373783540426678,0.15373783540426678,0.15373783540426678
EAT2_W34,gender,Male,Female,0.1284656099999998,0.1284656099999998,0.1284656099999998
EAT5B_W34,gender,Male,Female,0.2871463100000002,0.2871463100000002,0.2871463100000002
