summary_level,attribute,group_a,group_b,n_groups,n_questions,n_observations,mean_gap,ci95,ci95_low,ci95_high,min_gap,q1_gap,median_gap,q3_gap,max_gap,fraction_near_zero,near_zero_threshold,chance_accuracy,oracle_n_classifications,oracle_exact_fractional_accuracy,oracle_exact_tie_rate,oracle_threshold_fractional_accuracy,oracle_threshold_tie_rate,oracle_equivalence_threshold
all_pairs,gender,ALL,ALL,2,484,484,0.14910505453674852,0.016496228876701182,0.13260882566004734,0.1656012834134497,0.003796159999999965,0.04863019,0.10510141508814358,0.20094556984355733,2.1469449414694495,0.030991735537190084,0.01,0.5,968,1.0,0.0,0.984504132231405,0.030991735537190084,0.01
question_mean,gender,ALL,ALL,2,484,484,0.14910505453674852,0.016496228876701182,0.13260882566004734,0.1656012834134497,0.003796159999999965,0.04863019,0.10510141508814358,0.20094556984355733,2.1469449414694495,0.030991735537190084,0.01,0.5,968,1.0,0.0,0.984504132231405,0.030991735537190084,0.01
question_max,gender,ALL,ALL,2,484,484,0.14910505453674852,0.016496228876701182,0.13260882566004734,0.1656012834134497,0.003796159999999965,0.04863019,0.10510141508814358,0.20094556984355733,2.1469449414694495,0.030991735537190084,0.01,0.5,968,1.0,0.0,0.984504132231405,0.030991735537190084,0.01
pair,gender,Male,Female,2,484,484,0.14910505453674852,0.016496228876701182,0.13260882566004734,0.1656012834134497,0.003796159999999965,0.04863019,0.10510141508814358,0.20094556984355733,2.1469449414694495,0.030991735537190084,0.01,0.5,968,1.0,0.0,0.984504132231405,0.030991735537190084,0.01
all_pairs,age,ALL,ALL,2,482,482,0.19746946466702955,0.017787394494053307,0.17968207017297624,0.21525685916108286,0.006395579999999998,0.07597462397092662,0.13969258907303578,0.24723433924940336,1.7176692771766926,0.004149377593360996,0.01,0.5,964,1.0,0.0,0.9979253112033195,0.004149377593360996,0.01
question_mean,age,ALL,ALL,2,482,482,0.19746946466702955,0.017787394494053307,0.17968207017297624,0.21525685916108286,0.006395579999999998,0.07597462397092662,0.13969258907303578,0.24723433924940336,1.7176692771766926,0.004149377593360996,0.01,0.5,964,1.0,0.0,0.9979253112033195,0.004149377593360996,0.01
question_max,age,ALL,ALL,2,482,482,0.19746946466702955,0.017787394494053307,0.17968207017297624,0.21525685916108286,0.006395579999999998,0.07597462397092662,0.13969258907303578,0.24723433924940336,1.7176692771766926,0.004149377593360996,0.01,0.5,964,1.0,0.0,0.9979253112033195,0.004149377593360996,0.01
pair,age,30-49,65+,2,482,482,0.19746946466702955,0.017787394494053307,0.17968207017297624,0.21525685916108286,0.006395579999999998,0.07597462397092662,0.13969258907303578,0.24723433924940336,1.7176692771766926,0.004149377593360996,0.01,0.5,964,1.0,0.0,0.9979253112033195,0.004149377593360996,0.01
all_pairs,education,ALL,ALL,3,486,1458,0.19655391618882836,0.00780047463563916,0.1887534415531892,0.20435439082446752,0.0015989649999999939,0.08775879749999996,0.15683622308411013,0.26408456183996676,1.2040691899999998,0.0075445816186556925,0.01,0.3333333333333333,1458,1.0,0.0,0.9924554183813443,0.015089163237311385,0.01
question_mean,education,ALL,ALL,3,486,486,0.1965539161888284,0.010583068646133327,0.18597084754269508,0.2071369848349617,0.015375203333333318,0.10848149656194685,0.17626082272640556,0.2619114492761754,0.8027127933333332,0.0,0.01,0.3333333333333333,1458,1.0,0.0,0.9924554183813443,0.015089163237311385,0.01
