qkey,attribute,channel,magnitude,regime,model_class,human_attribute,human_group,own_human_group,is_own_group,wasserstein,available_groups,expected_groups
CARRYGUN_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.7430137631424008,2,2
CARRYGUN_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.6225510422159253,2,2
CARRYGUN_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.5267026139922122,2,2
CARRYGUN_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.4062398930657367,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.11914521271560607,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.14560329271560613,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.13328342224306644,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.1597415022430665,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.18394281222762765,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.2537763722276277,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.20756978745887866,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.27740334745887874,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.28427652257351843,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.4099550125735184,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.3401131272997099,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.46579161729970986,2,2
GROWUPGUN4_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.8454992487544498,2,2
GROWUPGUN4_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.7223488114210599,2,2
GROWUPGUN4_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.8621194995587608,2,2
GROWUPGUN4_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.6663806795587608,2,2
GROWUPGUN6_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.37731984224057374,2,2
GROWUPGUN6_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.2837825241008083,2,2
GROWUPGUN6_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.2554622808317661,2,2
GROWUPGUN6_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.4205640220166197,2,2
GROWUPGUN7_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.9075853117623347,2,2
GROWUPGUN7_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.2586171638981971,2,2
GROWUPGUN7_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.8712716822127166,2,2
GROWUPGUN7_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.29020555501948947,2,2
GROWUPVIOL_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.19851252847047945,2,2
GROWUPVIOL_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.2071384089498848,2,2
GROWUPVIOL_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.24623370032472117,2,2
GROWUPVIOL_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.3514865703247212,2,2
GUNACCESS_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.107878863645451,2,2
GUNACCESS_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.8393998809310919,2,2
GUNACCESS_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.8864204905825692,2,2
GUNACCESS_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.61794150786821,2,2
GUNACTIVITYA_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.528481160029914,2,2
GUNACTIVITYA_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.9336029500299139,2,2
GUNACTIVITYA_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.6304226067223793,2,2
GUNACTIVITYA_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,1.0355443967223792,2,2
GUNACTIVITYB_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.6578511684992676,2,2
GUNACTIVITYB_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.3643131823579667,2,2
GUNACTIVITYB_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.5553973387954585,2,2
GUNACTIVITYB_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.2618593526541575,2,2
GUNCONTRIBA_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.3116737368884872,2,2
GUNCONTRIBA_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.3990089647589441,2,2
GUNCONTRIBA_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.2895554483505707,2,2
GUNCONTRIBA_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.3855772572750816,2,2
GUNCONTRIBC_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.2656720458315235,2,2
GUNCONTRIBC_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.3656830694940506,2,2
GUNCONTRIBC_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.31756123108830386,2,2
GUNCONTRIBC_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.6441196756375638,2,2
GUNCONTRIBE_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.34617181869363484,2,2
GUNCONTRIBE_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.4917121929287587,2,2
GUNCONTRIBE_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.34365160093735125,2,2
GUNCONTRIBE_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.6409377857210468,2,2
GUNCONTRIBF_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.5875989729023207,2,2
GUNCONTRIBF_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.6160856831127889,2,2
GUNCONTRIBF_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.6482680989068665,2,2
GUNCONTRIBF_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.8135779088741454,2,2
GUNFRIEND_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.9018089927819576,2,2
GUNFRIEND_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.7072498327819576,2,2
GUNFRIEND_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.6662607144995529,2,2
GUNFRIEND_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.5950256631763561,2,2
GUNIDENTITY_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.2219888336152176,2,2
GUNIDENTITY_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,1.1898916136152173,2,2
GUNIDENTITY_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.0791205503961518,2,2
GUNIDENTITY_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,1.0470233303961516,2,2
GUNLOADED1_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.44370423531260167,2,2
GUNLOADED1_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.25089414050000003,2,2
GUNLOADED1_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.4553313714941032,2,2
GUNLOADED1_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.2625212766815015,2,2
GUNLOADED2_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.5623365643522439,2,2
