qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
CARRYGUN_W26,gender,Male,Female,0.12741612642365374,Q3,inferred,,Inferred from name,Male,male,female,0.7430137631424008,0.5267026139922122,0.21631114915018856
GROWUPGUN2A_W26,gender,Male,Female,0.02645808000000005,Q1,inferred,,Inferred from name,Male,male,female,0.11914521271560607,0.13328342224306644,-0.014138209527460366
GROWUPGUN2B_W26,gender,Male,Female,0.06983356000000007,Q2,inferred,,Inferred from name,Male,male,female,0.18394281222762765,0.20756978745887866,-0.023626975231251013
GROWUPGUN2C_W26,gender,Male,Female,0.12567848999999998,Q3,inferred,,Inferred from name,Male,male,female,0.28427652257351843,0.3401131272997099,-0.05583660472619145
GROWUPGUN4_W26,gender,Male,Female,0.19573881999999995,Q3,inferred,,Inferred from name,Male,male,female,0.8454992487544498,0.8621194995587608,-0.016620250804310954
GROWUPGUN6_W26,gender,Male,Female,0.41024151006297305,Q4,inferred,,Inferred from name,Male,male,female,0.37731984224057374,0.2554622808317661,0.12185756140880766
GROWUPGUN7_W26,gender,Male,Female,0.9799193065335078,Q4,inferred,,Inferred from name,Male,male,female,0.9075853117623347,0.8712716822127166,0.03631362954961814
GROWUPVIOL_W26,gender,Male,Female,0.10525287000000001,Q3,inferred,,Inferred from name,Male,male,female,0.19851252847047945,0.24623370032472117,-0.04772117185424171
GUNACCESS_W26,gender,Male,Female,0.26847898271435916,Q4,inferred,,Inferred from name,Male,male,female,1.107878863645451,0.8864204905825692,0.22145837306288185
GUNACTIVITYA_W26,gender,Male,Female,0.40512179,Q4,inferred,,Inferred from name,Male,male,female,0.528481160029914,0.6304226067223793,-0.1019414466924653
GUNACTIVITYB_W26,gender,Male,Female,0.293537986141301,Q4,inferred,,Inferred from name,Male,male,female,0.6578511684992676,0.5553973387954585,0.10245382970380912
GUNCONTRIBA_W26,gender,Male,Female,0.3380495241731196,Q4,inferred,,Inferred from name,Male,male,female,0.3116737368884872,0.2895554483505707,0.02211828853791653
