qkey,class_label,wasserstein,regime,neutral_wasserstein,delta_vs_neutral
CARRYGUN_W26,male,0.6352443321485836,Neutral (N=0),0.6352443321485836,0.0
CARRYGUN_W26,female,0.514781611222108,Neutral (N=0),0.514781611222108,0.0
GROWUPGUN2A_W26,male,0.06505204049465962,Neutral (N=0),0.06505204049465962,0.0
GROWUPGUN2A_W26,female,0.09151012049465967,Neutral (N=0),0.09151012049465967,0.0
GROWUPGUN2B_W26,male,0.22983998932083316,Neutral (N=0),0.22983998932083316,0.0
GROWUPGUN2B_W26,female,0.29967354932083323,Neutral (N=0),0.29967354932083323,0.0
GROWUPGUN2C_W26,male,0.39828230606788084,Neutral (N=0),0.39828230606788084,0.0
GROWUPGUN2C_W26,female,0.5239607960678808,Neutral (N=0),0.5239607960678808,0.0
GROWUPGUN4_W26,male,0.6923866515464225,Neutral (N=0),0.6923866515464225,0.0
GROWUPGUN4_W26,female,0.6725706915464226,Neutral (N=0),0.6725706915464226,0.0
GROWUPGUN6_W26,male,0.9625836391886997,Neutral (N=0),0.9625836391886997,0.0
GROWUPGUN6_W26,female,0.5523421291257267,Neutral (N=0),0.5523421291257267,0.0
GROWUPGUN7_W26,male,1.1728528032886918,Neutral (N=0),1.1728528032886918,0.0
GROWUPGUN7_W26,female,0.37802060359160805,Neutral (N=0),0.37802060359160805,0.0
GROWUPVIOL_W26,male,0.5627268990992969,Neutral (N=0),0.5627268990992969,0.0
GROWUPVIOL_W26,female,0.6679797690992968,Neutral (N=0),0.6679797690992968,0.0
GUNACCESS_W26,male,0.8129541776509535,Neutral (N=0),0.8129541776509535,0.0
GUNACCESS_W26,female,0.5444751949365942,Neutral (N=0),0.5444751949365942,0.0
GUNACTIVITYA_W26,male,1.0585996993804045,Neutral (N=0),1.0585996993804045,0.0
GUNACTIVITYA_W26,female,1.4637214893804047,Neutral (N=0),1.4637214893804047,0.0
GUNACTIVITYB_W26,male,0.5920836731558441,Neutral (N=0),0.5920836731558441,0.0
GUNACTIVITYB_W26,female,0.3965520460344795,Neutral (N=0),0.3965520460344795,0.0
GUNCONTRIBA_W26,male,0.9558946803306014,Neutral (N=0),0.9558946803306014,0.0
