class_label,regime,n,mean_wasserstein,wasserstein_ci95,mean_delta_vs_neutral,delta_ci95,paired_wilcoxon_p
male,Neutral (N=0),484,0.6087544219311269,0.033975874849655266,0.0,0.0,
male,Declared,484,0.6691926966125681,0.03776350044955393,0.06043827468144123,0.02596544556726148,2.1080739920017448e-06
male,Steered N=20,484,0.4824580063691958,0.025425639137195512,-0.12629641556193116,0.031225091604069513,8.571008827376454e-14
male,Inferred from name,484,0.6420379937616046,0.03622565030238751,0.033283571830477685,0.032302289563112145,0.09207633224767287
female,Neutral (N=0),486,0.6245637745072237,0.03544827518025017,0.0,0.0,
female,Declared,486,0.6444024906383418,0.039010156145247214,0.019838716131118216,0.030582771275538198,0.3006049381806378
female,Steered N=20,486,0.44752656395547963,0.02663643061117083,-0.17703721055174385,0.03684058491482258,2.8065101844050583e-18
female,Inferred from name,484,0.6943121379521394,0.037234046971167785,0.07204462623179103,0.035514534115612464,0.0002921875437758205
all,Neutral (N=0),486,0.6178350343241131,0.03406542455688482,0.0,0.0,
all,Declared,486,0.6580407411418766,0.03554211850992513,0.04020570681776352,0.024545501024932054,0.00020694491621171127
all,Steered N=20,486,0.46462595375190874,0.02149137471332595,-0.15320908057220448,0.030556032657395718,3.0576960976644283e-19
all,Inferred from name,484,0.668175065856872,0.03560693472708909,0.052664099031134365,0.03278593030010443,0.007238721742825323
