qkey,attribute,channel,class_label,magnitude,n_names,response_distribution
CARRYGUN_W26,gender,inferred,male,,20,"[0.04674848, 0.00931755, 0.12592087, 0.81801311]"
CARRYGUN_W26,gender,inferred,female,,20,"[0.10204947, 0.00954712, 0.1758699, 0.7125335]"
GROWUPGUN2A_W26,gender,inferred,male,,20,"[0.73724848, 0.2627515]"
GROWUPGUN2A_W26,gender,inferred,female,,20,"[0.75138671, 0.2486133]"
GROWUPGUN2B_W26,gender,inferred,male,,20,"[0.88618614, 0.11381386]"
GROWUPGUN2B_W26,gender,inferred,female,,20,"[0.90981311, 0.09018688]"
GROWUPGUN2C_W26,gender,inferred,male,,20,"[0.80735182, 0.19264817]"
GROWUPGUN2C_W26,gender,inferred,female,,20,"[0.86318845, 0.13681156]"
GROWUPGUN4_W26,gender,inferred,male,,20,"[0.22220331, 0.01949863, 0.45809285, 0.3002052]"
GROWUPGUN4_W26,gender,inferred,female,,20,"[0.18479431, 0.01969635, 0.55330417, 0.24220517]"
GROWUPGUN6_W26,gender,inferred,male,,20,"[0.20767332, 0.015381, 0.22605638, 0.55088931]"
GROWUPGUN6_W26,gender,inferred,female,,20,"[0.21513529, 0.01759194, 0.33603007, 0.4312427]"
GROWUPGUN7_W26,gender,inferred,male,,20,"[0.10029407, 0.01240838, 0.42006649, 0.46723107]"
GROWUPGUN7_W26,gender,inferred,female,,20,"[0.1000154, 0.01504966, 0.45193354, 0.43300139]"
GROWUPVIOL_W26,gender,inferred,male,,20,"[0.18588706, 0.00826634, 0.19244718, 0.61339941]"
GROWUPVIOL_W26,gender,inferred,female,,20,"[0.20077281, 0.01152143, 0.28562794, 0.50207783]"
GUNACCESS_W26,gender,inferred,male,,20,"[0.11011924, 0.01595288, 0.25842174, 0.61550613]"
GUNACCESS_W26,gender,inferred,female,,20,"[0.17788828, 0.01391943, 0.28063987, 0.52755241]"
GUNACTIVITYA_W26,gender,inferred,male,,20,"[0.32217455, 0.03515127, 0.19854516, 0.44412902]"
GUNACTIVITYA_W26,gender,inferred,female,,20,"[0.34963196, 0.0416727, 0.2050715, 0.40362382]"
GUNACTIVITYB_W26,gender,inferred,male,,20,"[0.09274943, 0.01955926, 0.11794899, 0.76974234]"
GUNACTIVITYB_W26,gender,inferred,female,,20,"[0.14142348, 0.0273518, 0.15614367, 0.67508104]"
GUNCONTRIBA_W26,gender,inferred,male,,20,"[0.50225796, 0.01414802, 0.27400775, 0.20958626]"
GUNCONTRIBA_W26,gender,inferred,female,,20,"[0.44463897, 0.01173405, 0.34988639, 0.19374058]"
GUNCONTRIBC_W26,gender,inferred,male,,20,"[0.29878527, 0.01945625, 0.57068107, 0.11107741]"
GUNCONTRIBC_W26,gender,inferred,female,,20,"[0.1766689, 0.01419979, 0.66910649, 0.14002482]"
GUNCONTRIBE_W26,gender,inferred,male,,20,"[0.28104341, 0.02209829, 0.57885831, 0.118]"
GUNCONTRIBE_W26,gender,inferred,female,,20,"[0.21529744, 0.01449156, 0.64208404, 0.12812694]"
GUNCONTRIBF_W26,gender,inferred,male,,20,"[0.30978442, 0.0304905, 0.47459891, 0.18512618]"
GUNCONTRIBF_W26,gender,inferred,female,,20,"[0.22614606, 0.02693589, 0.53513097, 0.21178708]"
GUNFRIEND_W26,gender,inferred,male,,20,"[0.15234294, 0.02223201, 0.6438687, 0.18155635]"
GUNFRIEND_W26,gender,inferred,female,,20,"[0.25348558, 0.02228749, 0.57587814, 0.14834881]"
GUNIDENTITY_W26,gender,inferred,male,,20,"[0.06357874, 0.02372266, 0.07978948, 0.83290912]"
GUNIDENTITY_W26,gender,inferred,female,,20,"[0.10433061, 0.02464083, 0.09856579, 0.77246275]"
GUNLOADED1_W26,gender,inferred,male,,20,"[0.25789327, 0.03755593, 0.7045508]"
GUNLOADED1_W26,gender,inferred,female,,20,"[0.28309316, 0.02592879, 0.69097805]"
GUNLOADED2_W26,gender,inferred,male,,20,"[0.88636749, 0.11363252]"
GUNLOADED2_W26,gender,inferred,female,,20,"[0.9268104, 0.0731896]"
GUNLOCKED1_W26,gender,inferred,male,,20,"[0.27238316, 0.04542152, 0.68219532]"
GUNLOCKED1_W26,gender,inferred,female,,20,"[0.33771288, 0.03391161, 0.62837553]"
GUNLOCKED2_W26,gender,inferred,male,,20,"[0.85141863, 0.14858138]"
GUNLOCKED2_W26,gender,inferred,female,,20,"[0.89032055, 0.10967946]"
GUNRESPKIDSD_W26,gender,inferred,male,,20,"[0.4894753, 0.03060071, 0.10711063, 0.37281336]"
GUNRESPKIDSD_W26,gender,inferred,female,,20,"[0.48806975, 0.02659506, 0.07865979, 0.40667542]"
GUNRESPKIDSE_W26,gender,inferred,male,,20,"[0.58009685, 0.03765986, 0.06170696, 0.32053632]"
GUNRESPKIDSE_W26,gender,inferred,female,,20,"[0.57282404, 0.03518143, 0.04844051, 0.34355402]"
