position,attribute,layer,n,mean_activation_strength,mean_normalized_confidence,gender_accuracy
after_name,age,0,40,0.00059938,0.25044954,
after_name,age,1,40,0.00494071925,0.2537055389999999,
after_name,age,2,40,0.008382280000000002,0.25628671025000005,
after_name,age,3,40,0.0144971065,0.26087282925000005,
after_name,age,4,40,0.022020448499999998,0.26651533675,
after_name,age,5,40,0.030497723500000008,0.27287329275,
after_name,age,6,40,0.01787167675,0.26340375675,
after_name,age,7,40,0.011284732000000002,0.25846354875,
after_name,age,8,40,0.035443183499999996,0.27658238749999997,
after_name,age,9,40,0.07703052399999999,0.30777289325,
after_name,age,10,40,0.05439901125,0.2907992585,
after_name,age,11,40,0.06306731475000002,0.29730048600000003,
after_name,age,12,40,0.11000954700000001,0.33250715950000004,
after_name,age,13,40,0.11730354125,0.3379776554999999,
after_name,age,14,40,0.20428768074999998,0.40321575975,
after_name,age,15,40,0.27985094274999994,0.45988820775,
after_name,age,16,40,0.21190322925,0.408927422,
after_name,age,17,40,0.18274461,0.38705845775,
after_name,age,18,40,0.146539083,0.35990431275000007,
after_name,age,19,40,0.18515149599999994,0.38886362225,
after_name,age,20,40,0.14698395275000004,0.36023796475000003,
after_name,age,21,40,0.15035185700000003,0.36276389275000004,
after_name,age,22,40,0.07925918474999998,0.30944438874999997,
after_name,age,23,40,0.13202927574999998,0.34902195724999985,
after_name,age,24,40,0.12028143,0.34021107200000006,
after_name,age,25,40,0.09260294025000002,0.31945220574999994,
after_name,age,26,40,0.066208683,0.299656512,
after_name,age,27,40,0.09425454949999999,0.32069091275,
after_name,age,28,40,0.10074623075,0.32555967225,
after_name,age,29,40,0.08667448199999998,0.31500586150000004,
after_name,age,30,40,0.24516784,0.43387587974999986,
after_name,age,31,40,0.0928900375,0.31966752774999996,
after_name,age,32,40,0.09328345275000001,0.31996258974999997,
after_name,age,33,40,0.13286250324999999,0.3496468770000001,
after_name,age,34,40,0.19560718524999995,0.39670538949999995,
after_name,age,35,40,0.187684667,0.39076350049999997,
after_name,age,36,40,0.16404941950000002,0.37303706475000004,
after_name,age,37,40,0.12416032574999995,0.343120245,
after_name,age,38,40,0.21845873524999998,0.4138440515000001,
after_name,age,39,40,0.15566489175,0.36674866875,
after_name,age,40,40,0.20199276725,0.4014945747499999,
after_name,education,0,40,0.0001994800000000001,0.3334663199999998,
after_name,education,1,40,0.0014530550000000002,0.33430203699999994,
after_name,education,2,40,0.0039462679999999984,0.3359641785000001,
after_name,education,3,40,0.014481351499999998,0.34298756724999996,
after_name,education,4,40,0.035075624999999985,0.356717084,
after_name,education,5,40,0.01928558025,0.34619038625,
after_name,education,6,40,0.018189420249999998,0.3454596134999998,
after_name,education,7,40,0.028301477750000005,0.35220098525,
after_name,education,8,40,0.08453083599999998,0.38968722325000005,
after_name,education,9,40,0.03402569874999999,0.35601713299999993,
after_name,education,10,40,0.06210537724999998,0.3747369172499999,
after_name,education,11,40,0.0541694135,0.3694462754999999,
after_name,education,12,40,0.06059570425000001,0.37373046874999993,
after_name,education,13,40,0.10302265775,0.4020151055,
after_name,education,14,40,0.09515731149999998,0.39677154075,
after_name,education,15,40,0.06572370075,0.3771491349999999,
after_name,education,16,40,0.09265958499999999,0.3951063895000001,
after_name,education,17,40,0.15170073499999998,0.434467157,
after_name,education,18,40,0.0240151915,0.34934346000000005,
after_name,education,19,40,0.043364836,0.3622432245,
after_name,education,20,40,0.117546495,0.41169766349999987,
after_name,education,21,40,0.20870502949999992,0.47247002024999984,
after_name,education,22,40,0.3086545635000001,0.5391030429999999,
after_name,education,23,40,0.3572586784999999,0.5715057849999999,
after_name,education,24,40,0.24682993399999997,0.4978866224999998,
after_name,education,25,40,0.377291715,0.58486114325,
after_name,education,26,40,0.4505493045000001,0.6336995370000001,
after_name,education,27,40,0.5550040635,0.7033360424999999,
after_name,education,28,40,0.4590203394999999,0.6393468935,
after_name,education,29,40,0.45249277525,0.6349951835000001,
after_name,education,30,40,0.4678028222500002,0.6452018814999999,
after_name,education,31,40,0.47936942349999984,0.6529129495,
after_name,education,32,40,0.40815681674999993,0.6054378777499999,
after_name,education,33,40,0.45368617874999995,0.6357907859999998,
after_name,education,34,40,0.355871399,0.5705809325000002,
after_name,education,35,40,0.6034262615,0.73561750775,
after_name,education,36,40,0.42121048649999987,0.6141403240000003,
after_name,education,37,40,0.35857226225000005,0.57238150725,
after_name,education,38,40,0.57512287325,0.7167485820000001,
after_name,education,39,40,0.42975409750000004,0.6198360649999999,
after_name,education,40,40,0.07464423325,0.38309615575,
after_name,gender,0,40,0.0008410200000000003,0.5004205100000001,0.5
after_name,gender,1,40,0.0038850155000000005,0.5019425087499999,0.5
after_name,gender,2,40,0.0008018495,0.5004009245000001,0.5
after_name,gender,3,40,0.0111155395,0.5055577694999998,0.5
after_name,gender,4,40,0.011316969999999999,0.50565848525,0.45
after_name,gender,5,40,0.04328831700000001,0.5216441587499999,0.5
after_name,gender,6,40,0.060504504749999986,0.5302522522499998,0.5
after_name,gender,7,40,0.1383070115,0.5691535054999999,0.5
after_name,gender,8,40,0.19057241025,0.5952862050000001,0.5
after_name,gender,9,40,0.045801087500000004,0.52290054375,0.475
after_name,gender,10,40,0.08162011450000001,0.5408100574999999,0.0
after_name,gender,11,40,0.14642131425,0.5732106562500001,0.5
after_name,gender,12,40,0.08655068449999999,0.5432753432500002,0.0
after_name,gender,13,40,0.1677305995,0.583865299,0.5
after_name,gender,14,40,0.16940578550000002,0.58470289275,0.25
after_name,gender,15,40,0.06680130050000002,0.53340065,0.175
after_name,gender,16,40,0.18045088875,0.590225445,0.3
after_name,gender,17,40,0.07824723625,0.5391236187499999,0.975
after_name,gender,18,40,0.1831297335,0.5915648672500001,1.0
after_name,gender,19,40,0.3662754922499999,0.6831377460000001,0.5
after_name,gender,20,40,0.23374584349999994,0.6168729217500001,1.0
after_name,gender,21,40,0.31934751299999997,0.6596737564999998,0.5
after_name,gender,22,40,0.24358441575,0.6217922072500001,1.0
after_name,gender,23,40,0.5283183032500001,0.7641591515000002,0.5
after_name,gender,24,40,0.148528511,0.5742642550000001,1.0
after_name,gender,25,40,0.2805106697499999,0.6402553350000001,1.0
after_name,gender,26,40,0.3368520292499999,0.6684260144999999,0.9
after_name,gender,27,40,0.411207628,0.7056038139999998,0.575
after_name,gender,28,40,0.5439902699999999,0.7719951345,1.0
after_name,gender,29,40,0.40179218325,0.70089609175,0.975
after_name,gender,30,40,0.60493791475,0.80246895725,1.0
after_name,gender,31,40,0.5669176945000001,0.7834588464999996,0.6
after_name,gender,32,40,0.3122745480000001,0.6561372747500002,1.0
after_name,gender,33,40,0.3891971410000001,0.6945985695,0.625
after_name,gender,34,40,0.47027702875,0.7351385142500001,0.975
after_name,gender,35,40,0.26023832575000005,0.6301191624999998,0.925
