qkey,attribute,channel,magnitude,regime,model_class,human_attribute,human_group,own_human_group,is_own_group,wasserstein,available_groups,expected_groups
CARRYGUN_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.0277792369996588,2,2
CARRYGUN_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.9073165160731833,2,2
CARRYGUN_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.0277626784994227,2,2
CARRYGUN_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.9072999575729472,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.36809375210352213,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.3945518321035222,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.3706974484720018,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.39715552847200186,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.2898090985397378,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.35964265853973787,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.2790188306592716,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.34885239065927165,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.4682085361612489,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.5938870261612489,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.4700513381099737,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.5957298281099737,2,2
GROWUPGUN4_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.5375840124956899,2,2
GROWUPGUN4_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.55739997249569,2,2
