qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
CARRYGUN_W26,gender,Male,Female,0.12741612642365374,Q3,inferred,,Inferred from name,Male,male,female,1.0277792369996588,1.0277626784994227,1.6558500236074636e-05
GROWUPGUN2A_W26,gender,Male,Female,0.02645808000000005,Q1,inferred,,Inferred from name,Male,male,female,0.36809375210352213,0.3706974484720018,-0.00260369636847968
GROWUPGUN2B_W26,gender,Male,Female,0.06983356000000007,Q2,inferred,,Inferred from name,Male,male,female,0.2898090985397378,0.2790188306592716,0.01079026788046622
GROWUPGUN2C_W26,gender,Male,Female,0.12567848999999998,Q3,inferred,,Inferred from name,Male,male,female,0.4682085361612489,0.4700513381099737,-0.0018428019487247704
GROWUPGUN4_W26,gender,Male,Female,0.19573881999999995,Q3,inferred,,Inferred from name,Male,male,female,0.5375840124956899,0.536950121505571,0.0006338909901189016
GROWUPGUN6_W26,gender,Male,Female,0.41024151006297305,Q4,inferred,,Inferred from name,Male,male,female,0.8532482949812672,0.9410337342250698,-0.08778543924380255
GROWUPGUN7_W26,gender,Male,Female,0.9799193065335078,Q4,inferred,,Inferred from name,Male,male,female,1.403266446657875,1.5816188393161883,-0.17835239265831326
GROWUPVIOL_W26,gender,Male,Female,0.10525287000000001,Q3,inferred,,Inferred from name,Male,male,female,2.2696277417047246,2.1927024242817756,0.07692531742294895
GUNACCESS_W26,gender,Male,Female,0.26847898271435916,Q4,inferred,,Inferred from name,Male,male,female,1.7285512747142375,1.7285503757144,8.989998374620001e-07
GUNACTIVITYA_W26,gender,Male,Female,0.40512179,Q4,inferred,,Inferred from name,Male,male,female,0.6172469697361316,0.47025785519500646,0.14698911454112512
GUNACTIVITYB_W26,gender,Male,Female,0.293537986141301,Q4,inferred,,Inferred from name,Male,male,female,0.4335887297807156,0.3680985714016328,0.06549015837908279
GUNCONTRIBA_W26,gender,Male,Female,0.3380495241731196,Q4,inferred,,Inferred from name,Male,male,female,0.6988115755363639,0.9199670629350674,-0.2211554873987035
GUNCONTRIBC_W26,gender,Male,Female,0.32655844454925986,Q4,inferred,,Inferred from name,Male,male,female,0.8455831055352175,0.8502300405227367,-0.0046469349875191135
GUNCONTRIBE_W26,gender,Male,Female,0.4420735348417624,Q4,inferred,,Inferred from name,Male,male,female,0.8746240487553381,0.8743882117432232,0.00023583701211482566
GUNCONTRIBF_W26,gender,Male,Female,0.17482951127702093,Q3,inferred,,Inferred from name,Male,male,female,0.566869872829633,0.5669005613290885,-3.0688499455533425e-05
GUNFRIEND_W26,gender,Male,Female,0.19455915999999993,Q3,inferred,,Inferred from name,Male,male,female,2.0457868300145288,2.0467773229895796,-0.0009904929750508273
GUNIDENTITY_W26,gender,Male,Female,0.11044064000000012,Q3,inferred,,Inferred from name,Male,male,female,0.9498528424995872,0.9488846500421536,0.0009681924574336254
GUNLOADED1_W26,gender,Male,Female,0.19281009481260167,Q3,inferred,,Inferred from name,Male,male,female,0.7605687351065057,0.7605220141066579,4.672099984781575e-05
GUNLOADED2_W26,gender,Male,Female,0.007936229999999989,Q1,inferred,,Inferred from name,Male,male,female,0.3233907605073618,0.320506323517623,0.0028844369897388367
GUNLOCKED1_W26,gender,Male,Female,0.13664473661173004,Q3,inferred,,Inferred from name,Male,male,female,0.45586114904404446,0.49042739016886205,-0.0345662411248176
GUNLOCKED2_W26,gender,Male,Female,0.0073127900000000134,Q1,inferred,,Inferred from name,Male,male,female,0.5660442380973434,0.5643665665258923,0.0016776715714510448
GUNRESPKIDSD_W26,gender,Male,Female,0.049383065098697915,Q2,inferred,,Inferred from name,Male,male,female,1.606808076999794,1.6068044529996055,3.6240001886067574e-06
GUNRESPKIDSE_W26,gender,Male,Female,0.4011035927178682,Q4,inferred,,Inferred from name,Male,male,female,1.129313680499937,1.1293134994999972,1.8099993992493069e-07
GUNRESPNOKIDSA_W26,gender,Male,Female,0.20231650202316498,Q4,inferred,,Inferred from name,Male,male,female,0.6899667209006382,0.689963711900665,3.008999973186377e-06
GUNRESPNOKIDSB_W26,gender,Male,Female,0.20836038244064875,Q4,inferred,,Inferred from name,Male,male,female,0.7437710290000005,0.7026900259683265,0.041081003031673946
GUNRESPNOKIDSC_W26,gender,Male,Female,0.13126636676495096,Q3,inferred,,Inferred from name,Male,male,female,0.4642782115026174,0.4642691735075405,9.037995076899286e-06
