qkey,class_label,wasserstein,regime,neutral_wasserstein,delta_vs_neutral
CARRYGUN_W26,male,1.0277401199992497,Neutral (N=0),1.0277401199992497,0.0
CARRYGUN_W26,female,0.907277399072774,Neutral (N=0),0.907277399072774,0.0
GROWUPGUN2A_W26,male,0.3749928800690384,Neutral (N=0),0.3749928800690384,0.0
GROWUPGUN2A_W26,female,0.40145096006903846,Neutral (N=0),0.40145096006903846,0.0
GROWUPGUN2B_W26,male,0.2920264198853949,Neutral (N=0),0.2920264198853949,0.0
GROWUPGUN2B_W26,female,0.361859979885395,Neutral (N=0),0.361859979885395,0.0
GROWUPGUN2C_W26,male,0.4761205999678364,Neutral (N=0),0.4761205999678364,0.0
GROWUPGUN2C_W26,female,0.6017990899678364,Neutral (N=0),0.6017990899678364,0.0
GROWUPGUN4_W26,male,0.5367228198726713,Neutral (N=0),0.5367228198726713,0.0
GROWUPGUN4_W26,female,0.5565387798726713,Neutral (N=0),0.5565387798726713,0.0
GROWUPGUN6_W26,male,0.8557036785570367,Neutral (N=0),0.8557036785570367,0.0
GROWUPGUN6_W26,female,0.4454621684940637,Neutral (N=0),0.4454621684940637,0.0
GROWUPGUN7_W26,male,1.5935284929441715,Neutral (N=0),1.5935284929441715,0.0
GROWUPGUN7_W26,female,0.6136091864106643,Neutral (N=0),0.6136091864106643,0.0
GROWUPVIOL_W26,male,1.4831743240828066,Neutral (N=0),1.4831743240828066,0.0
GROWUPVIOL_W26,female,1.5884271940828067,Neutral (N=0),1.5884271940828067,0.0
GUNACCESS_W26,male,1.7285455627149147,Neutral (N=0),1.7285455627149147,0.0
GUNACCESS_W26,female,1.4600665800005554,Neutral (N=0),1.4600665800005554,0.0
GUNACTIVITYA_W26,male,0.7791307299999999,Neutral (N=0),0.7791307299999999,0.0
GUNACTIVITYA_W26,female,0.8778535,Neutral (N=0),0.8778535,0.0
GUNACTIVITYB_W26,male,0.6679201137770598,Neutral (N=0),0.6679201137770598,0.0
GUNACTIVITYB_W26,female,0.7594462952383318,Neutral (N=0),0.7594462952383318,0.0
GUNCONTRIBA_W26,male,0.8680242381917056,Neutral (N=0),0.8680242381917056,0.0
GUNCONTRIBA_W26,female,0.7720024292671948,Neutral (N=0),0.7720024292671948,0.0
GUNCONTRIBC_W26,male,0.6975861250681945,Neutral (N=0),0.6975861250681945,0.0
