class_label,regime,n,mean_wasserstein,wasserstein_ci95,mean_delta_vs_neutral,delta_ci95,paired_wilcoxon_p
male,Neutral (N=0),484,0.6685506082397749,0.03302311760085919,0.0,0.0,
male,Declared,484,0.7002798021129043,0.03753098990691264,0.03172919387312954,0.019764737444775974,0.10358833702758624
male,Steered N=2,484,0.33007938778734375,0.02454383933218699,-0.33847122045243117,0.031600143632537964,1.370217203229447e-59
male,Inferred from name,484,0.6829522094394395,0.03472881932776877,0.014401601199664644,0.018023838248320243,0.6567813507621135
female,Neutral (N=0),486,0.6424962289001624,0.0331630775617667,0.0,0.0,
female,Declared,486,0.6743532858389798,0.033839789957754295,0.03185705693881735,0.019968709907274448,4.4444620713989565e-06
female,Steered N=2,486,0.4528757819957551,0.027886725417265536,-0.1896204469044074,0.033818522363114265,1.2301347238789278e-26
female,Inferred from name,484,0.6517236866844947,0.034420502264714985,0.00926746249774888,0.017750143536850175,0.5839282141780109
all,Neutral (N=0),486,0.6554897287784197,0.032361278192936514,0.0,0.0,
all,Declared,486,0.6865717445538257,0.03438394497284778,0.03108201577540595,0.017282083762857156,0.06558786767138813
all,Steered N=2,486,0.392281066653296,0.01939062381267485,-0.2632086621251237,0.027406806109184553,1.3165998560282127e-53
all,Inferred from name,484,0.667337948061967,0.03385435161414519,0.011834531848706763,0.01726834972977181,0.8287275516109642
