qkey,attribute,channel,class_label,magnitude,n_names,response_distribution
CARRYGUN_W26,gender,inferred,male,,20,"[1.158e-05, 4.3e-07, 3.3e-07, 0.99998766]"
CARRYGUN_W26,gender,inferred,female,,20,"[1.707e-05, 4.7e-07, 3.2e-07, 0.99998213]"
GROWUPGUN2A_W26,gender,inferred,male,,20,"[0.98619704, 0.01380297]"
GROWUPGUN2A_W26,gender,inferred,female,,20,"[0.98880073, 0.01119927]"
GROWUPGUN2B_W26,gender,inferred,male,,20,"[0.99205243, 0.00794757]"
GROWUPGUN2B_W26,gender,inferred,female,,20,"[0.98126217, 0.01873784]"
GROWUPGUN2C_W26,gender,inferred,male,,20,"[0.99128386, 0.00871615]"
GROWUPGUN2C_W26,gender,inferred,female,,20,"[0.99312666, 0.00687335]"
GROWUPGUN4_W26,gender,inferred,male,,20,"[8.4e-06, 0.99903678, 0.00094939, 5.43e-06]"
GROWUPGUN4_W26,gender,inferred,female,,20,"[9.47e-06, 0.99840256, 0.00158221, 5.77e-06]"
GROWUPGUN6_W26,gender,inferred,male,,20,"[0.00631156, 8.27e-05, 0.13394894, 0.85965681]"
GROWUPGUN6_W26,gender,inferred,female,,20,"[0.00136386, 1.238e-05, 0.06114723, 0.9374765]"
GROWUPGUN7_W26,gender,inferred,male,,20,"[0.01990045, 0.00061845, 0.18914606, 0.79033503]"
GROWUPGUN7_W26,gender,inferred,female,,20,"[0.0028827, 2.358e-05, 0.06303665, 0.93405706]"
GROWUPVIOL_W26,gender,inferred,male,,20,"[0.9344422, 0.06552295, 1.074e-05, 2.41e-05]"
GROWUPVIOL_W26,gender,inferred,female,,20,"[0.85757626, 0.14234268, 4.384e-05, 3.723e-05]"
GUNACCESS_W26,gender,inferred,male,,20,"[4.06e-06, 2.4e-07, 1.4e-07, 0.99999555]"
GUNACCESS_W26,gender,inferred,female,,20,"[4.37e-06, 2.3e-07, 1.3e-07, 0.99999527]"
GUNACTIVITYA_W26,gender,inferred,male,,20,"[0.0015854, 0.0002533, 0.8071441, 0.19101719]"
GUNACTIVITYA_W26,gender,inferred,female,,20,"[0.00047518, 1.947e-05, 0.65904476, 0.34046059]"
GUNACTIVITYB_W26,gender,inferred,male,,20,"[0.01398087, 0.03071845, 0.685223, 0.2700777]"
GUNACTIVITYB_W26,gender,inferred,female,,20,"[0.01195113, 0.0041933, 0.58456471, 0.39929086]"
GUNCONTRIBA_W26,gender,inferred,male,,20,"[0.28150475, 0.7184923, 7.2e-07, 2.21e-06]"
GUNCONTRIBA_W26,gender,inferred,female,,20,"[0.50265969, 0.49733768, 6.8e-07, 1.95e-06]"
GUNCONTRIBC_W26,gender,inferred,male,,20,"[2.472e-05, 0.99389821, 0.00607222, 4.86e-06]"
GUNCONTRIBC_W26,gender,inferred,female,,20,"[4.591e-05, 0.99854422, 0.00140595, 3.93e-06]"
GUNCONTRIBE_W26,gender,inferred,male,,20,"[1.14e-06, 6.7e-07, 0.99957801, 0.00042019]"
GUNCONTRIBE_W26,gender,inferred,female,,20,"[1.33e-06, 6.9e-07, 0.99934235, 0.00065562]"
GUNCONTRIBF_W26,gender,inferred,male,,20,"[0.00016379, 0.99983343, 2.51e-06, 2.6e-07]"
GUNCONTRIBF_W26,gender,inferred,female,,20,"[0.00013108, 0.99986413, 4.52e-06, 2.7e-07]"
GUNFRIEND_W26,gender,inferred,male,,20,"[4.256e-05, 9.759e-05, 0.00106086, 0.99879901]"
GUNFRIEND_W26,gender,inferred,female,,20,"[1.966e-05, 1.47e-05, 0.00030483, 0.99966078]"
GUNIDENTITY_W26,gender,inferred,male,,20,"[3.06e-05, 5.79e-06, 0.99920502, 0.00075859]"
GUNIDENTITY_W26,gender,inferred,female,,20,"[3.455e-05, 4.2e-06, 0.9982408, 0.00172047]"
GUNLOADED1_W26,gender,inferred,male,,20,"[9.689e-05, 7.899e-05, 0.99982411]"
GUNLOADED1_W26,gender,inferred,female,,20,"[0.00013002, 5.945e-05, 0.99981052]"
GUNLOADED2_W26,gender,inferred,male,,20,"[0.00064016, 0.99935985]"
GUNLOADED2_W26,gender,inferred,female,,20,"[0.0035246, 0.99647541]"
