qkey,attribute,channel,magnitude,regime,model_class,human_attribute,human_group,own_human_group,is_own_group,wasserstein,available_groups,expected_groups
CARRYGUN_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.027814863000005,2,2
CARRYGUN_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.9073521420735297,2,2
CARRYGUN_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.0278148860000043,2,2
CARRYGUN_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.9073521650735286,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.3818926350000327,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.4083507150000327,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.3818946604999711,2,2
GROWUPGUN2A_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.40835274049997117,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.2977565780000002,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.3675901380000003,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.29775660150000005,2,2
GROWUPGUN2B_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.3675901615000001,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.4768780419997901,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.6025565319997901,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.4768867374998862,2,2
GROWUPGUN2C_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.6025652274998862,2,2
GROWUPGUN4_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.5161992267430604,2,2
GROWUPGUN4_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.5360151867430604,2,2
GROWUPGUN4_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.503896621,2,2
GROWUPGUN4_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.523712581,2,2
GROWUPGUN6_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.0062972475629728,2,2
GROWUPGUN6_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.5960557374999997,2,2
GROWUPGUN6_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.0062972515629733,2,2
GROWUPGUN6_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.5960557415000003,2,2
GROWUPGUN7_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.6533507470335076,2,2
GROWUPGUN7_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.6734314405000001,2,2
GROWUPGUN7_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.6533507480335075,2,2
GROWUPGUN7_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.6734314415000001,2,2
GROWUPVIOL_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.7168246811875894,2,2
GROWUPVIOL_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.7124977311875893,2,2
GROWUPVIOL_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.6767694347046053,2,2
GROWUPVIOL_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.6854435139336756,2,2
GUNACCESS_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.7285640157143591,2,2
GUNACCESS_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,1.4600850330000001,2,2
GUNACCESS_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.72856401521436,2,2
GUNACCESS_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,1.4600850325000008,2,2
GUNACTIVITYA_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.7067413964994792,2,2
GUNACTIVITYA_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.30161960649947916,2,2
GUNACTIVITYA_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.7068558070001032,2,2
GUNACTIVITYA_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.30173401700010316,2,2
GUNACTIVITYB_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.9968465919988097,2,2
GUNACTIVITYB_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.7433529845647131,2,2
GUNACTIVITYB_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.9968572514991946,2,2
GUNACTIVITYB_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.7433636440650981,2,2
GUNCONTRIBA_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.4168101366706105,2,2
GUNCONTRIBA_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,1.078760612497491,2,2
GUNCONTRIBA_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.4169168336760831,2,2
GUNCONTRIBA_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,1.0788673095029635,2,2
GUNCONTRIBC_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.8513186685256183,2,2
GUNCONTRIBC_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.7402404800087208,2,2
GUNCONTRIBC_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.8513892625164468,2,2
GUNCONTRIBC_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.7403110739995492,2,2
GUNCONTRIBE_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.8750370467504365,2,2
GUNCONTRIBE_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,1.1243010379999645,2,2
GUNCONTRIBE_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.8750316207505653,2,2
GUNCONTRIBE_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,1.1242956120000933,2,2
GUNCONTRIBF_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.561144625488719,2,2
GUNCONTRIBF_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.5978882071968888,2,2
GUNCONTRIBF_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.5611938385224474,2,2
GUNCONTRIBF_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.5979374202306172,2,2
GUNFRIEND_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,2.047170333500007,2,2
GUNFRIEND_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,1.8526111735000073,2,2
GUNFRIEND_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,2.047170309000005,2,2
GUNFRIEND_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,1.8526111490000052,2,2
GUNIDENTITY_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.845045333419018,2,2
GUNIDENTITY_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.816336593419018,2,2
GUNIDENTITY_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.0145557681270203,2,2
GUNIDENTITY_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.9824585481270202,2,2
GUNLOADED1_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.5181418841766352,2,2
GUNLOADED1_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.7109519789892369,2,2
GUNLOADED1_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.5163126116934665,2,2
GUNLOADED1_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.7091227065060681,2,2
GUNLOADED2_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.32388948299943426,2,2
GUNLOADED2_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.33182571299943425,2,2
GUNLOADED2_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.3239360059979119,2,2
GUNLOADED2_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.3318722359979119,2,2
GUNLOCKED1_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.6033630417230604,2,2
GUNLOCKED1_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.5004546711513382,2,2
GUNLOCKED1_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.6548010555636286,2,2
GUNLOCKED1_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.5518926849919064,2,2
GUNLOCKED2_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.5729867715001795,2,2
GUNLOCKED2_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.5656739815001796,2,2
GUNLOCKED2_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.572986782000058,2,2
GUNLOCKED2_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.5656739920000581,2,2
GUNRESPKIDSD_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.6067289315025126,2,2
GUNRESPKIDSD_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,1.6254016677573955,2,2
GUNRESPKIDSD_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.6067248680020412,2,2
GUNRESPKIDSD_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,1.625397604256924,2,2
GUNRESPKIDSE_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.1293132990001005,2,2
GUNRESPKIDSE_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.728209706282232,2,2
GUNRESPKIDSE_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.129311879500113,2,2
GUNRESPKIDSE_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.7282082867822441,2,2
GUNRESPNOKIDSA_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.6899834978998575,2,2
GUNRESPNOKIDSA_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.5008009560080321,2,2
GUNRESPNOKIDSA_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.6899833698998551,2,2
GUNRESPNOKIDSA_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.5008008280080297,2,2
GUNRESPNOKIDSB_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.6390080843126452,2,2
GUNRESPNOKIDSB_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.43064770187199586,2,2
GUNRESPNOKIDSB_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.7397776932754822,2,2
GUNRESPNOKIDSB_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.5314173108348328,2,2
GUNRESPNOKIDSC_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,0.46453896300010333,2,2
GUNRESPNOKIDSC_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.35992329659948386,2,2
GUNRESPNOKIDSC_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,0.46454118899998753,2,2
GUNRESPNOKIDSC_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.35992552259936805,2,2
GUNRESPNOKIDSD_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.6573016216493552,2,2
GUNRESPNOKIDSD_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,1.5941651850176166,2,2
GUNRESPNOKIDSD_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.658062283598513,2,2
GUNRESPNOKIDSD_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,1.5949258469667749,2,2
GUNRESPNOKIDSE_W26,gender,inferred,,Inferred from name,male,SEX,Male,Male,True,1.052094694502816,2,2
GUNRESPNOKIDSE_W26,gender,inferred,,Inferred from name,male,SEX,Female,Male,False,0.7438151845028161,2,2
GUNRESPNOKIDSE_W26,gender,inferred,,Inferred from name,female,SEX,Male,Female,False,1.0518995284940593,2,2
GUNRESPNOKIDSE_W26,gender,inferred,,Inferred from name,female,SEX,Female,Female,True,0.7436200184940595,2,2
