qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
CARRYGUN_W26,gender,Male,Female,0.12741612642365374,Q3,inferred,,Inferred from name,Male,male,female,1.027814863000005,1.0278148860000043,-2.2999999238493274e-08
GROWUPGUN2A_W26,gender,Male,Female,0.02645808000000005,Q1,inferred,,Inferred from name,Male,male,female,0.3818926350000327,0.3818946604999711,-2.025499938440589e-06
GROWUPGUN2B_W26,gender,Male,Female,0.06983356000000007,Q2,inferred,,Inferred from name,Male,male,female,0.2977565780000002,0.29775660150000005,-2.3499999834974972e-08
GROWUPGUN2C_W26,gender,Male,Female,0.12567848999999998,Q3,inferred,,Inferred from name,Male,male,female,0.4768780419997901,0.4768867374998862,-8.695500096078668e-06
GROWUPGUN4_W26,gender,Male,Female,0.19573881999999995,Q3,inferred,,Inferred from name,Male,male,female,0.5161992267430604,0.503896621,0.012302605743060413
GROWUPGUN6_W26,gender,Male,Female,0.41024151006297305,Q4,inferred,,Inferred from name,Male,male,female,1.0062972475629728,1.0062972515629733,-4.000000553006089e-09
GROWUPGUN7_W26,gender,Male,Female,0.9799193065335078,Q4,inferred,,Inferred from name,Male,male,female,1.6533507470335076,1.6533507480335075,-9.99999860695766e-10
GROWUPVIOL_W26,gender,Male,Female,0.10525287000000001,Q3,inferred,,Inferred from name,Male,male,female,0.7168246811875894,0.6767694347046053,0.040055246482984086
GUNACCESS_W26,gender,Male,Female,0.26847898271435916,Q4,inferred,,Inferred from name,Male,male,female,1.7285640157143591,1.72856401521436,4.999991531917658e-10
GUNACTIVITYA_W26,gender,Male,Female,0.40512179,Q4,inferred,,Inferred from name,Male,male,female,0.7067413964994792,0.7068558070001032,-0.00011441050062399594
GUNACTIVITYB_W26,gender,Male,Female,0.293537986141301,Q4,inferred,,Inferred from name,Male,male,female,0.9968465919988097,0.9968572514991946,-1.0659500384924137e-05
GUNCONTRIBA_W26,gender,Male,Female,0.3380495241731196,Q4,inferred,,Inferred from name,Male,male,female,1.4168101366706105,1.4169168336760831,-0.0001066970054726113
GUNCONTRIBC_W26,gender,Male,Female,0.32655844454925986,Q4,inferred,,Inferred from name,Male,male,female,0.8513186685256183,0.8513892625164468,-7.059399082842699e-05
GUNCONTRIBE_W26,gender,Male,Female,0.4420735348417624,Q4,inferred,,Inferred from name,Male,male,female,0.8750370467504365,0.8750316207505653,5.425999871189191e-06
GUNCONTRIBF_W26,gender,Male,Female,0.17482951127702093,Q3,inferred,,Inferred from name,Male,male,female,0.561144625488719,0.5611938385224474,-4.9213033728401356e-05
GUNFRIEND_W26,gender,Male,Female,0.19455915999999993,Q3,inferred,,Inferred from name,Male,male,female,2.047170333500007,2.047170309000005,2.450000202713909e-08
GUNIDENTITY_W26,gender,Male,Female,0.11044064000000012,Q3,inferred,,Inferred from name,Male,male,female,0.845045333419018,1.0145557681270203,-0.1695104347080023
GUNLOADED1_W26,gender,Male,Female,0.19281009481260167,Q3,inferred,,Inferred from name,Male,male,female,0.5181418841766352,0.5163126116934665,0.0018292724831686646
GUNLOADED2_W26,gender,Male,Female,0.007936229999999989,Q1,inferred,,Inferred from name,Male,male,female,0.32388948299943426,0.3239360059979119,-4.65229984776272e-05
GUNLOCKED1_W26,gender,Male,Female,0.13664473661173004,Q3,inferred,,Inferred from name,Male,male,female,0.6033630417230604,0.6548010555636286,-0.05143801384056812
GUNLOCKED2_W26,gender,Male,Female,0.0073127900000000134,Q1,inferred,,Inferred from name,Male,male,female,0.5729867715001795,0.572986782000058,-1.0499878522196582e-08
GUNRESPKIDSD_W26,gender,Male,Female,0.049383065098697915,Q2,inferred,,Inferred from name,Male,male,female,1.6067289315025126,1.6067248680020412,4.063500471440662e-06
GUNRESPKIDSE_W26,gender,Male,Female,0.4011035927178682,Q4,inferred,,Inferred from name,Male,male,female,1.1293132990001005,1.129311879500113,1.4194999875538628e-06
GUNRESPNOKIDSA_W26,gender,Male,Female,0.20231650202316498,Q4,inferred,,Inferred from name,Male,male,female,0.6899834978998575,0.6899833698998551,1.280000023751171e-07
GUNRESPNOKIDSB_W26,gender,Male,Female,0.20836038244064875,Q4,inferred,,Inferred from name,Male,male,female,0.6390080843126452,0.7397776932754822,-0.10076960896283693
GUNRESPNOKIDSC_W26,gender,Male,Female,0.13126636676495096,Q3,inferred,,Inferred from name,Male,male,female,0.46453896300010333,0.46454118899998753,-2.2259998841978046e-06
GUNRESPNOKIDSD_W26,gender,Male,Female,0.09794651307353333,Q2,inferred,,Inferred from name,Male,male,female,1.6573016216493552,1.658062283598513,-0.0007606619491578037
GUNRESPNOKIDSE_W26,gender,Male,Female,0.39602702999999995,Q4,inferred,,Inferred from name,Male,male,female,1.052094694502816,1.0518995284940593,0.00019516600875668644
GUNRESPNOKIDSF_W26,gender,Male,Female,0.3287998575984771,Q4,inferred,,Inferred from name,Male,male,female,1.0886431525000484,1.088641058000094,2.0944999543637266e-06
GUNSAFETYKIDS_W26,gender,Male,Female,0.06337907499999995,Q2,inferred,,Inferred from name,Male,male,female,0.49633954625021937,0.4962919139987458,4.763225147358385e-05
GUNSAFE_W26,gender,Male,Female,0.058513780000000015,Q2,inferred,,Inferred from name,Male,male,female,0.34990937478714934,0.37394744850109224,-0.024038073713942898
