class_label,regime,n,mean_wasserstein,wasserstein_ci95,mean_delta_vs_neutral,delta_ci95,paired_wilcoxon_p
male,Neutral (N=0),484,0.75402397246904,0.03718702266219097,0.0,0.0,
male,Declared,484,0.7593524071117924,0.04036901583356751,0.005328434642752417,0.02385460991109227,0.5947378357406355
male,Steered N=20,484,0.6890678290919642,0.036816753077208636,-0.06495614337707586,0.01956486276495734,1.3332251416683226e-35
male,Inferred from name,484,0.756450392720058,0.04181768978807904,0.002426420251018007,0.02253605641123261,0.36728621416221285
female,Neutral (N=0),486,0.7165821951743238,0.03671655443136858,0.0,0.0,
female,Declared,486,0.7084404642424816,0.038056094867771104,-0.00814173093184235,0.023817593390568152,0.17560957035747982
female,Steered N=20,486,0.6643715541104998,0.032534987685841524,-0.052210641063824,0.021638767632206613,2.1880950665529423e-17
female,Inferred from name,484,0.7151472594361089,0.04045852571200922,0.0012386029085378768,0.022766861955453865,0.33775446078422877
all,Neutral (N=0),486,0.7365573113427095,0.03617542797707146,0.0,0.0,
all,Declared,486,0.7343530065165558,0.03780323148572673,-0.0022043048261538556,0.02241465537014732,0.042216393947231715
all,Steered N=20,486,0.6773887585928309,0.03192310201013289,-0.0591685527498787,0.016882937071154566,1.6385213119832096e-31
all,Inferred from name,484,0.7357988260780834,0.040374369311477906,0.00183251157977794,0.022326158824116135,0.20384395628858099
