qkey,attribute,channel,class_label,magnitude,n_names,response_distribution
CARRYGUN_W26,gender,inferred,male,,20,"[1e-08, 1e-08, 2.5e-07, 0.99999975]"
CARRYGUN_W26,gender,inferred,female,,20,"[1e-08, 1e-08, 2.3e-07, 0.99999977]"
GROWUPGUN2A_W26,gender,inferred,male,,20,"[0.99999592, 4.09e-06]"
GROWUPGUN2A_W26,gender,inferred,female,,20,"[0.99999793, 2.06e-06]"
GROWUPGUN2B_W26,gender,inferred,male,,20,"[0.99999991, 9e-08]"
GROWUPGUN2B_W26,gender,inferred,female,,20,"[0.99999993, 7e-08]"
GROWUPGUN2C_W26,gender,inferred,male,,20,"[0.99995335, 4.665e-05]"
GROWUPGUN2C_W26,gender,inferred,female,,20,"[0.99996204, 3.795e-05]"
GROWUPGUN4_W26,gender,inferred,male,,20,"[0.00160255, 0.97764182, 0.02074003, 1.56e-05]"
GROWUPGUN4_W26,gender,inferred,female,,20,"[0.00022747, 0.96533892, 0.03441771, 1.59e-05]"
GROWUPGUN6_W26,gender,inferred,male,,20,"[0.0, 0.0, 6e-08, 0.99999993]"
GROWUPGUN6_W26,gender,inferred,female,,20,"[0.0, 0.0, 6e-08, 0.99999995]"
GROWUPGUN7_W26,gender,inferred,male,,20,"[0.0, 0.0, 1e-08, 1.0]"
GROWUPGUN7_W26,gender,inferred,female,,20,"[0.0, 0.0, 1e-08, 1.0]"
GROWUPVIOL_W26,gender,inferred,male,,20,"[0.03329208, 0.0082854, 0.95518939, 0.00323312]"
GROWUPVIOL_W26,gender,inferred,female,,20,"[0.04581407, 0.02439082, 0.92765615, 0.00213896]"
GUNACCESS_W26,gender,inferred,male,,20,"[0.0, 0.0, 6e-08, 0.99999994]"
GUNACCESS_W26,gender,inferred,female,,20,"[0.0, 1e-08, 6e-08, 0.99999995]"
GUNACTIVITYA_W26,gender,inferred,male,,20,"[0.0, 7e-08, 0.00014863, 0.99985129]"
GUNACTIVITYA_W26,gender,inferred,female,,20,"[0.0, 4e-08, 3.43e-05, 0.99996566]"
GUNACTIVITYB_W26,gender,inferred,male,,20,"[0.0, 7e-08, 5.653e-05, 0.99994338]"
GUNACTIVITYB_W26,gender,inferred,female,,20,"[0.0, 6e-08, 4.59e-05, 0.99995402]"
GUNCONTRIBA_W26,gender,inferred,male,,20,"[0.99949818, 0.00050182, 0.0, 0.0]"
GUNCONTRIBA_W26,gender,inferred,female,,20,"[0.99960489, 0.00039512, 0.0, 0.0]"
GUNCONTRIBC_W26,gender,inferred,male,,20,"[1.79e-06, 0.99962895, 0.00036926, 2e-08]"
GUNCONTRIBC_W26,gender,inferred,female,,20,"[1.66e-06, 0.99969952, 0.0002988, 2e-08]"
GUNCONTRIBE_W26,gender,inferred,male,,20,"[0.0, 1.46e-06, 0.99998985, 8.68e-06]"
GUNCONTRIBE_W26,gender,inferred,female,,20,"[0.0, 2.04e-06, 0.99998444, 1.352e-05]"
GUNCONTRIBF_W26,gender,inferred,male,,20,"[0.00589208, 0.99410795, 0.0, 0.0]"
GUNCONTRIBF_W26,gender,inferred,female,,20,"[0.00584286, 0.99415717, 1e-08, 0.0]"
GUNFRIEND_W26,gender,inferred,male,,20,"[1e-08, 3e-08, 1.1e-07, 0.99999988]"
GUNFRIEND_W26,gender,inferred,female,,20,"[1e-08, 4e-08, 1.2e-07, 0.99999985]"
GUNIDENTITY_W26,gender,inferred,male,,20,"[1.3e-07, 2.635e-05, 0.89436704, 0.10560648]"
GUNIDENTITY_W26,gender,inferred,female,,20,"[1.3e-07, 1.38e-05, 0.52537608, 0.47460999]"
GUNLOADED1_W26,gender,inferred,male,,20,"[8.9e-07, 0.99940203, 0.00059706]"
GUNLOADED1_W26,gender,inferred,female,,20,"[1.25e-06, 0.99757278, 0.00242598]"
GUNLOADED2_W26,gender,inferred,male,,20,"[0.00014144, 0.99985856]"
GUNLOADED2_W26,gender,inferred,female,,20,"[9.491e-05, 0.99990506]"
GUNLOCKED1_W26,gender,inferred,male,,20,"[0.66134274, 0.33784978, 0.00080748]"
GUNLOCKED1_W26,gender,inferred,female,,20,"[0.71298842, 0.28599644, 0.00101514]"
GUNLOCKED2_W26,gender,inferred,male,,20,"[0.99998946, 1.056e-05]"
GUNLOCKED2_W26,gender,inferred,female,,20,"[0.99998946, 1.055e-05]"
GUNRESPKIDSD_W26,gender,inferred,male,,20,"[0.99991344, 8.657e-05, 0.0, 2e-08]"
GUNRESPKIDSD_W26,gender,inferred,female,,20,"[0.99990936, 9.064e-05, 0.0, 2e-08]"
GUNRESPKIDSE_W26,gender,inferred,male,,20,"[0.99999657, 3.46e-06, 0.0, 0.0]"
GUNRESPKIDSE_W26,gender,inferred,female,,20,"[0.99999514, 4.88e-06, 0.0, 0.0]"
GUNRESPNOKIDSA_W26,gender,inferred,male,,20,"[0.99999946, 5.7e-07, 0.0, 0.0]"
GUNRESPNOKIDSA_W26,gender,inferred,female,,20,"[0.99999932, 7e-07, 0.0, 0.0]"
GUNRESPNOKIDSB_W26,gender,inferred,male,,20,"[0.67471271, 0.3252873, 1e-08, 3e-08]"
GUNRESPNOKIDSB_W26,gender,inferred,female,,20,"[0.77548229, 0.22451767, 1e-08, 3e-08]"
GUNRESPNOKIDSC_W26,gender,inferred,male,,20,"[0.99998526, 1.475e-05, 0.0, 0.0]"
GUNRESPNOKIDSC_W26,gender,inferred,female,,20,"[0.99998748, 1.252e-05, 0.0, 0.0]"
GUNRESPNOKIDSD_W26,gender,inferred,male,,20,"[0.9941279, 0.00587205, 0.0, 6e-08]"
GUNRESPNOKIDSD_W26,gender,inferred,female,,20,"[0.99488853, 0.00511141, 0.0, 5e-08]"
GUNRESPNOKIDSE_W26,gender,inferred,male,,20,"[0.99975518, 0.00024481, 0.0, 3e-08]"
GUNRESPNOKIDSE_W26,gender,inferred,female,,20,"[0.99956, 0.00043996, 0.0, 3e-08]"
GUNRESPNOKIDSF_W26,gender,inferred,male,,20,"[0.99999562, 4.39e-06, 0.0, 0.0]"
GUNRESPNOKIDSF_W26,gender,inferred,female,,20,"[0.99999353, 6.48e-06, 0.0, 0.0]"
GUNSAFETYKIDS_W26,gender,inferred,male,,20,"[5.51e-06, 1.59e-05, 0.99997861]"
GUNSAFETYKIDS_W26,gender,inferred,female,,20,"[5.878e-05, 5.789e-05, 0.99988331]"
GUNSAFE_W26,gender,inferred,male,,20,"[0.04881103, 0.00072137, 0.9504676]"
GUNSAFE_W26,gender,inferred,female,,20,"[0.00097087, 0.00048539, 0.99854375]"
GUNTYPEOWNC_W26,gender,inferred,male,,20,"[0.0, 0.0, 1.0]"
GUNTYPEOWNC_W26,gender,inferred,female,,20,"[0.0, 0.0, 1.0]"
IMPREASONGUN_W26,gender,inferred,male,,20,"[0.99999532, 3e-08, 4e-08, 3e-08, 4.63e-06]"
IMPREASONGUN_W26,gender,inferred,female,,20,"[0.99999679, 3e-08, 4e-08, 3e-08, 3.15e-06]"
NOCARRYGUN_W26,gender,inferred,male,,20,"[0.00370189, 0.99629814]"
NOCARRYGUN_W26,gender,inferred,female,,20,"[0.00634522, 0.9936548]"
REASONGUNA_W26,gender,inferred,male,,20,"[0.99999869, 1.06e-06, 2.3e-07]"
REASONGUNA_W26,gender,inferred,female,,20,"[0.99999816, 1.6e-06, 2.3e-07]"
REASONGUNB_W26,gender,inferred,male,,20,"[0.31056855, 0.49760016, 0.19183128]"
REASONGUNB_W26,gender,inferred,female,,20,"[0.3025819, 0.59513234, 0.10228575]"
REASONGUNC_W26,gender,inferred,male,,20,"[0.00887072, 0.9817802, 0.00934909]"
