qkey,attribute,channel,magnitude,regime,model_class,human_attribute,human_group,own_human_group,is_own_group,wasserstein,available_groups,expected_groups
CARRYGUN_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.5680576078519641,2,2
CARRYGUN_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.856151067851964,2,2
CARRYGUN_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.5624528771151791,2,2
CARRYGUN_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.8434617669009221,2,2
GROWUPGUN2A_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.06740214049850912,2,2
GROWUPGUN2A_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.03029176950149093,2,2
GROWUPGUN2A_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.0037131643590863073,2,2
GROWUPGUN2A_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.10140707435908636,2,2
GROWUPGUN2B_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.29276666680103913,2,2
GROWUPGUN2B_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.3011574368010391,2,2
GROWUPGUN2B_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.3157600214959222,2,2
GROWUPGUN2B_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.3241507914959222,2,2
GROWUPGUN2C_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.3547621989233646,2,2
GROWUPGUN2C_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.3743457689233646,2,2
GROWUPGUN2C_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.4706621149301845,2,2
GROWUPGUN2C_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.4902456849301845,2,2
GROWUPGUN4_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.9707589919999999,2,2
GROWUPGUN4_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.9836986520000001,2,2
GROWUPGUN4_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,1.0362593956187958,2,2
GROWUPGUN4_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,1.0491990556187956,2,2
GROWUPGUN6_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.6084988301529604,2,2
GROWUPGUN6_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.6558893682510536,2,2
GROWUPGUN6_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.49133248644339533,2,2
GROWUPGUN6_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.5576378235468955,2,2
GROWUPGUN7_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.6988842479999999,2,2
GROWUPGUN7_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.8738470761030539,2,2
GROWUPGUN7_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.373391998,2,2
GROWUPGUN7_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.48125294939576935,2,2
GROWUPVIOL_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.3258988134327806,2,2
GROWUPVIOL_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.3376953642349067,2,2
GROWUPVIOL_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.45984655075390113,2,2
GROWUPVIOL_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.7822734562903773,2,2
GUNACCESS_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,1.0597699172896085,2,2
GUNACCESS_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,1.306270895018907,2,2
GUNACCESS_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,1.0781401486728681,2,2
GUNACCESS_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,1.3246411264021667,2,2
GUNACTIVITYA_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,1.1916192391485938,2,2
GUNACTIVITYA_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,1.2083554235289906,2,2
GUNACTIVITYA_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,1.6572390215519408,2,2
GUNACTIVITYA_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,1.6739752059323378,2,2
GUNACTIVITYB_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.42170223598188794,2,2
GUNACTIVITYB_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.3664620155232775,2,2
GUNACTIVITYB_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.5640979018709757,2,2
GUNACTIVITYB_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.7678587134077504,2,2
GUNCONTRIBA_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.6122006685464784,2,2
GUNCONTRIBA_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.47267911077808084,2,2
GUNCONTRIBA_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.5151734437683975,2,2
GUNCONTRIBA_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.37565188599999993,2,2
GUNCONTRIBC_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.26889160588695094,2,2
GUNCONTRIBC_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.37345726894827747,2,2
GUNCONTRIBC_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.2857728719544759,2,2
GUNCONTRIBC_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.34698725884239734,2,2
GUNCONTRIBE_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.8823542758020247,2,2
GUNCONTRIBE_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.585723535802025,2,2
GUNCONTRIBE_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.8599044664719667,2,2
GUNCONTRIBE_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.5632737264719669,2,2
GUNCONTRIBF_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.7978003354333469,2,2
GUNCONTRIBF_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.806413345182935,2,2
GUNCONTRIBF_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.6258347303435604,2,2
GUNCONTRIBF_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.6344477400931485,2,2
GUNFRIEND_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.8496834470348694,2,2
GUNFRIEND_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.8456621057445657,2,2
GUNFRIEND_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.7451374191694632,2,2
GUNFRIEND_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.7170806937472249,2,2
GUNIDENTITY_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,1.2552656492367604,2,2
GUNIDENTITY_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,1.1058422392367602,2,2
GUNIDENTITY_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,1.0328565359597104,2,2
GUNIDENTITY_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.8834331259597102,2,2
GUNLOADED1_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.22788359599253505,2,2
GUNLOADED1_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.25986063599253506,2,2
GUNLOADED1_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.22409420429222665,2,2
GUNLOADED1_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.25607124429222666,2,2
GUNLOADED2_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.3648951549054122,2,2
GUNLOADED2_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.5049928549054121,2,2
GUNLOADED2_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.4007241018104814,2,2
GUNLOADED2_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.5408218018104813,2,2
GUNLOCKED1_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.39786054673178106,2,2
GUNLOCKED1_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.40373430673178107,2,2
GUNLOCKED1_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.2815848652616245,2,2
GUNLOCKED1_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.2874586252616245,2,2
GUNLOCKED2_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.3294678761598017,2,2
GUNLOCKED2_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.19296993615980174,2,2
GUNLOCKED2_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.34809707881473057,2,2
GUNLOCKED2_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.21159913881473058,2,2
GUNRESPKIDSD_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.42785322498828293,2,2
GUNRESPKIDSD_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.6311647356765052,2,2
GUNRESPKIDSD_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.3445121707244216,2,2
GUNRESPKIDSD_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.4842875056185332,2,2
GUNRESPKIDSE_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.3496231457049057,2,2
GUNRESPKIDSE_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.29330981290029357,2,2
GUNRESPKIDSE_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.33354548449495625,2,2
GUNRESPKIDSE_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.197112915971129,2,2
GUNRESPNOKIDSA_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.509346608811215,2,2
GUNRESPNOKIDSA_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.519191853392,2,2
GUNRESPNOKIDSA_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.6072385818658611,2,2
GUNRESPNOKIDSA_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.6170838264466462,2,2
GUNRESPNOKIDSB_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.5749486510977802,2,2
GUNRESPNOKIDSB_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.6077170514254644,2,2
GUNRESPNOKIDSB_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.64685101360373,2,2
GUNRESPNOKIDSB_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.6796194139314142,2,2
GUNRESPNOKIDSC_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.7992241834355209,2,2
GUNRESPNOKIDSC_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.9367438448107174,2,2
GUNRESPNOKIDSC_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.8319062725938658,2,2
GUNRESPNOKIDSC_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.9694259339690623,2,2
GUNRESPNOKIDSD_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.3323103784693989,2,2
GUNRESPNOKIDSD_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.4672519136667252,2,2
GUNRESPNOKIDSD_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.250597701742994,2,2
GUNRESPNOKIDSD_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.32302052503853446,2,2
GUNRESPNOKIDSE_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.10904379428265881,2,2
GUNRESPNOKIDSE_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.2246172231322099,2,2
GUNRESPNOKIDSE_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.17905970643384134,2,2
GUNRESPNOKIDSE_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.40860785643384145,2,2
GUNRESPNOKIDSF_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.2980116248432675,2,2
GUNRESPNOKIDSF_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.3106989091642092,2,2
GUNRESPNOKIDSF_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.3322085789858888,2,2
GUNRESPNOKIDSF_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.31382112244238836,2,2
GUNSAFETYKIDS_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.10178155872681788,2,2
GUNSAFETYKIDS_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.08356510872681794,2,2
GUNSAFETYKIDS_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.2212111042050494,2,2
GUNSAFETYKIDS_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.20299465420504947,2,2
GUNSAFE_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.0955903428196711,2,2
GUNSAFE_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.07020404973033623,2,2
GUNSAFE_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.04708081557447785,2,2
GUNSAFE_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.0577656434640465,2,2
GUNTYPEOWNC_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.07734229831147588,2,2
GUNTYPEOWNC_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.4516559905165598,2,2
GUNTYPEOWNC_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.11977331427225596,2,2
GUNTYPEOWNC_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.25454037793282797,2,2
NOCARRYGUN_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.22443010445427503,2,2
NOCARRYGUN_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.23631335445427504,2,2
NOCARRYGUN_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.24166667363732597,2,2
NOCARRYGUN_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.253549923637326,2,2
REASONGUNA_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,1.0275780421020098,2,2
REASONGUNA_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.8663597821020097,2,2
REASONGUNA_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.8860923080497036,2,2
REASONGUNA_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.7248740480497036,2,2
REASONGUNB_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.7368264664149351,2,2
REASONGUNB_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.6063035972369777,2,2
REASONGUNB_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.6633357987175897,2,2
REASONGUNB_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.5328129295396323,2,2
REASONGUNC_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.6333256017656689,2,2
REASONGUNC_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.7959796423956382,2,2
REASONGUNC_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.5651699577282825,2,2
REASONGUNC_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.7278239983582518,2,2
REASONGUND_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.2366203751689202,2,2
REASONGUND_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.1038257251689203,2,2
REASONGUND_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.2829120419929347,2,2
REASONGUND_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.15011739199293478,2,2
REASONGUNE_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.27857688864414015,2,2
