qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
CARRYGUN_W26,socioeco,"Less than $30,000","$100,000 or more",0.2880934599999999,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.5680576078519641,0.5624528771151791,0.005604730736785024
GROWUPGUN2A_W26,socioeco,"Less than $30,000","$100,000 or more",0.09769391000000005,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.06740214049850912,0.0037131643590863073,0.06368897613942281
GROWUPGUN2B_W26,socioeco,"Less than $30,000","$100,000 or more",0.008390769999999992,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.29276666680103913,0.3157600214959222,-0.02299335469488306
GROWUPGUN2C_W26,socioeco,"Less than $30,000","$100,000 or more",0.019583569999999995,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.3547621989233646,0.4706621149301845,-0.11589991600681993
GROWUPGUN4_W26,socioeco,"Less than $30,000","$100,000 or more",0.012939660000000047,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.9707589919999999,1.0362593956187958,-0.06550040361879583
GROWUPGUN6_W26,socioeco,"Less than $30,000","$100,000 or more",0.06630533710350016,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6084988301529604,0.49133248644339533,0.11716634370956502
GROWUPGUN7_W26,socioeco,"Less than $30,000","$100,000 or more",0.17496282810305397,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6988842479999999,0.373391998,0.3254922499999999
GROWUPVIOL_W26,socioeco,"Less than $30,000","$100,000 or more",0.34762645000000003,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.3258988134327806,0.45984655075390113,-0.13394773732112053
GUNACCESS_W26,socioeco,"Less than $30,000","$100,000 or more",0.2689714254613356,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.0597699172896085,1.0781401486728681,-0.01837023138325966
GUNACTIVITYA_W26,socioeco,"Less than $30,000","$100,000 or more",0.02500299860760772,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.1916192391485938,1.6572390215519408,-0.465619782403347
GUNACTIVITYB_W26,socioeco,"Less than $30,000","$100,000 or more",0.238170670976464,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.42170223598188794,0.5640979018709757,-0.1423956658890878
GUNCONTRIBA_W26,socioeco,"Less than $30,000","$100,000 or more",0.1395215577683978,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6122006685464784,0.5151734437683975,0.0970272247780809
GUNCONTRIBC_W26,socioeco,"Less than $30,000","$100,000 or more",0.251734842193157,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.26889160588695094,0.2857728719544759,-0.01688126606752499
GUNCONTRIBE_W26,socioeco,"Less than $30,000","$100,000 or more",0.2966307399999998,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.8823542758020247,0.8599044664719667,0.022449809330058024
GUNCONTRIBF_W26,socioeco,"Less than $30,000","$100,000 or more",0.06634947534984631,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7978003354333469,0.6258347303435604,0.17196560508978653
GUNFRIEND_W26,socioeco,"Less than $30,000","$100,000 or more",0.02805672542223825,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.8496834470348694,0.7451374191694632,0.10454602786540623
GUNIDENTITY_W26,socioeco,"Less than $30,000","$100,000 or more",0.14942341000000026,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.2552656492367604,1.0328565359597104,0.22240911327705004
GUNLOADED1_W26,socioeco,"Less than $30,000","$100,000 or more",0.06113508000000001,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.22788359599253505,0.22409420429222665,0.0037893917003083977
GUNLOADED2_W26,socioeco,"Less than $30,000","$100,000 or more",0.1400977,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.3648951549054122,0.4007241018104814,-0.035828946905069214
GUNLOCKED1_W26,socioeco,"Less than $30,000","$100,000 or more",0.005873760000000006,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.39786054673178106,0.2815848652616245,0.11627568147015654
GUNLOCKED2_W26,socioeco,"Less than $30,000","$100,000 or more",0.13649793999999998,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.3294678761598017,0.34809707881473057,-0.018629202654928845
GUNRESPKIDSD_W26,socioeco,"Less than $30,000","$100,000 or more",0.31453171285008275,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.42785322498828293,0.3445121707244216,0.08334105426386135
GUNRESPKIDSE_W26,socioeco,"Less than $30,000","$100,000 or more",0.237899100191574,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.3496231457049057,0.33354548449495625,0.016077661209949468
GUNRESPNOKIDSA_W26,socioeco,"Less than $30,000","$100,000 or more",0.020608745304618203,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.509346608811215,0.6072385818658611,-0.09789197305464614
