class_label,regime,n,mean_wasserstein,wasserstein_ci95,mean_delta_vs_neutral,delta_ci95,paired_wilcoxon_p
low,Neutral (N=0),486,0.618584184600955,0.03532602329375876,0.0,0.0,
low,Declared,486,0.620407938869678,0.03431454934995184,0.0018237542687230715,0.033720478335455224,0.8150731691187479
low,Steered N=20,486,0.6866021357007577,0.04136296761990399,0.06801795109980285,0.047917870612671255,8.555171839638776e-05
low,Inferred from occupation,486,0.6421615746809513,0.03527728908386187,0.02357739007999637,0.026814875874428053,0.03329202054954368
high,Neutral (N=0),486,0.6206304673445958,0.03538843916034601,0.0,0.0,
high,Declared,486,0.6214000778123324,0.034038640414311684,0.0007696104677366444,0.029417564564242868,0.8329139126777299
high,Steered N=20,486,0.44111977272204755,0.027056538533292148,-0.17951069462254832,0.03766618008972975,9.39412657387778e-20
high,Inferred from occupation,486,0.6097801403486638,0.034715347973171065,-0.010850326995932061,0.02608240620019082,0.8820761131378215
all,Neutral (N=0),486,0.6196073259727752,0.034111470155975744,0.0,0.0,
all,Declared,486,0.6209040083410053,0.031369102318596735,0.0012966823682298572,0.02861690275557902,0.8341736671964775
all,Steered N=20,486,0.5638609542114026,0.028840982154633786,-0.055746371761372725,0.037212016540631804,0.09891884361721921
all,Inferred from occupation,486,0.6259708575148076,0.03327685072078984,0.006363531542032153,0.024119867190944173,0.1268913644703048
