qkey,attribute,channel,class_label,magnitude,n_occupations,response_distribution
CARRYGUN_W26,socioeco,inferred,low,,5,"[0.07023214, 0.02314777, 0.08867768, 0.81794239]"
CARRYGUN_W26,socioeco,inferred,high,,5,"[0.08035755, 0.02526721, 0.06675189, 0.82762338]"
GROWUPGUN2A_W26,socioeco,inferred,low,,5,"[0.58358182, 0.41641818]"
GROWUPGUN2A_W26,socioeco,inferred,high,,5,"[0.65469714, 0.34530289]"
GROWUPGUN2B_W26,socioeco,inferred,low,,5,"[0.94550176, 0.05449822]"
GROWUPGUN2B_W26,socioeco,inferred,high,,5,"[0.96849512, 0.03150487]"
GROWUPGUN2C_W26,socioeco,inferred,low,,5,"[0.83759087, 0.16240914]"
GROWUPGUN2C_W26,socioeco,inferred,high,,5,"[0.95349079, 0.04650923]"
GROWUPGUN4_W26,socioeco,inferred,low,,5,"[0.87047824, 0.01074165, 0.03127971, 0.0875004]"
GROWUPGUN4_W26,socioeco,inferred,high,,5,"[0.9270633, 0.01092765, 0.02236437, 0.03964467]"
GROWUPGUN6_W26,socioeco,inferred,low,,5,"[0.03659558, 0.01152806, 0.02107711, 0.93079923]"
GROWUPGUN6_W26,socioeco,inferred,high,,5,"[0.09094581, 0.01718859, 0.02738923, 0.8644764]"
GROWUPGUN7_W26,socioeco,inferred,low,,5,"[0.07639274, 0.01266813, 0.06133308, 0.84960606]"
GROWUPGUN7_W26,socioeco,inferred,high,,5,"[0.22253961, 0.01629639, 0.12403774, 0.63712626]"
GROWUPVIOL_W26,socioeco,inferred,low,,5,"[0.19460731, 0.00592421, 0.07715395, 0.72231453]"
GROWUPVIOL_W26,socioeco,inferred,high,,5,"[0.36364665, 0.00638988, 0.07470605, 0.55525746]"
GUNACCESS_W26,socioeco,inferred,low,,5,"[0.06890083, 0.03138718, 0.16103782, 0.73867421]"
GUNACCESS_W26,socioeco,inferred,high,,5,"[0.06635549, 0.02980929, 0.15345941, 0.75037583]"
GUNACTIVITYA_W26,socioeco,inferred,low,,5,"[0.50881383, 0.03414407, 0.05166538, 0.40537667]"
GUNACTIVITYA_W26,socioeco,inferred,high,,5,"[0.66206715, 0.03697731, 0.05185881, 0.24909673]"
GUNACTIVITYB_W26,socioeco,inferred,low,,5,"[0.21646717, 0.04417294, 0.06167202, 0.67768789]"
GUNACTIVITYB_W26,socioeco,inferred,high,,5,"[0.42443007, 0.05615504, 0.04644138, 0.47297352]"
GUNCONTRIBA_W26,socioeco,inferred,low,,5,"[0.35982089, 0.05204594, 0.1470468, 0.44108637]"
GUNCONTRIBA_W26,socioeco,inferred,high,,5,"[0.44599945, 0.05221989, 0.15754755, 0.3442331]"
GUNCONTRIBC_W26,socioeco,inferred,low,,5,"[0.32965574, 0.06178059, 0.41573384, 0.19282983]"
