position,income_group,comparison,n_cases,mean_socioeco_strength,mean_other_strength,mean_difference,fraction_socioeco_stronger,p_value_one_sided
after_occupation,low,socioeco vs education,5,0.15448400956097563,0.16577840229268292,-0.011294392731707303,0.2,0.78125
after_occupation,low,socioeco vs gender,5,0.15448400956097563,0.2158168671219512,-0.061332857560975604,0.0,1.0
after_occupation,low,socioeco vs age,5,0.15448400956097563,0.1512146487804878,0.003269360780487812,0.4,0.5
final_prompt,low,socioeco vs education,2470,0.13306280667887826,0.11117648606270367,0.02188632061617458,0.8190283400809717,4.73778961866488e-267
final_prompt,low,socioeco vs gender,2470,0.13306280667887826,0.26050933442756985,-0.1274465277486916,0.0004048582995951417,1.0
final_prompt,low,socioeco vs age,2470,0.13306280667887826,0.13943419724528489,-0.006371390566406636,0.39838056680161943,1.0
after_occupation,high,socioeco vs education,5,0.1432696173658537,0.15131884404878054,-0.008049226682926838,0.2,0.84375
after_occupation,high,socioeco vs gender,5,0.1432696173658537,0.2233458430243902,-0.08007622565853655,0.0,1.0
after_occupation,high,socioeco vs age,5,0.1432696173658537,0.17925346419512195,-0.03598384682926827,0.0,1.0
final_prompt,high,socioeco vs education,2470,0.12943782193808628,0.12117355907672558,0.008264262861360719,0.6623481781376518,4.9948378193503385e-71
final_prompt,high,socioeco vs gender,2470,0.12943782193808628,0.2609110434709193,-0.13147322153283303,0.0,1.0
final_prompt,high,socioeco vs age,2470,0.12943782193808628,0.14807180298637304,-0.018633981048286757,0.19068825910931175,1.0
