position,attribute,layer,n,mean_activation_strength,mean_normalized_confidence,socioeco_accuracy
after_occupation,age,0,10,0.00059938,0.25044954,
after_occupation,age,1,10,0.005161977,0.25387148299999995,
after_occupation,age,2,10,0.00882946,0.256622095,
after_occupation,age,3,10,0.013463211999999999,0.26009740800000003,
after_occupation,age,4,10,0.021241368,0.265931024,
after_occupation,age,5,10,0.022240173000000002,0.26668013,
after_occupation,age,6,10,0.023879409999999997,0.267909557,
after_occupation,age,7,10,0.028487956,0.271365969,
after_occupation,age,8,10,0.026824938,0.270118706,
after_occupation,age,9,10,0.083711349,0.312783512,
after_occupation,age,10,10,0.07757916,0.30818437000000004,
after_occupation,age,11,10,0.09111362099999999,0.318335218,
after_occupation,age,12,10,0.11934906299999999,0.339511797,
after_occupation,age,13,10,0.142801229,0.357100922,
after_occupation,age,14,10,0.193903824,0.39542786799999996,
after_occupation,age,15,10,0.262002953,0.446502216,
after_occupation,age,16,10,0.24668706999999998,0.43501530399999994,
after_occupation,age,17,10,0.19498123799999997,0.39623592799999996,
after_occupation,age,18,10,0.21409443599999997,0.41057082899999997,
after_occupation,age,19,10,0.262140414,0.446605309,
after_occupation,age,20,10,0.278939355,0.45920451600000006,
after_occupation,age,21,10,0.299175399,0.47438154799999993,
after_occupation,age,22,10,0.285899186,0.46442438900000005,
after_occupation,age,23,10,0.320930724,0.4906980430000001,
after_occupation,age,24,10,0.259771194,0.44482839400000007,
after_occupation,age,25,10,0.251613012,0.43870976000000006,
after_occupation,age,26,10,0.279602857,0.459702143,
after_occupation,age,27,10,0.17777811300000002,0.38333358500000003,
after_occupation,age,28,10,0.20211373500000002,0.4015853020000001,
after_occupation,age,29,10,0.17725348800000001,0.382940116,
after_occupation,age,30,10,0.141577019,0.356182764,
after_occupation,age,31,10,0.19888205600000003,0.399161542,
after_occupation,age,32,10,0.24425033799999998,0.433187754,
after_occupation,age,33,10,0.12550482799999998,0.34412861999999994,
after_occupation,age,34,10,0.24566775999999999,0.434250821,
after_occupation,age,35,10,0.187408458,0.390556345,
after_occupation,age,36,10,0.179224403,0.384418303,
after_occupation,age,37,10,0.16003346999999998,0.37002510099999997,
after_occupation,age,38,10,0.250462046,0.437846535,
after_occupation,age,39,10,0.33925041599999994,0.5044378139999999,
after_occupation,age,40,10,0.130166228,0.347624672,
after_occupation,education,0,10,0.00019947999999999998,0.3334663199999999,
after_occupation,education,1,10,0.002218721,0.33481247999999997,
after_occupation,education,2,10,0.005365113,0.336910076,
after_occupation,education,3,10,0.014392341,0.34292822799999995,
after_occupation,education,4,10,0.023313293,0.34887552899999996,
after_occupation,education,5,10,0.017823487,0.345215658,
after_occupation,education,6,10,0.03783459,0.3585563930000001,
after_occupation,education,7,10,0.016614051,0.344409365,
after_occupation,education,8,10,0.034797589999999996,0.356531729,
after_occupation,education,9,10,0.06589413,0.377262753,
after_occupation,education,10,10,0.066235679,0.377490452,
after_occupation,education,11,10,0.034104029,0.356069352,
after_occupation,education,12,10,0.046255769999999995,0.36417051300000003,
after_occupation,education,13,10,0.05542394100000001,0.37028262599999995,
after_occupation,education,14,10,0.162181875,0.44145458299999996,
after_occupation,education,15,10,0.151662031,0.434441351,
after_occupation,education,16,10,0.06480226199999999,0.37653484000000004,
after_occupation,education,17,10,0.09285850300000001,0.395239003,
after_occupation,education,18,10,0.09392916300000001,0.39595277700000003,
after_occupation,education,19,10,0.104477059,0.40298470599999997,
after_occupation,education,20,10,0.142611133,0.428407421,
after_occupation,education,21,10,0.161451405,0.4409675999999999,
after_occupation,education,22,10,0.12573587999999997,0.41715725299999995,
after_occupation,education,23,10,0.217654914,0.47843661,
after_occupation,education,24,10,0.22754131100000002,0.48502753800000004,
