position,income_group,attribute,n_cases,mean_activation_strength,ci95,mean_normalized_confidence,socioeco_layer_accuracy,socioeco_majority_accuracy
after_occupation,low,socioeco,5,0.15448400956097563,0.026846003212012817,0.4363226729268292,0.6048780487804878,1.0
after_occupation,low,education,5,0.16577840229268292,0.01676669458137003,0.4438522675609756,,
after_occupation,low,gender,5,0.2158168671219512,0.016627210499739368,0.6079084339999999,,
after_occupation,low,age,5,0.1512146487804878,0.0055185629747716075,0.36341098726829263,,
final_prompt,low,socioeco,2470,0.13306280667887826,0.0006708992873449868,0.42204187102685886,0.2862150686284191,0.29068825910931173
final_prompt,low,education,2470,0.11117648606270367,0.0007180042199562792,0.4074509906206182,,
final_prompt,low,gender,2470,0.26050933442756985,0.0016052197717979983,0.6302546672198084,,
final_prompt,low,age,2470,0.13943419724528489,0.0005250298372776697,0.35457564807050457,,
after_occupation,high,socioeco,5,0.1432696173658537,0.016961719001369967,0.4288464110731708,0.17560975609756097,0.0
after_occupation,high,education,5,0.15131884404878054,0.017279942748821574,0.4342125626341463,,
after_occupation,high,gender,5,0.2233458430243902,0.022342182322680676,0.6116729215121952,,
after_occupation,high,age,5,0.17925346419512195,0.008121405506781592,0.3844400981951219,,
final_prompt,high,socioeco,2470,0.12943782193808628,0.0007118914150043746,0.41962521454033774,0.29862743161844574,0.05708502024291498
final_prompt,high,education,2470,0.12117355907672558,0.0007298032246595851,0.41411570596395775,,
final_prompt,high,gender,2470,0.2609110434709193,0.0014274487861714855,0.6304555217128468,,
final_prompt,high,age,2470,0.14807180298637304,0.0005183383310367596,0.3610538523481781,,
