qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
CARRYGUN_W26,socioeco,"Less than $30,000","$100,000 or more",0.2880934599999999,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.913702871999122,0.9136991880001122,3.683999009851391e-06
GROWUPGUN2A_W26,socioeco,"Less than $30,000","$100,000 or more",0.09769391000000005,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.06303143542424627,0.1724287817619058,-0.10939734633765952
GROWUPGUN2B_W26,socioeco,"Less than $30,000","$100,000 or more",0.008390769999999992,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.1561861139585879,0.14227467404990213,0.013911439908685763
GROWUPGUN2C_W26,socioeco,"Less than $30,000","$100,000 or more",0.019583569999999995,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.07716270448036278,0.2780123473482259,-0.2008496428678631
GROWUPGUN4_W26,socioeco,"Less than $30,000","$100,000 or more",0.012939660000000047,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.5529148739149442,0.5594126860200657,-0.006497812105121459
GROWUPGUN6_W26,socioeco,"Less than $30,000","$100,000 or more",0.06630533710350016,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.33848112121699697,0.5005589155711594,-0.16207779435416242
GROWUPGUN7_W26,socioeco,"Less than $30,000","$100,000 or more",0.17496282810305397,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.4917315777536628,0.5770395257569215,-0.08530794800325875
GROWUPVIOL_W26,socioeco,"Less than $30,000","$100,000 or more",0.34762645000000003,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.837105704970613,1.713492027829083,0.12361367714152993
GUNACCESS_W26,socioeco,"Less than $30,000","$100,000 or more",0.2689714254613356,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.4902805409029025,1.490279976902984,5.639999185458322e-07
GUNACTIVITYA_W26,socioeco,"Less than $30,000","$100,000 or more",0.02500299860760772,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.8318504501078265,0.8831652859740151,-0.05131483586618857
GUNACTIVITYB_W26,socioeco,"Less than $30,000","$100,000 or more",0.238170670976464,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7948560954803985,0.8106461580298128,-0.015790062549414285
