qkey,class_label,wasserstein,regime,neutral_wasserstein,delta_vs_neutral
CARRYGUN_W26,low,0.9136522199992496,Neutral (N=0),0.9136522199992496,0.0
CARRYGUN_W26,high,1.2017456799992496,Neutral (N=0),1.2017456799992496,0.0
GROWUPGUN2A_W26,low,0.3421122000690384,Neutral (N=0),0.3421122000690384,0.0
GROWUPGUN2A_W26,high,0.43980611006903847,Neutral (N=0),0.43980611006903847,0.0
GROWUPGUN2B_W26,low,0.341534639885395,Neutral (N=0),0.341534639885395,0.0
GROWUPGUN2B_W26,high,0.349925409885395,Neutral (N=0),0.349925409885395,0.0
GROWUPGUN2C_W26,low,0.5163672499678363,Neutral (N=0),0.5163672499678363,0.0
GROWUPGUN2C_W26,high,0.5359508199678363,Neutral (N=0),0.5359508199678363,0.0
GROWUPGUN4_W26,low,0.5581838698726713,Neutral (N=0),0.5581838698726713,0.0
GROWUPGUN4_W26,high,0.5618342498726714,Neutral (N=0),0.5618342498726714,0.0
GROWUPGUN6_W26,low,0.6118251784940637,Neutral (N=0),0.6118251784940637,0.0
GROWUPGUN6_W26,high,0.659215716592157,Neutral (N=0),0.659215716592157,0.0
GROWUPGUN7_W26,low,0.9549095264106642,Neutral (N=0),0.9549095264106642,0.0
GROWUPGUN7_W26,high,1.1298723545137181,Neutral (N=0),1.1298723545137181,0.0
GROWUPVIOL_W26,low,1.4041511440828067,Neutral (N=0),1.4041511440828067,0.0
GROWUPVIOL_W26,high,1.7517775940828066,Neutral (N=0),1.7517775940828066,0.0
GUNACCESS_W26,low,1.4902660649034014,Neutral (N=0),1.4902660649034014,0.0
GUNACCESS_W26,high,1.7367670426327,Neutral (N=0),1.7367670426327,0.0
GUNACTIVITYA_W26,low,0.85320623,Neutral (N=0),0.85320623,0.0
GUNACTIVITYA_W26,high,0.8282032313923923,Neutral (N=0),0.8282032313923923,0.0
GUNACTIVITYB_W26,low,0.719464285638152,Neutral (N=0),0.719464285638152,0.0
GUNACTIVITYB_W26,high,0.6939066437770599,Neutral (N=0),0.6939066437770599,0.0
GUNCONTRIBA_W26,low,0.7524129214987973,Neutral (N=0),0.7524129214987973,0.0
GUNCONTRIBA_W26,high,0.8919344792671948,Neutral (N=0),0.8919344792671948,0.0
GUNCONTRIBC_W26,low,0.9370357971384997,Neutral (N=0),0.9370357971384997,0.0
GUNCONTRIBC_W26,high,0.6853009549453427,Neutral (N=0),0.6853009549453427,0.0
GUNCONTRIBE_W26,low,1.1101961899969877,Neutral (N=0),1.1101961899969877,0.0
GUNCONTRIBE_W26,high,0.8692944499969876,Neutral (N=0),0.8692944499969876,0.0
GUNCONTRIBF_W26,low,0.600296910031116,Neutral (N=0),0.600296910031116,0.0
GUNCONTRIBF_W26,high,0.5339474346812696,Neutral (N=0),0.5339474346812696,0.0
GUNFRIEND_W26,low,1.869316361372967,Neutral (N=0),1.869316361372967,0.0
GUNFRIEND_W26,high,1.8652950200826635,Neutral (N=0),1.8652950200826635,0.0
GUNIDENTITY_W26,low,0.9337652700318447,Neutral (N=0),0.9337652700318447,0.0
GUNIDENTITY_W26,high,0.9233004200318448,Neutral (N=0),0.9233004200318448,0.0
GUNLOADED1_W26,low,0.586838750078938,Neutral (N=0),0.586838750078938,0.0
GUNLOADED1_W26,high,0.6479738300789379,Neutral (N=0),0.6479738300789379,0.0
GUNLOADED2_W26,low,0.40873892000051637,Neutral (N=0),0.40873892000051637,0.0
GUNLOADED2_W26,high,0.2686412200005164,Neutral (N=0),0.2686412200005164,0.0
GUNLOCKED1_W26,low,0.6646412473925529,Neutral (N=0),0.6646412473925529,0.0
GUNLOCKED1_W26,high,0.6666605673925529,Neutral (N=0),0.6666605673925529,0.0
GUNLOCKED2_W26,low,0.6302565304728855,Neutral (N=0),0.6302565304728855,0.0
GUNLOCKED2_W26,high,0.4937585904728856,Neutral (N=0),0.4937585904728856,0.0
GUNRESPKIDSD_W26,low,1.4004208,Neutral (N=0),1.4004208,0.0
GUNRESPKIDSD_W26,high,1.7149525128500827,Neutral (N=0),1.7149525128500827,0.0
GUNRESPKIDSE_W26,low,0.781253699999954,Neutral (N=0),0.781253699999954,0.0
GUNRESPKIDSE_W26,high,1.019152800191528,Neutral (N=0),1.019152800191528,0.0
GUNRESPNOKIDSA_W26,low,0.5516657399979797,Neutral (N=0),0.5516657399979797,0.0
GUNRESPNOKIDSA_W26,high,0.5418204954171947,Neutral (N=0),0.5418204954171947,0.0
GUNRESPNOKIDSB_W26,low,0.794276787874396,Neutral (N=0),0.794276787874396,0.0
GUNRESPNOKIDSB_W26,high,0.8083445680150736,Neutral (N=0),0.8083445680150736,0.0
GUNRESPNOKIDSC_W26,low,0.42313131481756827,Neutral (N=0),0.42313131481756827,0.0
GUNRESPNOKIDSC_W26,high,0.2856118934423695,Neutral (N=0),0.2856118934423695,0.0
GUNRESPNOKIDSD_W26,low,1.4107915732042602,Neutral (N=0),1.4107915732042602,0.0
GUNRESPNOKIDSD_W26,high,1.55967725320426,Neutral (N=0),1.55967725320426,0.0
GUNRESPNOKIDSE_W26,low,1.0207235000526516,Neutral (N=0),1.0207235000526516,0.0
GUNRESPNOKIDSE_W26,high,0.7911753500526513,Neutral (N=0),0.7911753500526513,0.0
GUNRESPNOKIDSF_W26,low,0.32150517396955114,Neutral (N=0),0.32150517396955114,0.0
GUNRESPNOKIDSF_W26,high,0.3088178896486094,Neutral (N=0),0.3088178896486094,0.0
GUNSAFETYKIDS_W26,low,0.2377731974065227,Neutral (N=0),0.2377731974065227,0.0
GUNSAFETYKIDS_W26,high,0.24065226740652268,Neutral (N=0),0.24065226740652268,0.0
GUNSAFE_W26,low,0.16314780497467596,Neutral (N=0),0.16314780497467596,0.0
GUNSAFE_W26,high,0.18853409806401084,Neutral (N=0),0.18853409806401084,0.0
GUNTYPEOWNC_W26,low,0.8459823899957537,Neutral (N=0),0.8459823899957537,0.0
GUNTYPEOWNC_W26,high,1.2202960822008375,Neutral (N=0),1.2202960822008375,0.0
NOCARRYGUN_W26,low,0.4771572566810043,Neutral (N=0),0.4771572566810043,0.0
NOCARRYGUN_W26,high,0.46527400668100427,Neutral (N=0),0.46527400668100427,0.0
REASONGUNA_W26,low,0.3112535500000001,Neutral (N=0),0.3112535500000001,0.0
REASONGUNA_W26,high,0.47247181000000016,Neutral (N=0),0.47247181000000016,0.0
REASONGUNB_W26,low,0.9177471508249578,Neutral (N=0),0.9177471508249578,0.0
REASONGUNB_W26,high,1.0482700200029154,Neutral (N=0),1.0482700200029154,0.0
REASONGUNC_W26,low,1.0495133894733502,Neutral (N=0),1.0495133894733502,0.0
REASONGUNC_W26,high,0.8868593488433808,Neutral (N=0),0.8868593488433808,0.0
REASONGUND_W26,low,0.6620825203264004,Neutral (N=0),0.6620825203264004,0.0
REASONGUND_W26,high,0.5811452103264004,Neutral (N=0),0.5811452103264004,0.0
REASONGUNE_W26,low,0.3100442536310937,Neutral (N=0),0.3100442536310937,0.0
REASONGUNE_W26,high,0.3839456036310937,Neutral (N=0),0.3839456036310937,0.0
SHOOTFREQ_W26,low,0.6943704600113607,Neutral (N=0),0.6943704600113607,0.0
SHOOTFREQ_W26,high,0.9411203105887969,Neutral (N=0),0.9411203105887969,0.0
WORRYB_W26,low,0.4549147238120975,Neutral (N=0),0.4549147238120975,0.0
WORRYB_W26,high,0.4710419338120975,Neutral (N=0),0.4710419338120975,0.0
WORRYD_W26,low,0.6360389598143319,Neutral (N=0),0.6360389598143319,0.0
WORRYD_W26,high,1.3169311898143319,Neutral (N=0),1.3169311898143319,0.0
WORRYE_W26,low,0.4060486371540636,Neutral (N=0),0.4060486371540636,0.0
WORRYE_W26,high,0.4259244416193999,Neutral (N=0),0.4259244416193999,0.0
WORRYF_W26,low,0.526173044575301,Neutral (N=0),0.526173044575301,0.0
WORRYF_W26,high,0.6372129599999999,Neutral (N=0),0.6372129599999999,0.0
BOYSF1B_W29,low,0.2295648997966604,Neutral (N=0),0.2295648997966604,0.0
BOYSF1B_W29,high,0.2611267847966604,Neutral (N=0),0.2611267847966604,0.0
FAVORS_CPS_W29,low,0.6689035667697967,Neutral (N=0),0.6689035667697967,0.0
FAVORS_CPS_W29,high,0.4626163652930755,Neutral (N=0),0.4626163652930755,0.0
FEM2_W29,low,0.47750902541202755,Neutral (N=0),0.47750902541202755,0.0
FEM2_W29,high,0.3058678902438441,Neutral (N=0),0.3058678902438441,0.0
GIRLSF2C_W29,low,0.21581921496295237,Neutral (N=0),0.21581921496295237,0.0
GIRLSF2C_W29,high,0.22299696782255304,Neutral (N=0),0.22299696782255304,0.0
GIRLSF2D_W29,low,0.2576658275742073,Neutral (N=0),0.2576658275742073,0.0
GIRLSF2D_W29,high,0.196398744996732,Neutral (N=0),0.196398744996732,0.0
GOPDIRCT_W29,low,0.5252199745948707,Neutral (N=0),0.5252199745948707,0.0
GOPDIRCT_W29,high,0.1772709050075012,Neutral (N=0),0.1772709050075012,0.0
HOOD_NHISB_W29,low,0.6182570062608176,Neutral (N=0),0.6182570062608176,0.0
HOOD_NHISB_W29,high,0.5418069721260885,Neutral (N=0),0.5418069721260885,0.0
LOCALELECT_W29,low,1.1496510484242837,Neutral (N=0),1.1496510484242837,0.0
LOCALELECT_W29,high,0.8351189283036659,Neutral (N=0),0.8351189283036659,0.0
MAN1A_W29,low,0.6465865102738224,Neutral (N=0),0.6465865102738224,0.0
MAN1A_W29,high,0.5598564602738224,Neutral (N=0),0.5598564602738224,0.0
MAN1B_W29,low,0.9625845400238788,Neutral (N=0),0.9625845400238788,0.0
MAN1B_W29,high,1.050165510023879,Neutral (N=0),1.050165510023879,0.0
MAN1C_W29,low,0.7829323878232028,Neutral (N=0),0.7829323878232028,0.0
MAN1C_W29,high,0.9742514799908184,Neutral (N=0),0.9742514799908184,0.0
MAN1D_W29,low,0.9333350900001567,Neutral (N=0),0.9333350900001567,0.0
MAN1D_W29,high,0.7436996900001567,Neutral (N=0),0.7436996900001567,0.0
MAN1E_W29,low,0.6824656527945533,Neutral (N=0),0.6824656527945533,0.0
MAN1E_W29,high,0.5670583653532585,Neutral (N=0),0.5670583653532585,0.0
MASC2_W29,low,0.5053522964615491,Neutral (N=0),0.5053522964615491,0.0
MASC2_W29,high,0.5436683962629565,Neutral (N=0),0.5436683962629565,0.0
S12_W29,low,0.8185208611895335,Neutral (N=0),0.8185208611895335,0.0
S12_W29,high,0.4255495053117513,Neutral (N=0),0.4255495053117513,0.0
S13_W29,low,0.9367159796610875,Neutral (N=0),0.9367159796610875,0.0
S13_W29,high,0.6783985602473313,Neutral (N=0),0.6783985602473313,0.0
SEENFEM_W29,low,0.913865320184027,Neutral (N=0),0.913865320184027,0.0
SEENFEM_W29,high,0.726103660184027,Neutral (N=0),0.726103660184027,0.0
SEENMASC_W29,low,0.7511042324889577,Neutral (N=0),0.7511042324889577,0.0
SEENMASC_W29,high,0.7665917700023547,Neutral (N=0),0.7665917700023547,0.0
TALK_CPS_W29,low,1.3044619618302815,Neutral (N=0),1.3044619618302815,0.0
TALK_CPS_W29,high,0.9761586618302813,Neutral (N=0),0.9761586618302813,0.0
WORRYBILL_W29,low,0.5105790149136553,Neutral (N=0),0.5105790149136553,0.0
WORRYBILL_W29,high,1.0873735677204248,Neutral (N=0),1.0873735677204248,0.0
CLASS_W32,low,0.9182431808175682,Neutral (N=0),0.9182431808175682,0.0
CLASS_W32,high,0.5810949783773006,Neutral (N=0),0.5810949783773006,0.0
COMMIMPA_W32,low,1.2041376481594375,Neutral (N=0),1.2041376481594375,0.0
COMMIMPA_W32,high,1.111263940267752,Neutral (N=0),1.111263940267752,0.0
COMMIMPB_W32,low,0.6416859100873502,Neutral (N=0),0.6416859100873502,0.0
COMMIMPB_W32,high,0.6217371700873502,Neutral (N=0),0.6217371700873502,0.0
COMMIMPC_W32,low,1.1727373117273732,Neutral (N=0),1.1727373117273732,0.0
