class_label,regime,n,mean_wasserstein,wasserstein_ci95,mean_delta_vs_neutral,delta_ci95,paired_wilcoxon_p
low,Neutral (N=0),486,0.6676142663322916,0.03171587504732105,0.0,0.0,
low,Declared,486,0.7169457887766093,0.037162540006538416,0.049331522444317905,0.022910282773302707,0.014244191809156715
low,Steered N=2,486,0.31554329911560264,0.022870019959261582,-0.3520709672166889,0.028944988719484158,1.03193571476374e-65
low,Inferred from occupation,486,0.6504944214256007,0.03194918260761762,-0.01711984490669091,0.017552483330411074,0.0015483989093587748
high,Neutral (N=0),486,0.6382396065232874,0.03335520640121871,0.0,0.0,
high,Declared,486,0.6545508195908907,0.033830792845793614,0.016311213067603116,0.021532108117314562,0.4800769811860507
high,Steered N=2,486,0.3670226275852251,0.026625719187270143,-0.2712169789380624,0.031898127048025596,3.529749139605868e-48
high,Inferred from occupation,486,0.640883935692605,0.033496045103124567,0.00264432916931761,0.015933575772022184,0.43021614016388154
all,Neutral (N=0),486,0.6529269364277895,0.03154794812621469,0.0,0.0,
all,Declared,486,0.68574830418375,0.032537385044514526,0.03282136775596051,0.01642676040418884,0.298949834021612
all,Steered N=2,486,0.3412829633504139,0.021795101314117174,-0.31164397307737557,0.027322258448424272,3.588435231093156e-61
all,Inferred from occupation,486,0.6456891785591029,0.031228266755370916,-0.007237757868686651,0.014333472258955017,0.007601518793295168
