qkey,attribute,channel,class_label,magnitude,n_occupations,response_distribution
CARRYGUN_W26,socioeco,inferred,low,,5,"[7.18e-06, 6e-07, 1.65e-06, 0.99999053]"
CARRYGUN_W26,socioeco,inferred,high,,5,"[7.5e-06, 8.4e-07, 3.89e-06, 0.99998777]"
GROWUPGUN2A_W26,socioeco,inferred,low,,5,"[0.71401538, 0.2859846]"
GROWUPGUN2A_W26,socioeco,inferred,high,,5,"[0.82341272, 0.17658725]"
GROWUPGUN2B_W26,socioeco,inferred,low,,5,"[0.496549, 0.50345101]"
GROWUPGUN2B_W26,socioeco,inferred,high,,5,"[0.79500979, 0.20499022]"
GROWUPGUN2C_W26,socioeco,inferred,low,,5,"[0.55999139, 0.44000865]"
GROWUPGUN2C_W26,socioeco,inferred,high,,5,"[0.76084102, 0.239159]"
GROWUPGUN4_W26,socioeco,inferred,low,,5,"[8.81e-06, 0.99288564, 0.00707916, 2.638e-05]"
GROWUPGUN4_W26,socioeco,inferred,high,,5,"[2.33e-06, 0.9994067, 0.00058784, 3.17e-06]"
GROWUPGUN6_W26,socioeco,inferred,low,,5,"[0.00045335, 7.4e-06, 0.42256282, 0.57697641]"
GROWUPGUN6_W26,socioeco,inferred,high,,5,"[0.00020861, 6.52e-06, 0.26122103, 0.73856385]"
GROWUPGUN7_W26,socioeco,inferred,low,,5,"[0.00087916, 0.00019697, 0.56246347, 0.43646041]"
GROWUPGUN7_W26,socioeco,inferred,high,,5,"[0.00025692, 2.333e-05, 0.43687486, 0.56284493]"
GROWUPVIOL_W26,socioeco,inferred,low,,5,"[0.58090103, 0.41908597, 9.34e-06, 3.65e-06]"
GROWUPVIOL_W26,socioeco,inferred,high,,5,"[0.45732384, 0.54263051, 3.816e-05, 7.48e-06]"
GUNACCESS_W26,socioeco,inferred,low,,5,"[1.19e-06, 1.5e-07, 1.8e-07, 0.9999985]"
GUNACCESS_W26,socioeco,inferred,high,,5,"[1.37e-06, 1.6e-07, 1.6e-07, 0.99999833]"
GUNACTIVITYA_W26,socioeco,inferred,low,,5,"[2.702e-05, 9.21e-06, 0.9461137, 0.05385006]"
GUNACTIVITYA_W26,socioeco,inferred,high,,5,"[1.318e-05, 1.783e-05, 0.99741468, 0.0025543]"
GUNACTIVITYB_W26,socioeco,inferred,low,,5,"[0.00012826, 0.00455521, 0.98109355, 0.01422296]"
GUNACTIVITYB_W26,socioeco,inferred,high,,5,"[9.134e-05, 0.0010528, 0.99684677, 0.00200914]"
GUNCONTRIBA_W26,socioeco,inferred,low,,5,"[0.02700721, 0.97299013, 1.88e-06, 7.7e-07]"
GUNCONTRIBA_W26,socioeco,inferred,high,,5,"[0.02224315, 0.97775427, 1.7e-06, 8.9e-07]"
GUNCONTRIBC_W26,socioeco,inferred,low,,5,"[1.028e-05, 0.67196791, 0.32799452, 2.73e-05]"
GUNCONTRIBC_W26,socioeco,inferred,high,,5,"[1.051e-05, 0.41289093, 0.58706675, 3.182e-05]"
GUNCONTRIBE_W26,socioeco,inferred,low,,5,"[6.8e-07, 5.3e-07, 0.99962372, 0.00037505]"
GUNCONTRIBE_W26,socioeco,inferred,high,,5,"[5.7e-07, 4.2e-07, 0.99932986, 0.00066917]"
GUNCONTRIBF_W26,socioeco,inferred,low,,5,"[0.00015789, 0.92105174, 0.0787891, 1.29e-06]"
GUNCONTRIBF_W26,socioeco,inferred,high,,5,"[0.00011552, 0.83746939, 0.16241398, 1.08e-06]"
GUNFRIEND_W26,socioeco,inferred,low,,5,"[1.24e-05, 0.00033305, 0.00072331, 0.99893124]"
GUNFRIEND_W26,socioeco,inferred,high,,5,"[1.299e-05, 8.307e-05, 0.00043508, 0.99946886]"
GUNIDENTITY_W26,socioeco,inferred,low,,5,"[1.101e-05, 1.5e-06, 0.96877692, 0.03121053]"
GUNIDENTITY_W26,socioeco,inferred,high,,5,"[4.36e-06, 1.19e-06, 0.98170388, 0.01829059]"
GUNLOADED1_W26,socioeco,inferred,low,,5,"[9.93e-06, 4.42e-06, 0.99998565]"
GUNLOADED1_W26,socioeco,inferred,high,,5,"[1.121e-05, 3.53e-06, 0.99998526]"
GUNLOADED2_W26,socioeco,inferred,low,,5,"[0.00026335, 0.99973665]"
GUNLOADED2_W26,socioeco,inferred,high,,5,"[0.00420758, 0.99579244]"
GUNLOCKED1_W26,socioeco,inferred,low,,5,"[0.00743869, 0.90140563, 0.09115565]"
GUNLOCKED1_W26,socioeco,inferred,high,,5,"[0.00584247, 0.92056384, 0.07359369]"
GUNLOCKED2_W26,socioeco,inferred,low,,5,"[0.9869877, 0.01301231]"
GUNLOCKED2_W26,socioeco,inferred,high,,5,"[0.99763836, 0.00236163]"
GUNRESPKIDSD_W26,socioeco,inferred,low,,5,"[0.99999299, 6.84e-06, 6e-08, 1e-07]"
GUNRESPKIDSD_W26,socioeco,inferred,high,,5,"[0.99999211, 7.74e-06, 7e-08, 9e-08]"
GUNRESPKIDSE_W26,socioeco,inferred,low,,5,"[0.99999802, 1.85e-06, 6e-08, 9e-08]"
GUNRESPKIDSE_W26,socioeco,inferred,high,,5,"[0.99999788, 1.94e-06, 6e-08, 9e-08]"
GUNRESPNOKIDSA_W26,socioeco,inferred,low,,5,"[0.9999923, 7.62e-06, 4e-08, 1e-07]"
GUNRESPNOKIDSA_W26,socioeco,inferred,high,,5,"[0.99999149, 8.42e-06, 4e-08, 9e-08]"
GUNRESPNOKIDSB_W26,socioeco,inferred,low,,5,"[0.61652593, 0.38347365, 2.4e-07, 1.8e-07]"
GUNRESPNOKIDSB_W26,socioeco,inferred,high,,5,"[0.3008699, 0.69912951, 3.5e-07, 2.3e-07]"
GUNRESPNOKIDSC_W26,socioeco,inferred,low,,5,"[0.99865457, 0.00134526, 6e-08, 1.1e-07]"
GUNRESPNOKIDSC_W26,socioeco,inferred,high,,5,"[0.99829755, 0.00170224, 6e-08, 1.1e-07]"
GUNRESPNOKIDSD_W26,socioeco,inferred,low,,5,"[0.87209017, 0.12790938, 2.2e-07, 1.9e-07]"
