position,occupation_cue,income_group,n_cases,mean_layer_accuracy,majority_accuracy,mean_socioeco_strength,mean_education_strength,mean_gender_strength,mean_age_strength
after_occupation,advertising sales agent,high,1,0.8181818181818182,1.0,0.24560105515151512,0.21737679696969697,0.2507100609090909,0.18693628121212122
after_occupation,food service manager,high,1,0.5757575757575758,1.0,0.18227403666666667,0.2421441903030303,0.3301406745454546,0.16402343060606064
after_occupation,lodging manager,high,1,0.5454545454545454,1.0,0.20198774545454545,0.22621844333333332,0.35144199393939396,0.17825073060606061
after_occupation,mail clerk outside the postal service,low,1,0.30303030303030304,0.0,0.21239827999999997,0.2278332603030303,0.3570577442424243,0.18830063606060607
after_occupation,packaging machine operator,low,1,0.3333333333333333,0.0,0.1886852003030303,0.25664309030303034,0.18812566121212124,0.15495696333333334
after_occupation,personal care worker,low,1,0.7272727272727273,1.0,0.20642917939393937,0.23621588818181816,0.3374608936363637,0.20123410272727274
after_occupation,personal service manager,high,1,0.8181818181818182,1.0,0.27549440969696964,0.2346839390909091,0.32482147848484844,0.1943916581818182
after_occupation,production helper,low,1,0.5151515151515151,1.0,0.17838423606060605,0.24375406696969695,0.25325907,0.16948417999999998
after_occupation,property manager,high,1,0.7272727272727273,1.0,0.21208469757575754,0.21671673727272728,0.2842538321212121,0.1845975790909091
after_occupation,tour guide,low,1,0.21212121212121213,0.0,0.22180521787878787,0.20600088000000003,0.28871355272727267,0.16014012939393937
final_prompt,advertising sales agent,high,494,0.4551588762115078,0.5161943319838057,0.2538979121126242,0.24453175312415654,0.2654358661513925,0.1936743107391731
final_prompt,food service manager,high,494,0.44927002821739664,0.4939271255060729,0.2509587504901239,0.24107448411728621,0.2633997736167341,0.19301056197951172
final_prompt,lodging manager,high,494,0.44399460188933876,0.4959514170040486,0.2505370346460557,0.23905727798797693,0.26142597825788244,0.19032340006195558
final_prompt,mail clerk outside the postal service,low,494,0.09121580174211753,0.0,0.24650690313887866,0.23567335198380568,0.26148395987056805,0.1913426128346215
final_prompt,packaging machine operator,low,494,0.09440559440559441,0.0020242914979757085,0.24597314317507055,0.23791526245368666,0.2697340586302294,0.18910012117347563
final_prompt,personal care worker,low,494,0.1074101337259232,0.006072874493927126,0.24157824470433076,0.23380384209422156,0.26119934700650227,0.18347491066924304
final_prompt,personal service manager,high,494,0.4558949822107717,0.5425101214574899,0.2539887926309655,0.2427848978082444,0.2618514285216538,0.19138037326647037
final_prompt,production helper,low,494,0.09980370506686297,0.006072874493927126,0.24288368913446204,0.23775419938473807,0.2635673689614771,0.18580407600907864
final_prompt,property manager,high,494,0.4549748497116918,0.5121457489878543,0.25419343118513066,0.24347143112501535,0.2624216989038155,0.19391032981351983
final_prompt,tour guide,low,494,0.09047969574285364,0.0,0.24781890243712426,0.23726180571524966,0.2589796372678199,0.18439590265427555
