position,income_group,comparison,n_cases,mean_socioeco_strength,mean_other_strength,mean_difference,fraction_socioeco_stronger,p_value_one_sided
after_occupation,low,socioeco vs education,5,0.2015404227272727,0.23408943715151515,-0.03254901442424245,0.2,0.9375
after_occupation,low,socioeco vs gender,5,0.2015404227272727,0.2849233843636364,-0.08338296163636366,0.2,0.96875
after_occupation,low,socioeco vs age,5,0.2015404227272727,0.1748232023030303,0.026717220424242412,1.0,0.03125
final_prompt,low,socioeco vs education,2470,0.24495217651797327,0.2364816923263403,0.008470484191632929,0.5676113360323887,2.387139069939187e-26
final_prompt,low,socioeco vs gender,2470,0.24495217651797327,0.2629928743473193,-0.01804069782934609,0.32105263157894737,1.0
final_prompt,low,socioeco vs age,2470,0.24495217651797327,0.1868235246681389,0.05812865184983438,0.9631578947368421,0.0
after_occupation,high,socioeco vs education,5,0.2234883889090909,0.22742802139393942,-0.00393963248484851,0.4,0.59375
after_occupation,high,socioeco vs gender,5,0.2234883889090909,0.30827360800000003,-0.08478521909090911,0.0,1.0
after_occupation,high,socioeco vs age,5,0.2234883889090909,0.18163993593939395,0.04184845296969693,1.0,0.03125
final_prompt,high,socioeco vs education,2470,0.25271518421298,0.24218396883253587,0.010531215380444115,0.5947368421052631,4.318848642963269e-36
final_prompt,high,socioeco vs gender,2470,0.25271518421298,0.26290694909029566,-0.010191764877315667,0.39190283400809717,1.0
final_prompt,high,socioeco vs age,2470,0.25271518421298,0.1924597951721261,0.06025538904085389,0.9530364372469635,0.0
