position,attribute,layer,n,mean_activation_strength,mean_normalized_confidence,socioeco_accuracy
after_occupation,age,0,10,0.0005416099999999999,0.25040621,
after_occupation,age,1,10,0.0030838890000000002,0.252312916,
after_occupation,age,2,10,0.013181482999999999,0.25988611100000003,
after_occupation,age,3,10,0.026007071,0.269505302,
after_occupation,age,4,10,0.05980145499999999,0.294851092,
after_occupation,age,5,10,0.13406945799999997,0.35055209499999995,
after_occupation,age,6,10,0.09337153499999999,0.320028651,
after_occupation,age,7,10,0.07516154000000001,0.306371156,
after_occupation,age,8,10,0.072439751,0.30432981200000003,
after_occupation,age,9,10,0.12887769899999998,0.346658274,
after_occupation,age,10,10,0.073026554,0.304769915,
after_occupation,age,11,10,0.33861834700000004,0.5039637600000001,
after_occupation,age,12,10,0.218975525,0.41423164099999993,
after_occupation,age,13,10,0.26360418500000005,0.44770313799999994,
after_occupation,age,14,10,0.17837359700000002,0.38378019500000005,
after_occupation,age,15,10,0.127721242,0.34579093099999997,
after_occupation,age,16,10,0.157808882,0.368356659,
after_occupation,age,17,10,0.230030243,0.42252268200000004,
after_occupation,age,18,10,0.24437898100000002,0.433284235,
after_occupation,age,19,10,0.152991637,0.36474372699999996,
after_occupation,age,20,10,0.273955364,0.45546652299999996,
after_occupation,age,21,10,0.21154062600000004,0.408655466,
after_occupation,age,22,10,0.23193519099999999,0.42395139200000004,
after_occupation,age,23,10,0.272513265,0.45438494900000004,
after_occupation,age,24,10,0.33461371300000003,0.500960286,
after_occupation,age,25,10,0.242556993,0.43191774499999996,
after_occupation,age,26,10,0.24786763500000006,0.43590072700000004,
after_occupation,age,27,10,0.250804364,0.43810327400000004,
after_occupation,age,28,10,0.183321312,0.387490987,
after_occupation,age,29,10,0.23676250800000004,0.4275718810000001,
after_occupation,age,30,10,0.23070261499999994,0.423026961,
after_occupation,age,31,10,0.24309925,0.43232443600000003,
after_occupation,age,32,10,0.329904261,0.49742819699999996,
after_occupation,education,0,10,0.00037190000000000004,0.33358126999999993,
after_occupation,education,1,10,0.009428269,0.339618846,
after_occupation,education,2,10,0.019733438,0.346488959,
after_occupation,education,3,10,0.01059572,0.340397146,
after_occupation,education,4,10,0.143813598,0.429209066,
after_occupation,education,5,10,0.15740684200000002,0.438271227,
after_occupation,education,6,10,0.079849297,0.386566199,
after_occupation,education,7,10,0.22424423999999998,0.482829493,
after_occupation,education,8,10,0.184175045,0.45611669600000004,
after_occupation,education,9,10,0.130546485,0.420364324,
after_occupation,education,10,10,0.21396725699999997,0.47597817099999995,
after_occupation,education,11,10,0.15385381199999998,0.435902544,
after_occupation,education,12,10,0.129042674,0.419361783,
after_occupation,education,13,10,0.124298054,0.41619870299999995,
after_occupation,education,14,10,0.25724447500000003,0.504829653,
after_occupation,education,15,10,0.505322423,0.670214948,
after_occupation,education,16,10,0.23354094599999997,0.48902729699999997,
after_occupation,education,17,10,0.349212623,0.5661417459999999,
after_occupation,education,18,10,0.145761141,0.430507428,
after_occupation,education,19,10,0.172223336,0.44814889100000005,
after_occupation,education,20,10,0.338968939,0.559312627,
after_occupation,education,21,10,0.427109078,0.618072718,
after_occupation,education,22,10,0.33609367,0.557395781,
after_occupation,education,23,10,0.472225974,0.648150649,
after_occupation,education,24,10,0.256245136,0.5041634229999999,
after_occupation,education,25,10,0.236123488,0.49074899,
after_occupation,education,26,10,0.283829773,0.5225531809999999,
after_occupation,education,27,10,0.266455018,0.5109700110000001,
after_occupation,education,28,10,0.277544602,0.518363068,
after_occupation,education,29,10,0.307003088,0.5380020589999999,
after_occupation,education,30,10,0.20036069699999998,0.46690712999999995,
after_occupation,education,31,10,0.26816477,0.5121098460000001,
after_occupation,education,32,10,0.7002822579999999,0.800188172,
after_occupation,gender,0,10,0.00078797,0.50039399,
after_occupation,gender,1,10,0.012613713999999998,0.506306857,
after_occupation,gender,2,10,0.040207947,0.520103973,
after_occupation,gender,3,10,0.019628871,0.509814435,
after_occupation,gender,4,10,0.11186172800000001,0.555930865,
after_occupation,gender,5,10,0.07427736500000001,0.537138683,
after_occupation,gender,6,10,0.082867073,0.5414335360000001,
after_occupation,gender,7,10,0.301431155,0.650715578,
after_occupation,gender,8,10,0.35497809599999997,0.677489048,
after_occupation,gender,9,10,0.17109135499999997,0.585545677,
after_occupation,gender,10,10,0.056519556000000006,0.528259778,
after_occupation,gender,11,10,0.03599106099999999,0.5179955300000001,
after_occupation,gender,12,10,0.200712037,0.600356018,
after_occupation,gender,13,10,0.16808726599999999,0.584043634,
after_occupation,gender,14,10,0.182929172,0.591464585,
after_occupation,gender,15,10,0.324933708,0.6624668539999999,
after_occupation,gender,16,10,0.511832822,0.7559164110000001,
after_occupation,gender,17,10,0.6434986949999999,0.8217493470000001,
after_occupation,gender,18,10,0.691027463,0.8455137310000002,
after_occupation,gender,19,10,0.48499358899999995,0.7424967929999999,
after_occupation,gender,20,10,0.36548462,0.6827423100000001,
after_occupation,gender,21,10,0.47279054,0.73639527,
after_occupation,gender,22,10,0.43119578399999997,0.715597892,
after_occupation,gender,23,10,0.527908957,0.763954477,
after_occupation,gender,24,10,0.5375349030000001,0.768767452,
after_occupation,gender,25,10,0.153717114,0.5768585570000001,
after_occupation,gender,26,10,0.22540011399999998,0.6127000579999999,
after_occupation,gender,27,10,0.4950329419999999,0.747516472,
after_occupation,gender,28,10,0.257859707,0.6289298520000001,
after_occupation,gender,29,10,0.24657156500000005,0.62328578,
after_occupation,gender,30,10,0.3359998,0.6679998980000001,
after_occupation,gender,31,10,0.271516477,0.6357582390000001,
after_occupation,gender,32,10,0.996467208,0.998233606,
after_occupation,socioeco,0,10,0.00040396,0.33360264,0.5
after_occupation,socioeco,1,10,0.008394132000000002,0.33892942,0.5
after_occupation,socioeco,2,10,0.008321783000000001,0.33888119000000005,0.6
after_occupation,socioeco,3,10,0.032311858,0.35487457200000005,0.5
after_occupation,socioeco,4,10,0.174121727,0.44941448600000006,0.5
after_occupation,socioeco,5,10,0.086752319,0.39116821199999996,0.5
after_occupation,socioeco,6,10,0.087195198,0.391463464,0.6
after_occupation,socioeco,7,10,0.12038203100000003,0.413588021,0.7
after_occupation,socioeco,8,10,0.130401422,0.42026761500000004,0.6
after_occupation,socioeco,9,10,0.23389551699999997,0.48926367800000004,0.5
after_occupation,socioeco,10,10,0.193560271,0.462373515,0.5
after_occupation,socioeco,11,10,0.236802206,0.491201468,0.5
after_occupation,socioeco,12,10,0.238595999,0.492397332,0.4
after_occupation,socioeco,13,10,0.222213503,0.48147566799999997,0.8
after_occupation,socioeco,14,10,0.27937406200000003,0.5195827100000001,0.7
after_occupation,socioeco,15,10,0.272656388,0.515104256,0.6
after_occupation,socioeco,16,10,0.24898285600000003,0.4993219059999999,0.7
after_occupation,socioeco,17,10,0.161880457,0.44125363799999995,0.7
after_occupation,socioeco,18,10,0.17618723199999997,0.45079148799999996,0.5
after_occupation,socioeco,19,10,0.289227056,0.526151372,0.6
after_occupation,socioeco,20,10,0.276790007,0.517860004,0.5
after_occupation,socioeco,21,10,0.32773084,0.55182056,0.5
after_occupation,socioeco,22,10,0.317393126,0.544928749,0.5
after_occupation,socioeco,23,10,0.20817111500000002,0.472114076,0.5
after_occupation,socioeco,24,10,0.205738443,0.47049229400000003,0.5
after_occupation,socioeco,25,10,0.251967678,0.5013117859999999,0.5
after_occupation,socioeco,26,10,0.19614004899999998,0.464093367,0.6
after_occupation,socioeco,27,10,0.22536770200000006,0.483578466,0.5
after_occupation,socioeco,28,10,0.179109375,0.45273958500000006,0.6
after_occupation,socioeco,29,10,0.19266621299999998,0.46177747599999996,0.5
