qkey,occupation_cue,income_group,position,socioeco_layer_accuracy,socioeco_majority_prediction,socioeco_majority_correct,socioeco_mean_strength,socioeco_mean_confidence,education_mean_strength,education_mean_confidence,gender_mean_strength,gender_mean_confidence,age_mean_strength,age_mean_confidence
CARRYGUN_W26,tour guide,low,after_occupation,0.21212121212121213,high,False,0.22180521787878787,0.4812034787878788,0.20600088000000003,0.47066725363636364,0.28871355272727267,0.6443567763636364,0.16014012939393937,0.370105096969697
CARRYGUN_W26,tour guide,low,final_prompt,0.12121212121212122,middle,False,0.230936683030303,0.4872911221212121,0.21824449575757576,0.47882966363636364,0.27765374030303025,0.6388268715151515,0.1487494878787879,0.36156211606060606
CARRYGUN_W26,production helper,low,after_occupation,0.5151515151515151,low,True,0.17838423606060605,0.45225615757575754,0.24375406696969695,0.4958360451515151,0.25325907,0.6266295342424242,0.16948417999999998,0.3771131342424242
CARRYGUN_W26,production helper,low,final_prompt,0.12121212121212122,middle,False,0.22884245272727272,0.48589496878787886,0.21399512515151511,0.47599675030303035,0.26844165545454546,0.6342208272727272,0.14694708424242425,0.3602103139393939
CARRYGUN_W26,mail clerk outside the postal service,low,after_occupation,0.30303030303030304,high,False,0.21239827999999997,0.47493218606060605,0.2278332603030303,0.4852221736363636,0.3570577442424243,0.6785288727272728,0.18830063606060607,0.391225476060606
CARRYGUN_W26,mail clerk outside the postal service,low,final_prompt,0.06060606060606061,middle,False,0.2453602363636364,0.4969068236363637,0.22661112606060604,0.4844074178787879,0.2656114542424242,0.6328057263636364,0.15413973242424242,0.3656047990909091
CARRYGUN_W26,personal care worker,low,after_occupation,0.7272727272727273,low,True,0.20642917939393937,0.4709527857575758,0.23621588818181816,0.4908105918181819,0.3374608936363637,0.668730446060606,0.20123410272727274,0.40092557666666667
CARRYGUN_W26,personal care worker,low,final_prompt,0.12121212121212122,middle,False,0.22886482606060607,0.485909883030303,0.19500059606060605,0.4633337309090909,0.2619259539393939,0.6309629763636363,0.14728486030303026,0.36046364454545454
CARRYGUN_W26,packaging machine operator,low,after_occupation,0.3333333333333333,high,False,0.1886852003030303,0.45912346696969697,0.25664309030303034,0.5044287260606061,0.18812566121212124,0.5940628303030303,0.15495696333333334,0.36621772181818185
CARRYGUN_W26,packaging machine operator,low,final_prompt,0.06060606060606061,middle,False,0.23759800121212124,0.4917320003030303,0.22692039787878787,0.4846135984848485,0.27526211424242425,0.6376310572727273,0.14683248636363636,0.36012436515151514
CARRYGUN_W26,advertising sales agent,high,after_occupation,0.8181818181818182,high,True,0.24560105515151512,0.49706737,0.21737679696969697,0.47825119848484854,0.2507100609090909,0.6253550312121213,0.18693628121212122,0.3902022112121212
CARRYGUN_W26,advertising sales agent,high,final_prompt,0.42424242424242425,middle,False,0.23218251454545455,0.48812167636363635,0.22360405727272725,0.4824027042424242,0.28136665606060607,0.6406833275757575,0.14704221848484847,0.3602816648484849
CARRYGUN_W26,lodging manager,high,after_occupation,0.5454545454545454,high,True,0.20198774545454545,0.46799183,0.22621844333333332,0.48414562818181817,0.35144199393939396,0.675720996969697,0.17825073060606061,0.3836880478787879
CARRYGUN_W26,lodging manager,high,final_prompt,0.3939393939393939,middle,False,0.23351994363636364,0.4890132948484848,0.21037070606060607,0.4735804712121212,0.2675962875757576,0.6337981448484848,0.14508276212121216,0.35881207181818187
CARRYGUN_W26,food service manager,high,after_occupation,0.5757575757575758,high,True,0.18227403666666667,0.45484935787878794,0.2421441903030303,0.4947627933333334,0.3301406745454546,0.6650703372727272,0.16402343060606064,0.37301757333333335
CARRYGUN_W26,food service manager,high,final_prompt,0.42424242424242425,middle,False,0.23391997575757578,0.489279983939394,0.2194040406060606,0.47960269515151516,0.27688532969696966,0.638442663939394,0.1475049996969697,0.36062875
CARRYGUN_W26,personal service manager,high,after_occupation,0.8181818181818182,high,True,0.27549440969696964,0.5169962733333333,0.2346839390909091,0.4897892936363637,0.32482147848484844,0.6624107396969697,0.1943916581818182,0.39579374272727275
CARRYGUN_W26,personal service manager,high,final_prompt,0.42424242424242425,middle,False,0.23913830181818183,0.4927588687878787,0.22059383484848485,0.48039589030303026,0.26534157060606056,0.6326707845454546,0.13986910545454545,0.3549018293939394
CARRYGUN_W26,property manager,high,after_occupation,0.7272727272727273,high,True,0.21208469757575754,0.47472313090909096,0.21671673727272728,0.47781115818181813,0.2842538321212121,0.6421269157575757,0.1845975790909091,0.38844818454545454
CARRYGUN_W26,property manager,high,final_prompt,0.42424242424242425,middle,False,0.22965334636363635,0.4864355642424243,0.1987962809090909,0.46586418666666674,0.2815597633333333,0.6407798815151515,0.1436412793939394,0.3577309593939394
GROWUPGUN2A_W26,tour guide,low,final_prompt,0.09090909090909091,middle,False,0.22251406636363633,0.48167604333333336,0.16304429242424243,0.44202952848484844,0.25385858878787876,0.6269292930303031,0.18527311515151515,0.3889548354545455
GROWUPGUN2A_W26,production helper,low,final_prompt,0.09090909090909091,middle,False,0.22770804424242422,0.4851386963636363,0.16893266878787877,0.4459551124242425,0.28239910636363635,0.6411995524242425,0.18783394575757575,0.3908754596969697
GROWUPGUN2A_W26,mail clerk outside the postal service,low,final_prompt,0.09090909090909091,middle,False,0.21567872363636362,0.4771191484848485,0.17381693606060603,0.44921129000000004,0.264069283030303,0.6320346406060605,0.19334722818181815,0.3950104218181818
GROWUPGUN2A_W26,personal care worker,low,final_prompt,0.09090909090909091,middle,False,0.21617635545454542,0.4774509045454546,0.17097279424242426,0.44731519666666664,0.2701204327272727,0.635060216969697,0.18097435151515154,0.38573076272727275
GROWUPGUN2A_W26,packaging machine operator,low,final_prompt,0.09090909090909091,middle,False,0.22276707727272727,0.48184471787878785,0.1964997893939394,0.4643331921212121,0.30052910363636365,0.6502645521212121,0.18656944060606062,0.3899270809090909
GROWUPGUN2A_W26,advertising sales agent,high,final_prompt,0.45454545454545453,high | middle,False,0.24027179909090912,0.4935145336363636,0.17373879484848484,0.44915919727272724,0.2818857824242424,0.640942890909091,0.2033793315151515,0.4025344996969697
GROWUPGUN2A_W26,lodging manager,high,final_prompt,0.45454545454545453,high | middle,False,0.22554507272727273,0.48369671515151513,0.1804019878787879,0.45360132454545454,0.28554657787878784,0.6427732881818182,0.19641712606060607,0.3973128445454545
GROWUPGUN2A_W26,food service manager,high,final_prompt,0.36363636363636365,middle,False,0.2164571478787879,0.47763809787878786,0.18603880454545457,0.4573592024242424,0.2996099096969697,0.6498049545454546,0.2030147593939394,0.40226106909090914
GROWUPGUN2A_W26,personal service manager,high,final_prompt,0.45454545454545453,middle,False,0.22901926939393938,0.4860128466666667,0.17232773393939393,0.44821848999999997,0.27038894303030303,0.6351944718181818,0.19422440787878792,0.39566830636363637
GROWUPGUN2A_W26,property manager,high,final_prompt,0.48484848484848486,high,True,0.23830638121212122,0.4922042533333334,0.17424031636363635,0.449493543939394,0.2641978403030303,0.6320989209090909,0.18896018999999997,0.3917201427272727
GROWUPGUN2B_W26,tour guide,low,final_prompt,0.09090909090909091,middle,False,0.23114568515151518,0.4874304566666667,0.18372563303030304,0.45581708818181815,0.2591100793939394,0.6295550384848484,0.18199685121212122,0.38649763939393944
GROWUPGUN2B_W26,production helper,low,final_prompt,0.09090909090909091,middle,False,0.22975589151515152,0.4865039278787879,0.19263029818181818,0.46175353151515147,0.28186031545454543,0.6409301581818182,0.18484569121212122,0.38863426818181823
GROWUPGUN2B_W26,mail clerk outside the postal service,low,final_prompt,0.12121212121212122,middle,False,0.2090330209090909,0.4726886793939393,0.18524151757575757,0.45682767757575754,0.2686644757575758,0.6343322381818182,0.18024318969696967,0.385182393030303
GROWUPGUN2B_W26,personal care worker,low,final_prompt,0.12121212121212122,middle,False,0.20038994757575757,0.46692663151515146,0.18747451999999998,0.45831634757575757,0.29545847606060605,0.6477292378787878,0.18001985939393939,0.3850148951515151
GROWUPGUN2B_W26,packaging machine operator,low,final_prompt,0.09090909090909091,middle,False,0.2243606903030303,0.48290712606060604,0.19877319636363636,0.4658487981818181,0.31264110121212124,0.6563205499999999,0.1961430896969697,0.3971073166666667
