position,income_group,attribute,n_cases,mean_activation_strength,ci95,mean_normalized_confidence,socioeco_layer_accuracy,socioeco_majority_accuracy
after_occupation,low,socioeco,5,0.2015404227272727,0.015519441971148228,0.4676936150303031,0.41818181818181815,0.4
after_occupation,low,education,5,0.23408943715151515,0.016600522696260757,0.4893929580606061,,
after_occupation,low,gender,5,0.2849233843636364,0.05936947922508398,0.642461691939394,,
after_occupation,low,age,5,0.1748232023030303,0.017075313255622896,0.38111740115151516,,
final_prompt,low,socioeco,2470,0.24495217651797327,0.001140100234730596,0.49663478424733165,0.09666298613667035,0.002834008097165992
final_prompt,low,education,2470,0.2364816923263403,0.0011898157978652308,0.49098779487204025,,
final_prompt,low,gender,2470,0.2629928743473193,0.0010610330082909873,0.6314964370090786,,
final_prompt,low,age,2470,0.1868235246681389,0.0009274690440077241,0.3901176433625322,,
after_occupation,high,socioeco,5,0.2234883889090909,0.03245721202860049,0.48232559242424244,0.696969696969697,1.0
after_occupation,high,education,5,0.22742802139393942,0.009666156543413875,0.48495201436363644,,
after_occupation,high,gender,5,0.30827360800000003,0.03535076600928151,0.6541368041818182,,
after_occupation,high,age,5,0.18163993593939395,0.010005923044995337,0.386229951939394,,
final_prompt,high,socioeco,2470,0.25271518421298,0.0011785413752617808,0.5018101227218745,0.4518586676481413,0.5121457489878543
final_prompt,high,education,2470,0.24218396883253587,0.0011605130119642709,0.49478931256876457,,
final_prompt,high,gender,2470,0.26290694909029566,0.0009965144419899047,0.6314534743819162,,
final_prompt,high,age,2470,0.1924597951721261,0.0009976233815670499,0.394344846228929,,
