qkey,attribute,channel,magnitude,regime,model_class,human_attribute,human_group,own_human_group,is_own_group,wasserstein,available_groups,expected_groups
CARRYGUN_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.9137270320000017,2,2
CARRYGUN_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,1.2018204920000017,2,2
CARRYGUN_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.9137272280000002,2,2
CARRYGUN_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,1.2018206880000002,2,2
GROWUPGUN2A_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.2867664488714943,2,2
GROWUPGUN2A_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.3844603588714943,2,2
GROWUPGUN2A_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.34865339800290107,2,2
GROWUPGUN2A_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.4463473080029011,2,2
GROWUPGUN2B_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.3471952960015312,2,2
GROWUPGUN2B_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.3555860660015312,2,2
GROWUPGUN2B_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.34726425400001026,2,2
GROWUPGUN2B_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.35565502400001026,2,2
GROWUPGUN2C_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.09983105540402881,2,2
GROWUPGUN2C_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.08024748540402882,2,2
GROWUPGUN2C_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.48076832370877587,2,2
GROWUPGUN2C_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.5003518937087759,2,2
GROWUPGUN4_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.2474282932420225,2,2
GROWUPGUN4_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.23448863324202246,2,2
GROWUPGUN4_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.300873005554779,2,2
GROWUPGUN4_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"$100,000 or more","$100,000 or more",True,0.3045233855547791,2,2
GROWUPGUN6_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"Less than $30,000","Less than $30,000",True,0.7624028859999363,2,2
GROWUPGUN6_W26,socioeco,inferred,,Inferred from occupation,low,INCOME,"$100,000 or more","Less than $30,000",False,0.8097934240980298,2,2
GROWUPGUN6_W26,socioeco,inferred,,Inferred from occupation,high,INCOME,"Less than $30,000","$100,000 or more",False,0.7624168359999882,2,2
