qkey,attribute,group_a,group_b,human_gap,quartile,channel,magnitude,regime,target_human_group,expected_model_class,competitor_model_class,distance_own_profile,distance_competitor_profile,difference
CARRYGUN_W26,socioeco,"Less than $30,000","$100,000 or more",0.2880934599999999,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.9137270320000017,0.9137272280000002,-1.9599999845354432e-07
GROWUPGUN2A_W26,socioeco,"Less than $30,000","$100,000 or more",0.09769391000000005,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.2867664488714943,0.34865339800290107,-0.0618869491314068
GROWUPGUN2B_W26,socioeco,"Less than $30,000","$100,000 or more",0.008390769999999992,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.3471952960015312,0.34726425400001026,-6.895799847905781e-05
GROWUPGUN2C_W26,socioeco,"Less than $30,000","$100,000 or more",0.019583569999999995,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.09983105540402881,0.48076832370877587,-0.38093726830474706
GROWUPGUN4_W26,socioeco,"Less than $30,000","$100,000 or more",0.012939660000000047,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.2474282932420225,0.300873005554779,-0.05344471231275652
GROWUPGUN6_W26,socioeco,"Less than $30,000","$100,000 or more",0.06630533710350016,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7624028859999363,0.7624168359999882,-1.3950000051887734e-05
GROWUPGUN7_W26,socioeco,"Less than $30,000","$100,000 or more",0.17496282810305397,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.014729160000079,1.0147314820000062,-2.3219999272239278e-06
GROWUPVIOL_W26,socioeco,"Less than $30,000","$100,000 or more",0.34762645000000003,Q4,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.612479538166145,0.4788035419999999,0.13367599616614506
GUNACCESS_W26,socioeco,"Less than $30,000","$100,000 or more",0.2689714254613356,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.4902845749028457,1.490284568902846,5.999999608263806e-09
GUNACTIVITYA_W26,socioeco,"Less than $30,000","$100,000 or more",0.02500299860760772,Q1,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.2357864844379787,0.17971704675058803,0.05606943768739067
GUNACTIVITYB_W26,socioeco,"Less than $30,000","$100,000 or more",0.238170670976464,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.7659932964310227,0.8954207949487326,-0.12942749851770996
GUNCONTRIBA_W26,socioeco,"Less than $30,000","$100,000 or more",0.1395215577683978,Q2,inferred,,Inferred from occupation,"Less than $30,000",low,high,1.210599769887326,1.2107516379258636,-0.00015186803853750597
GUNCONTRIBC_W26,socioeco,"Less than $30,000","$100,000 or more",0.251734842193157,Q3,inferred,,Inferred from occupation,"Less than $30,000",low,high,0.6311451605854392,0.679961088950839,-0.04881592836539972
