class_label,regime,n,mean_wasserstein,wasserstein_ci95,mean_delta_vs_neutral,delta_ci95,paired_wilcoxon_p
low,Neutral (N=0),486,0.7530172474291962,0.037327492860155215,0.0,0.0,
low,Declared,486,0.7649290085238657,0.03884944432172486,0.011911761094669423,0.02589128067750979,0.2845200845868402
low,Steered N=20,486,0.7615203239163426,0.039940683559275124,0.008503076487146393,0.02042769813893858,0.0034813245022530946
low,Inferred from occupation,486,0.6854653625423055,0.03538047499199435,-0.06755188488689073,0.020702036336843855,2.793783223103649e-18
high,Neutral (N=0),486,0.7158153320042088,0.036286444970970964,0.0,0.0,
high,Declared,486,0.6930818435568922,0.0361405816758655,-0.02273348844731646,0.020991701012881867,0.0010994702980546044
high,Steered N=20,486,0.7052749009122078,0.03679742753966742,-0.010540431092000863,0.019448557557997737,8.206051420144258e-11
high,Inferred from occupation,486,0.6866257265286518,0.03510900661242588,-0.0291896054755569,0.01823222039678359,1.7599280826927569e-09
all,Neutral (N=0),486,0.7344162897167025,0.035529637112914896,0.0,0.0,
all,Declared,486,0.7290054260403789,0.034806077842951866,-0.005410863676323521,0.018952948825198036,0.004866359987102114
all,Steered N=20,486,0.7333976124142753,0.03546057064556194,-0.0010186773024272355,0.016412796232723834,3.581438468473902e-10
all,Inferred from occupation,486,0.6860455445354786,0.03368841880029243,-0.04837074518122381,0.01798864046993622,3.917123773156094e-18
