qkey,attribute,channel,class_label,magnitude,n_occupations,response_distribution
CARRYGUN_W26,socioeco,inferred,low,,5,"[0.0, 0.0, 2.2e-07, 0.99999979]"
CARRYGUN_W26,socioeco,inferred,high,,5,"[0.0, 0.0, 3e-08, 0.99999998]"
GROWUPGUN2A_W26,socioeco,inferred,low,,5,"[0.93775042, 0.06224959]"
GROWUPGUN2A_W26,socioeco,inferred,high,,5,"[0.99963737, 0.00036264]"
GROWUPGUN2B_W26,socioeco,inferred,low,,5,"[0.99993043, 6.959e-05]"
GROWUPGUN2B_W26,socioeco,inferred,high,,5,"[0.99999938, 6.4e-07]"
GROWUPGUN2C_W26,socioeco,inferred,low,,5,"[0.3829976, 0.61700239]"
GROWUPGUN2C_W26,socioeco,inferred,high,,5,"[0.96359698, 0.03640302]"
GROWUPGUN4_W26,socioeco,inferred,low,,5,"[4.281e-05, 0.62453627, 0.37181027, 0.00361065]"
GROWUPGUN4_W26,socioeco,inferred,high,,5,"[0.0003079, 0.7406401, 0.25882194, 0.00023006]"
GROWUPGUN6_W26,socioeco,inferred,low,,5,"[0.0, 0.0, 1.592e-05, 0.99998407]"
GROWUPGUN6_W26,socioeco,inferred,high,,5,"[0.0, 0.0, 1.97e-06, 0.99999802]"
GROWUPGUN7_W26,socioeco,inferred,low,,5,"[0.0, 0.0, 2.63e-06, 0.9999974]"
GROWUPGUN7_W26,socioeco,inferred,high,,5,"[0.0, 0.0, 3.1e-07, 0.99999971]"
GROWUPVIOL_W26,socioeco,inferred,low,,5,"[0.0049034, 0.0012941, 0.7882889, 0.20551361]"
GROWUPVIOL_W26,socioeco,inferred,high,,5,"[0.0227985, 0.00019699, 0.67250801, 0.3044965]"
GUNACCESS_W26,socioeco,inferred,low,,5,"[0.0, 0.0, 1e-08, 1.0]"
GUNACCESS_W26,socioeco,inferred,high,,5,"[0.0, 0.0, 2e-08, 1.0]"
GUNACTIVITYA_W26,socioeco,inferred,low,,5,"[0.0, 2.8e-07, 0.21898879, 0.78101093]"
GUNACTIVITYA_W26,socioeco,inferred,high,,5,"[3e-08, 7.5e-07, 0.27505722, 0.72494201]"
GUNACTIVITYB_W26,socioeco,inferred,low,,5,"[1e-08, 2.6e-07, 0.13635978, 0.86363995]"
GUNACTIVITYB_W26,socioeco,inferred,high,,5,"[0.0, 1.6e-07, 0.00693248, 0.99306735]"
GUNCONTRIBA_W26,socioeco,inferred,low,,5,"[0.99833089, 0.0016691, 1e-08, 1e-08]"
GUNCONTRIBA_W26,socioeco,inferred,high,,5,"[0.99848279, 0.00151722, 1e-08, 1e-08]"
GUNCONTRIBC_W26,socioeco,inferred,low,,5,"[7.67e-06, 0.764242, 0.23574816, 2.16e-06]"
GUNCONTRIBC_W26,socioeco,inferred,high,,5,"[2.17e-06, 0.3524516, 0.64754411, 2.1e-06]"
GUNCONTRIBE_W26,socioeco,inferred,low,,5,"[2e-08, 2.465e-05, 0.99994407, 3.128e-05]"
GUNCONTRIBE_W26,socioeco,inferred,high,,5,"[1e-08, 1.5e-06, 0.99997714, 2.137e-05]"
GUNCONTRIBF_W26,socioeco,inferred,low,,5,"[0.00411075, 0.98842406, 0.00746516, 2e-08]"
GUNCONTRIBF_W26,socioeco,inferred,high,,5,"[0.06538855, 0.93460927, 2.16e-06, 0.0]"
GUNFRIEND_W26,socioeco,inferred,low,,5,"[6e-08, 0.195391, 0.0063883, 0.79822062]"
GUNFRIEND_W26,socioeco,inferred,high,,5,"[9e-08, 0.00102254, 0.00158191, 0.99739548]"
GUNIDENTITY_W26,socioeco,inferred,low,,5,"[0.0, 1e-08, 0.00013776, 0.99986224]"
GUNIDENTITY_W26,socioeco,inferred,high,,5,"[0.0, 3e-08, 0.03682807, 0.9631719]"
GUNLOADED1_W26,socioeco,inferred,low,,5,"[2.9e-06, 0.57460359, 0.4253935]"
GUNLOADED1_W26,socioeco,inferred,high,,5,"[1.448e-05, 0.50396207, 0.49602346]"
GUNLOADED2_W26,socioeco,inferred,low,,5,"[2.502e-05, 0.99997496]"
GUNLOADED2_W26,socioeco,inferred,high,,5,"[1.118e-05, 0.99998884]"
GUNLOCKED1_W26,socioeco,inferred,low,,5,"[0.64016261, 0.35870802, 0.00112939]"
GUNLOCKED1_W26,socioeco,inferred,high,,5,"[0.961262, 0.03265733, 0.00608063]"
GUNLOCKED2_W26,socioeco,inferred,low,,5,"[0.9999985, 1.53e-06]"
GUNLOCKED2_W26,socioeco,inferred,high,,5,"[0.99999728, 2.74e-06]"
GUNRESPKIDSD_W26,socioeco,inferred,low,,5,"[0.96572403, 0.03426534, 1.5e-07, 1.047e-05]"
GUNRESPKIDSD_W26,socioeco,inferred,high,,5,"[0.9998545, 0.00014535, 0.0, 1.5e-07]"
GUNRESPKIDSE_W26,socioeco,inferred,low,,5,"[0.99984013, 0.00015978, 0.0, 1e-07]"
GUNRESPKIDSE_W26,socioeco,inferred,high,,5,"[0.99999645, 3.57e-06, 0.0, 2e-08]"
GUNRESPNOKIDSA_W26,socioeco,inferred,low,,5,"[0.99999609, 3.92e-06, 0.0, 0.0]"
GUNRESPNOKIDSA_W26,socioeco,inferred,high,,5,"[0.99999936, 6.3e-07, 0.0, 0.0]"
GUNRESPNOKIDSB_W26,socioeco,inferred,low,,5,"[0.56903318, 0.43096678, 2e-08, 5e-08]"
GUNRESPNOKIDSB_W26,socioeco,inferred,high,,5,"[0.9238917, 0.07610828, 1e-08, 3e-08]"
GUNRESPNOKIDSC_W26,socioeco,inferred,low,,5,"[0.9996763, 0.00032372, 0.0, 0.0]"
GUNRESPNOKIDSC_W26,socioeco,inferred,high,,5,"[0.99998615, 1.386e-05, 0.0, 0.0]"
GUNRESPNOKIDSD_W26,socioeco,inferred,low,,5,"[0.46484472, 0.5351514, 4.1e-07, 3.46e-06]"
GUNRESPNOKIDSD_W26,socioeco,inferred,high,,5,"[0.97816327, 0.02183617, 4e-08, 5.7e-07]"
GUNRESPNOKIDSE_W26,socioeco,inferred,low,,5,"[0.86944975, 0.13054978, 5e-08, 4.3e-07]"
GUNRESPNOKIDSE_W26,socioeco,inferred,high,,5,"[0.99846368, 0.00153598, 1e-08, 3.3e-07]"
GUNRESPNOKIDSF_W26,socioeco,inferred,low,,5,"[0.99996016, 3.982e-05, 0.0, 0.0]"
GUNRESPNOKIDSF_W26,socioeco,inferred,high,,5,"[0.99999759, 2.42e-06, 0.0, 0.0]"
GUNSAFETYKIDS_W26,socioeco,inferred,low,,5,"[0.17933782, 0.00030622, 0.82035596]"
GUNSAFETYKIDS_W26,socioeco,inferred,high,,5,"[0.16663332, 0.00053609, 0.83283054]"
GUNSAFE_W26,socioeco,inferred,low,,5,"[6.332e-05, 0.80068026, 0.19925641]"
GUNSAFE_W26,socioeco,inferred,high,,5,"[0.4265395, 0.33520936, 0.23825116]"
GUNTYPEOWNC_W26,socioeco,inferred,low,,5,"[0.0, 0.0, 1.0]"
GUNTYPEOWNC_W26,socioeco,inferred,high,,5,"[0.0, 0.0, 1.0]"
IMPREASONGUN_W26,socioeco,inferred,low,,5,"[0.97513031, 2e-08, 3e-08, 4e-08, 0.02486958]"
IMPREASONGUN_W26,socioeco,inferred,high,,5,"[0.99997888, 0.0, 0.0, 0.0, 2.113e-05]"
NOCARRYGUN_W26,socioeco,inferred,low,,5,"[0.00513539, 0.99486459]"
NOCARRYGUN_W26,socioeco,inferred,high,,5,"[0.00145481, 0.99854517]"
REASONGUNA_W26,socioeco,inferred,low,,5,"[0.80864765, 0.11927268, 0.07207968]"
REASONGUNA_W26,socioeco,inferred,high,,5,"[0.99999604, 3.52e-06, 4.6e-07]"
REASONGUNB_W26,socioeco,inferred,low,,5,"[0.00659252, 0.38715875, 0.60624871]"
REASONGUNB_W26,socioeco,inferred,high,,5,"[0.01474803, 0.83908023, 0.14617175]"
REASONGUNC_W26,socioeco,inferred,low,,5,"[6.327e-05, 0.41202812, 0.58790864]"
REASONGUNC_W26,socioeco,inferred,high,,5,"[0.00015331, 0.94595304, 0.05389367]"
REASONGUND_W26,socioeco,inferred,low,,5,"[1.674e-05, 0.01590592, 0.98407732]"
REASONGUND_W26,socioeco,inferred,high,,5,"[5.429e-05, 0.04308858, 0.9568571]"
REASONGUNE_W26,socioeco,inferred,low,,5,"[6.897e-05, 0.22252619, 0.77740482]"
REASONGUNE_W26,socioeco,inferred,high,,5,"[0.00021437, 0.49438372, 0.50540189]"
SHOOTFREQ_W26,socioeco,inferred,low,,5,"[0.0, 1e-08, 3e-07, 0.99999967]"
SHOOTFREQ_W26,socioeco,inferred,high,,5,"[0.0, 1e-08, 6e-08, 0.99999995]"
WORRYB_W26,socioeco,inferred,low,,5,"[0.00073277, 0.74135109, 0.25791615]"
