position,income_group,comparison,n_cases,mean_socioeco_strength,mean_other_strength,mean_difference,fraction_socioeco_stronger,p_value_one_sided
after_occupation,low,socioeco vs education,5,0.38580892986206894,0.4604443676551724,-0.07463543779310343,0.0,1.0
after_occupation,low,socioeco vs gender,5,0.38580892986206894,0.5093108009655173,-0.12350187110344828,0.0,1.0
after_occupation,low,socioeco vs age,5,0.38580892986206894,0.35861191131034487,0.02719701855172415,0.8,0.0625
final_prompt,low,socioeco vs education,2470,0.3874069982250454,0.4684431064223091,-0.08103610819726371,0.004453441295546558,1.0
final_prompt,low,socioeco vs gender,2470,0.3874069982250454,0.5408075780323888,-0.15340057980734328,0.0,1.0
final_prompt,low,socioeco vs age,2470,0.3874069982250454,0.38740960104788497,-2.6028228395915117e-06,0.5052631578947369,0.5576957941792158
after_occupation,high,socioeco vs education,5,0.36765824979310346,0.44703522027586207,-0.07937697048275856,0.0,1.0
after_occupation,high,socioeco vs gender,5,0.36765824979310346,0.5418164863448276,-0.1741582365517241,0.0,1.0
after_occupation,high,socioeco vs age,5,0.36765824979310346,0.36997472275862064,-0.002316472965517169,0.6,0.40625
final_prompt,high,socioeco vs education,2470,0.38925842050244314,0.47106213608725395,-0.08180371558481084,0.0032388663967611335,1.0
final_prompt,high,socioeco vs gender,2470,0.38925842050244314,0.5399042110436968,-0.15064579054125368,0.0,1.0
final_prompt,high,socioeco vs age,2470,0.38925842050244314,0.3903168665099818,-0.001058446007538741,0.4902834008097166,0.9432345043893298
