position,attribute,layer,n,mean_activation_strength,mean_normalized_confidence,socioeco_accuracy
after_occupation,age,0,10,0.0026570599999999997,0.25199279,
after_occupation,age,1,10,0.26991485099999996,0.45243613800000004,
after_occupation,age,2,10,0.224348519,0.418261388,
after_occupation,age,3,10,0.25033247599999997,0.43774935500000006,
after_occupation,age,4,10,0.137786111,0.353339583,
after_occupation,age,5,10,0.360613886,0.5204604159999999,
after_occupation,age,6,10,0.40610746400000003,0.554580599,
after_occupation,age,7,10,0.578118866,0.6835891479999999,
after_occupation,age,8,10,0.419310014,0.56448251,
after_occupation,age,9,10,0.38140300499999996,0.536052253,
after_occupation,age,10,10,0.27585003,0.456887522,
after_occupation,age,11,10,0.34168662699999997,0.5062649680000001,
after_occupation,age,12,10,0.33313981400000003,0.49985485900000015,
after_occupation,age,13,10,0.33875992699999996,0.504069945,
after_occupation,age,14,10,0.280929031,0.460696775,
after_occupation,age,15,10,0.35041832500000003,0.5128137429999999,
after_occupation,age,16,10,0.161900674,0.371425506,
after_occupation,age,17,10,0.191709796,0.393782346,
after_occupation,age,18,10,0.426780994,0.570085745,
after_occupation,age,19,10,0.577208073,0.682906057,
after_occupation,age,20,10,0.5390364099999999,0.654277306,
after_occupation,age,21,10,0.35412565,0.5155942379999999,
after_occupation,age,22,10,0.07602529900000002,0.30701897300000003,
after_occupation,age,23,10,0.21249343800000003,0.409370079,
after_occupation,age,24,10,0.6448377610000001,0.73362832,
after_occupation,age,25,10,0.366235917,0.524676937,
after_occupation,age,26,10,0.905428107,0.9290710799999999,
after_occupation,age,27,10,0.8810190599999999,0.9107642950000001,
after_occupation,age,28,10,0.276329009,0.457246758,
after_occupation,education,0,10,0.0037428999999999995,0.33582860000000003,
after_occupation,education,1,10,0.179712834,0.45314188699999997,
after_occupation,education,2,10,0.21514092600000004,0.47676061599999997,
after_occupation,education,3,10,0.476544336,0.651029556,
after_occupation,education,4,10,0.551580098,0.701053399,
after_occupation,education,5,10,0.48187497500000004,0.654583318,
after_occupation,education,6,10,0.3251969579999999,0.5501313059999999,
after_occupation,education,7,10,0.45880953199999996,0.639206357,
after_occupation,education,8,10,0.5121783139999999,0.674785543,
after_occupation,education,9,10,0.8289164330000001,0.885944289,
after_occupation,education,10,10,0.40181561400000004,0.60121041,
after_occupation,education,11,10,0.421519507,0.614346337,
after_occupation,education,12,10,0.7046322110000001,0.8030881410000001,
after_occupation,education,13,10,0.6419760680000001,0.761317378,
after_occupation,education,14,10,0.43763932200000005,0.6250928809999999,
after_occupation,education,15,10,0.538067146,0.692044765,
after_occupation,education,16,10,0.34635867200000003,0.564239114,
after_occupation,education,17,10,0.494799304,0.663199535,
after_occupation,education,18,10,0.6555310299999999,0.770354022,
